source_id,authority_type,issuer,title,policy_or_section,version_or_review_date,source_url,source_clause,assessment_area,operational_implication,discovery_question,applicability_caveat,evidence_strength,accessed_date
P01,Policy,University of Iowa Information Security and Policy Office,Security Policy,IT-18 > Roles and Responsibilities,Reviewed 2023-09-27,https://itsecurity.uiowa.edu/policies-standards-guidelines/security-policy,"Data Stewards are responsible for documented processes including risk assessment, disaster recovery, business continuity, software testing and revision controls; Data Custodians implement change management/revision controls.",Software delivery / governance,"Assessment evidence should show named stewardship/custody roles and the actual artifacts used for testing, revision control, continuity, and risk decisions.","For each ESS/RIS/IAM service, who is the Data Steward and Data Custodian, and which current artifacts demonstrate their responsibilities?","Published role requirement does not establish that a named team follows it consistently or that every in-scope service has the same control design.",Primary University policy,2026-09-19
P02,Policy,University of Iowa Information Security and Policy Office,Security Policy,IT-18 > Separation of Duties,Reviewed 2023-09-27,https://itsecurity.uiowa.edu/policies-standards-guidelines/security-policy,"Critical business processes should be performed by separate individuals; developer, system administrator, and database administrator responsibilities should not overlap unless authorized by the Data Steward.",Software delivery / security,"Interview and artifact review should distinguish normal role separation, authorized overlap, and emergency/low-capacity exceptions.","Where do development, administration, database, release, and approval duties overlap, and what stewardship approval/evidence exists for necessary overlap?","The policy does not prove the current team topology or mean all overlap is prohibited; authorized exceptions and actual service risk must be established.",Primary University policy,2026-09-19
P03,Policy,University of Iowa Information Security and Policy Office,Security Policy,IT-18 > Information Access,Reviewed 2023-09-27,https://itsecurity.uiowa.edu/policies-standards-guidelines/security-policy,"Physical and electronic access is controlled based on classification and risk, with processes for timely removal of access.",Access / IAM,"Assessment should trace joiner-mover-leaver events from approval through revocation in the actual systems used by each service.","What events trigger access changes, how quickly do they propagate, and what evidence proves deprovisioning reached repositories, pipelines, databases, consoles, and support tools?","Policy intent is not evidence of actual revocation latency or control coverage.",Primary University policy,2026-09-19
P04,Policy,University of Iowa Information Security and Policy Office,Security Policy,IT-18 > Change Management > System and Application Software,Reviewed 2023-09-27,https://itsecurity.uiowa.edu/policies-standards-guidelines/security-policy,"System and application software must be tested before production installation, protected from unauthorized changes, and updated commensurate with vulnerability risk.",Software delivery / deployment,"Release assessment should recover what was tested, which revision was approved, and whether the tested revision is the deployed revision.","For recent normal and urgent changes, what evidence links source/config revision, test results, approval, built artifact, and production deployment?","The policy defines required practice but not test depth, automation level, release cadence, or whether a particular historical release complied.",Primary University policy,2026-09-19
P05,Policy,University of Iowa Information Security and Policy Office,Security Policy,IT-18 > Change Management > Change Controls,Reviewed 2023-09-27,https://itsecurity.uiowa.edu/policies-standards-guidelines/security-policy,"Systems handling non-public institutional data require change-control management covering change requests, approvals, testing, and final implementation; scope includes physical hardware and cloud services.",Software delivery / deployment / security,"For non-public data systems, a sampled change should be traceable across request, authorization, verification, and implementation records.","Which in-scope services handle non-public data, what is the authoritative change record for each, and how are cloud/configuration changes included?","Applicability depends on system data classification; a workflow ticket alone does not demonstrate effective control.",Primary University policy,2026-09-19
P06,Policy,University of Iowa Information Security and Policy Office,Security Policy,IT-18 > Preventive Measures, Backup and Recovery,Reviewed 2023-09-27,https://itsecurity.uiowa.edu/policies-standards-guidelines/security-policy,"Institutional data must be sufficiently backed up and recoverable; computerized systems critical to the University must have written and tested disaster-recovery plans.",Deployment / operations,"Operational assessment should connect stated criticality to tested recovery evidence, ownership, dependencies, and recovery priorities.","Which ESS/RIS/IAM services are designated critical, when was recovery last exercised, what dependencies were included, and what result/evidence was retained?","A written plan or backup configuration is not proof that recovery objectives are achievable; criticality and test results require engagement evidence.",Primary University policy,2026-09-19
P07,Policy,University of Iowa Information Security and Policy Office,Institutional Data Policy,IT-19 > Classifying Institutional Data,Reviewed 2023-09-27,https://itsecurity.uiowa.edu/policies-standards-guidelines/institutional-data-policy,"Institutional data has four sensitivity levels: Critical, Restricted, University-Internal, and Public; unless otherwise classified it is University-Internal.",Data classification,"Data-handling review should request the authoritative classification used by each application, dataset, log, export, and integration rather than infer sensitivity from content labels.","What classification has the responsible Data Trustee assigned to each sampled dataset and system, and where is that decision recorded?","The default does not authorize the assessment team to reclassify data; only the accountable University role can establish classification.",Primary University policy,2026-09-19
P08,Policy,University of Iowa Information Security and Policy Office,Institutional Data Policy,IT-19 > Policy Statements,Reviewed 2023-09-27,https://itsecurity.uiowa.edu/policies-standards-guidelines/institutional-data-policy,"Institutional Data that is moved, copied, extended, or propagated remains Institutional Data and applicable policies continue to apply.",Data classification / software delivery,"Copies used in test environments, troubleshooting exports, analytics extracts, CI artifacts, backups, and support attachments should retain handling requirements.","Where is production-derived data copied for development, test, support, analytics, logs, or backups, and how is classification/handling preserved across those copies?","This statement does not prove that every technical artifact contains institutional data; determine actual content and authorized use first.",Primary University policy,2026-09-19
P09,Policy,University of Iowa Information Security and Policy Office,Institutional Data Policy,IT-19 > Access to Institutional Data,Reviewed 2023-09-27,https://itsecurity.uiowa.edu/policies-standards-guidelines/institutional-data-policy,"Restricted/Critical access is approved by the Data Steward; use of authorized non-public data is limited to the purpose for which access was granted; protections apply to copies.",Access / data governance,"Access review should bind entitlement to business purpose and steward authorization, including copied/derived working data.","For sampled privileged or non-public-data access, what purpose, approving Steward, expiry/review basis, and downstream copies can be traced?","Authorization evidence does not by itself establish least privilege or technical enforcement; both need direct evidence.",Primary University policy,2026-09-19
P10,Policy,University of Iowa Information Security and Policy Office,Institutional Data Policy,IT-19 > Secondary Use,Reviewed 2023-09-27,https://itsecurity.uiowa.edu/policies-standards-guidelines/institutional-data-policy,"Public or University-Internal data may be repurposed when authorized by the Data Trustee; secondary use/repurposing of Restricted or Critical data is strictly prohibited.",Data use / AI readiness,"Any proposed reuse of operational, support, development, or analytics data for new tooling—including AI-enabled workflows—needs classification and purpose review before assumptions about permissible reuse.","Do any developer/support/AI workflows reuse institutional data for a purpose different from the original access grant, and what classification/authorization governs that use?","This row does not assert that ESS, RIS, or IAM currently uses AI or repurposes data; it defines a discovery boundary only.",Primary University policy,2026-09-19
