id,episode_id,rule,route,at,kind,duplicate_of,value,review_ref,source_ref
N01,ESS-101,queue-delay,primary,2026-09-14T09:00:00Z,initial,UNKNOWN,useful,E-ESS-1,E-ESS-1
N02,ESS-101,queue-delay,primary,2026-09-14T09:02:00Z,repeat,N01,redundant,E-ESS-1,E-ESS-1
N03,ESS-101,queue-delay,primary,2026-09-14T09:04:00Z,repeat,N01,redundant,E-ESS-1,E-ESS-1
N04,ESS-101,queue-delay,database support,2026-09-14T09:06:00Z,escalation,UNKNOWN,useful,E-ESS-1,E-ESS-1
N05,ESS-102,queue-delay,primary,2026-09-15T09:00:00Z,initial,UNKNOWN,useful,E-ESS-2,E-ESS-2
N06,IAM-301,cache-capacity,primary,2026-09-14T10:00:00Z,initial,UNKNOWN,redundant,E-IAM-1,E-IAM-1
N07,IAM-301,cache-capacity,primary,2026-09-14T10:03:00Z,repeat,N06,redundant,E-IAM-1,E-IAM-1
N08,IAM-301,cache-capacity,primary,2026-09-14T10:06:00Z,repeat,N06,redundant,E-IAM-1,E-IAM-1
N09,RIS-201,transfer-delay,primary,2026-09-14T11:00:00Z,initial,UNKNOWN,unknown,UNKNOWN,E-RIS-1
N10,RIS-201,transfer-delay,dependency support,2026-09-14T11:15:00Z,escalation,UNKNOWN,useful,E-RIS-1,E-RIS-1
N11,IAM-302,sign-in-errors,primary,2026-09-14T12:00:00Z,initial,UNKNOWN,useful,E-IAM-2,E-IAM-2
N12,RIS-fragment,queue-delay,primary,2026-09-14T13:00:00Z,initial,UNKNOWN,unknown,UNKNOWN,E-RIS-2
