id,episode_id,reason,proposed_change,outcome_check,evidence_ids
AQ-ESS-101-duplicate_review,ESS-101,duplicate_review,Review same-episode repeat policy without suppressing escalation or separate incidents.,Compare confirmed redundant deliveries per episode and incident-detection coverage before/after a reviewed trial.,"[""E-ESS-1""]"
AQ-IAM-301-duplicate_review,IAM-301,duplicate_review,Review same-episode repeat policy without suppressing escalation or separate incidents.,Compare confirmed redundant deliveries per episode and incident-detection coverage before/after a reviewed trial.,"[""E-IAM-1""]"
AQ-IAM-301-escalation,IAM-301,escalation,Rehearse escalation with accountable service roles; a document alone is not a tested route.,"Record successful handoff and useful action, not just notification delivery.","[""E-IAM-1""]"
AQ-IAM-301-response_evidence,IAM-301,response_evidence,Reconcile action records with the episode; acknowledgement alone does not establish response.,Retain action evidence and report incomplete/censored episodes beside any latency summary.,"[""E-IAM-1""]"
AQ-IAM-301-routing,IAM-301,routing,Resolve missing or unknown response ownership with an evidenced routing rehearsal.,Measure unowned episodes and time from observed page to first useful action.,"[""E-IAM-1""]"
AQ-IAM-301-runbook,IAM-301,runbook,"Walk through the actual diagnostic task; record useful steps, stale instructions and missing context.","Compare completion of the same rehearsal task, repair effort and useful-response latency.","[""E-IAM-1""]"
AQ-RIS-201-escalation,RIS-201,escalation,Rehearse escalation with accountable service roles; a document alone is not a tested route.,"Record successful handoff and useful action, not just notification delivery.","[""E-RIS-1""]"
AQ-RIS-201-response_evidence,RIS-201,response_evidence,Reconcile action records with the episode; acknowledgement alone does not establish response.,Retain action evidence and report incomplete/censored episodes beside any latency summary.,"[""E-RIS-1""]"
AQ-RIS-201-routing,RIS-201,routing,Resolve missing or unknown response ownership with an evidenced routing rehearsal.,Measure unowned episodes and time from observed page to first useful action.,"[""E-RIS-1""]"
AQ-RIS-201-runbook,RIS-201,runbook,"Walk through the actual diagnostic task; record useful steps, stale instructions and missing context.","Compare completion of the same rehearsal task, repair effort and useful-response latency.","[""E-RIS-1""]"
AQ-RIS-fragment-escalation,RIS-fragment,escalation,Rehearse escalation with accountable service roles; a document alone is not a tested route.,"Record successful handoff and useful action, not just notification delivery.","[""E-RIS-2""]"
AQ-RIS-fragment-response_evidence,RIS-fragment,response_evidence,Reconcile action records with the episode; acknowledgement alone does not establish response.,Retain action evidence and report incomplete/censored episodes beside any latency summary.,"[""E-RIS-2""]"
AQ-RIS-fragment-runbook,RIS-fragment,runbook,"Walk through the actual diagnostic task; record useful steps, stale instructions and missing context.","Compare completion of the same rehearsal task, repair effort and useful-response latency.","[""E-RIS-2""]"
