evidence_id,observation_id,finding_id,group,area,source_type,source_ref,captured_at,represented_period,claim,scope_limit,directness,recency,representativeness,corroboration,evidence_state,confidence,conflict_group,universe_definition,enumerator_authority,completeness_basis,follow_up
EV-SYN-ESS-AI-INV-001,OBS-SYN-ESS-AI-001,FND-SYN-ESS-AI-001,ESS,AI,interview,synthetic://uiowa-rfq18649/AIU-SYN-001/pr-1184,2026-09-17,2026-09-17,AIU-SYN-001: In-editor code completion and short refactor suggestions while writing service code,"FICTIONAL rehearsal record; not a University finding; source classification ACTIVE_USE (declared ACTIVE); one team, one captured use",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,MODERATE,,,,,No outstanding request for this row.
EV-SYN-ESS-AI-INV-002,OBS-SYN-ESS-AI-002,FND-SYN-ESS-AI-002,ESS,AI,interview,synthetic://uiowa-rfq18649/AIU-SYN-002/branch-legacy-tests,2026-09-17,2026-09-17,AIU-SYN-002: Generating first-draft unit test scaffolds for legacy modules that have none,"FICTIONAL rehearsal record; not a University finding; source classification INFORMAL_EXPERIMENT (declared ACTIVE); one team, one captured use",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,LOW,,,,,No outstanding request for this row.
EV-SYN-ESS-AI-INV-003,OBS-SYN-ESS-AI-003,FND-SYN-ESS-AI-003,ESS,AI,interview,synthetic://uiowa-rfq18649/071/AIU-SYN-003,2026-09-17,2026-09-17,AIU-SYN-003: Writing release notes from commit history,"FICTIONAL rehearsal record; not a University finding; source classification UNSUPPORTED_CLAIM (declared ACTIVE); one team, one captured use",INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,NO_EVIDENCE_OBSERVED,NOT_EVIDENCED,,,,,"Ask for one specific instance from the last 30 days, with the artifact or ticket it produced."
EV-SYN-RIS-AI-INV-001,OBS-SYN-RIS-AI-001,FND-SYN-RIS-AI-001,RIS,AI,interview,synthetic://uiowa-rfq18649/AIU-SYN-004/themes-memo-2026-08,2026-09-18,2026-09-18,AIU-SYN-004: Summarising free-text responses from an internal service survey,"FICTIONAL rehearsal record; not a University finding; source classification INFORMAL_EXPERIMENT (declared INFORMAL); one team, one captured use",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,LOW,,,,,No outstanding request for this row.
EV-SYN-RIS-AI-INV-002,OBS-SYN-RIS-AI-002,FND-SYN-RIS-AI-002,RIS,AI,interview,synthetic://uiowa-rfq18649/071/AIU-SYN-005,2026-09-18,2026-09-18,AIU-SYN-005: Proposed first-line triage of service-desk tickets,"FICTIONAL rehearsal record; not a University finding; source classification PLANNED_USE (declared PLANNED); one team, one captured use",INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,NO_EVIDENCE_OBSERVED,NOT_EVIDENCED,,,,,Ask where the output is stored so a locator can be recorded.
EV-SYN-RIS-AI-INV-003,OBS-SYN-RIS-AI-003,FND-SYN-RIS-AI-003,RIS,AI,interview,synthetic://uiowa-rfq18649/AIU-SYN-006/extract-2026-08,2026-09-18,2026-09-18,AIU-SYN-006: Script generation for one-off data extracts,"FICTIONAL rehearsal record; not a University finding; source classification PLANNED_USE (declared PLANNED); one team, one captured use",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,CONFLICTING,UNRESOLVED,CG-071-AIU-SYN-006,,,,"Ask whether this runs inside an existing system or is opened separately, and name the system."
EV-SYN-IAM-AI-INV-001,OBS-SYN-IAM-AI-001,FND-SYN-IAM-AI-001,IAM,AI,interview,synthetic://uiowa-rfq18649/AIU-SYN-007/ticket-sample-week-36,2026-09-18,2026-09-18,AIU-SYN-007: Drafting replies to routine access-request tickets for an analyst to edit and send,"FICTIONAL rehearsal record; not a University finding; source classification ACTIVE_USE (declared ACTIVE); one team, one captured use",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,MODERATE,,,,,No outstanding request for this row.
EV-SYN-IAM-AI-INV-002,OBS-SYN-IAM-AI-002,FND-SYN-IAM-AI-002,IAM,AI,interview,synthetic://uiowa-rfq18649/AIU-SYN-008/q2-review-worksheet,2026-09-18,2026-09-18,AIU-SYN-008: Grouping quarterly access-review exceptions so a human reviews them in batches,"FICTIONAL rehearsal record; not a University finding; source classification INFORMAL_EXPERIMENT (declared ACTIVE); one team, one captured use",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,LOW,,,,,No outstanding request for this row.
EV-SYN-IAM-AI-INV-003,OBS-SYN-IAM-AI-003,FND-SYN-IAM-AI-003,IAM,AI,interview,synthetic://uiowa-rfq18649/071/AIU-SYN-009,2026-09-18,2026-09-18,AIU-SYN-009: Something involving drafting procedure text; the respondent was not sure who does it,"FICTIONAL rehearsal record; not a University finding; source classification UNKNOWN (declared UNKNOWN); one team, one captured use",INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,NO_EVIDENCE_OBSERVED,NOT_EVIDENCED,,,,,Ask how many times this was used in the last full week; record UNKNOWN if unsure rather than estimating.
EV-SYN-ESS-AI-INV-004,OBS-SYN-ESS-AI-004,FND-SYN-ESS-AI-004,ESS,AI,interview,synthetic://uiowa-rfq18649/AIU-SYN-010/channel-note-2026-09,2026-09-17,2026-09-17,AIU-SYN-010: Reading long vendor release notes and pulling out changes that affect the team,"FICTIONAL rehearsal record; not a University finding; source classification INFORMAL_EXPERIMENT (declared INFORMAL); one team, one captured use",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,LOW,,,,,"Ask what the work looked like before, what it looks like now, and where that comparison can be seen."
EV-SYN-RIS-DEP-ASM-001,OBS-SYN-RIS-DEP-001,FND-SYN-RIS-DEP-001,RIS,DEP,interview,synthetic://uiowa-rfq18649/107/ASM-001,2026-09-19,2026-09-19,ASM-001: effort to implement the scheduled application change,"FICTIONAL rehearsal record; not a University finding; source basis ESTIMATED; one scenario, one reporting window",INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,LOW,,,,,Confirm the stated range against the cited record.
EV-SYN-RIS-DEP-ASM-002,OBS-SYN-RIS-DEP-002,FND-SYN-RIS-DEP-002,RIS,DEP,interview,synthetic://uiowa-rfq18649/107/ASM-002,2026-09-19,2026-09-19,ASM-002: coordination wait on the shared identity service's change-freeze window,"FICTIONAL rehearsal record; not a University finding; source basis UNKNOWN; one scenario, one reporting window",INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,NO_EVIDENCE_OBSERVED,NOT_EVIDENCED,,,,,Resolve or bound this input before it carries a conclusion.
EV-SYN-RIS-DEP-ASM-003,OBS-SYN-RIS-DEP-003,FND-SYN-RIS-DEP-003,RIS,DEP,metric,synthetic://uiowa-rfq18649/107/roster-window-export,2026-09-19,2026-09-19,ASM-003: analyst capacity available inside the reporting window,"FICTIONAL rehearsal record; not a University finding; source basis MEASURED; one scenario, one reporting window",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,MODERATE,,,,,Confirm the stated range against the cited record.
EV-SYN-RIS-DEP-ASM-004,OBS-SYN-RIS-DEP-004,FND-SYN-RIS-DEP-004,RIS,DEP,interview,synthetic://uiowa-rfq18649/107/ASM-004,2026-09-19,2026-09-19,ASM-004: effort to rehearse and stage a rollback before the window,"FICTIONAL rehearsal record; not a University finding; source basis ESTIMATED; one scenario, one reporting window",INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,LOW,,,,,Confirm the stated range against the cited record.
EV-SYN-RIS-DEP-ASM-005,OBS-SYN-RIS-DEP-005,FND-SYN-RIS-DEP-005,RIS,DEP,interview,synthetic://uiowa-rfq18649/107/ASM-005,2026-09-19,2026-09-19,ASM-005: unplanned recovery effort if the change misbehaves inside the window,"FICTIONAL rehearsal record; not a University finding; source basis ESTIMATED; one scenario, one reporting window",INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,LOW,,,,,Confirm the stated range against the cited record.
EV-SYN-RIS-DEP-ASM-006,OBS-SYN-RIS-DEP-006,FND-SYN-RIS-DEP-006,RIS,DEP,interview,synthetic://uiowa-rfq18649/107/ASM-006,2026-09-19,2026-09-19,ASM-006: temporary analyst capacity obtainable for the window,"FICTIONAL rehearsal record; not a University finding; source basis ASSUMED; one scenario, one reporting window",INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,NO_EVIDENCE_OBSERVED,NOT_EVIDENCED,,,,,Confirm the stated range against the cited record.
EV-SYN-RIS-DEP-ASM-007,OBS-SYN-RIS-DEP-007,FND-SYN-RIS-DEP-007,RIS,DEP,metric,synthetic://uiowa-rfq18649/107/change-deferral-log,2026-09-19,2026-09-19,ASM-007: coordination effort to defer the scheduled change by one cycle,"FICTIONAL rehearsal record; not a University finding; source basis MEASURED; one scenario, one reporting window",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,MODERATE,,,,,Confirm the stated range against the cited record.
EV-SYN-ESS-SEC-TRN-001,OBS-SYN-ESS-SEC-001,FND-SYN-ESS-SEC-001,ESS,SEC,artifact,synthetic://uiowa-rfq18649/108/change-record-001,2026-09-18,2026-09-18,SYN-APP-001 (applications): Course Fee Reconciler (fictional),"FICTIONAL rehearsal record; not a University finding; source state COMPLETED; one departing contractor, one packet",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,MODERATE,,,,,None. Retain the evidence locator for the closeout record.
EV-SYN-ESS-SEC-TRN-002,OBS-SYN-ESS-SEC-002,FND-SYN-ESS-SEC-002,ESS,SEC,interview,synthetic://uiowa-rfq18649/108/SYN-APP-002,2026-09-18,2026-09-18,SYN-APP-002 (applications): Vendor File Loader (fictional),"FICTIONAL rehearsal record; not a University finding; source state UNRESOLVED_OWNERSHIP; one departing contractor, one packet",INDIRECT,CURRENT,POPULATION_BOUNDED,NO_CORROBORATION,EVIDENCE_OF_ABSENCE,LOW,,"every application, service identity and runbook recorded as owned by SYN-PERSON-001 in packet UIOWA-108-SYNTHETIC-TRANSITION-001",the synthetic transition packet itself,packet enumeration only; not a system export,"Name an accountable owner before the contractor's last day. This is a live gap, not a paperwork gap."
EV-SYN-ESS-SEC-TRN-003,OBS-SYN-ESS-SEC-003,FND-SYN-ESS-SEC-003,ESS,SEC,interview,synthetic://uiowa-rfq18649/108/SYN-RB-001,2026-09-18,2026-09-18,SYN-RB-001 (runbooks): Nightly reconciliation restart (fictional),"FICTIONAL rehearsal record; not a University finding; source state NO_EVIDENCE; one departing contractor, one packet",INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,NO_EVIDENCE_OBSERVED,NOT_EVIDENCED,,,,,Ask for the change record or the system export that would settle it. Do not record an outcome without one.
EV-SYN-ESS-SEC-TRN-004,OBS-SYN-ESS-SEC-004,FND-SYN-ESS-SEC-004,ESS,SEC,interview,synthetic://uiowa-rfq18649/108/SYN-RB-002,2026-09-18,2026-09-18,SYN-RB-002 (runbooks): Vendor file failure triage (fictional),"FICTIONAL rehearsal record; not a University finding; source state UNRESOLVED_OWNERSHIP; one departing contractor, one packet",INDIRECT,CURRENT,POPULATION_BOUNDED,NO_CORROBORATION,EVIDENCE_OF_ABSENCE,LOW,,"every application, service identity and runbook recorded as owned by SYN-PERSON-001 in packet UIOWA-108-SYNTHETIC-TRANSITION-001",the synthetic transition packet itself,packet enumeration only; not a system export,"Name an accountable owner before the contractor's last day. This is a live gap, not a paperwork gap."
EV-SYN-ESS-SEC-TRN-005,OBS-SYN-ESS-SEC-005,FND-SYN-ESS-SEC-005,ESS,SEC,artifact,synthetic://uiowa-rfq18649/108/rotation-log-001,2026-09-18,2026-09-18,SYN-SVC-001 (service_identities): syn-svc-reconciler,"FICTIONAL rehearsal record; not a University finding; source state COMPLETED; one departing contractor, one packet",DIRECT,CURRENT,SINGLE,NO_CORROBORATION,SUPPORTING,MODERATE,,,,,None. Retain the evidence locator for the closeout record.
EV-SYN-IAM-SEC-TRN-001,OBS-SYN-IAM-SEC-001,FND-SYN-IAM-SEC-001,IAM,SEC,interview,synthetic://uiowa-rfq18649/108/SYN-SVC-002,2026-09-18,2026-09-18,SYN-SVC-002 (service_identities): syn-svc-vendorload,"FICTIONAL rehearsal record; not a University finding; source state NO_EVIDENCE; one departing contractor, one packet",INDIRECT,CURRENT,SINGLE,NO_CORROBORATION,NO_EVIDENCE_OBSERVED,NOT_EVIDENCED,,,,,Ask for the change record or the system export that would settle it. Do not record an outcome without one.
