example_id,delivery_style,request_id,criterion_id,revision,state,closed,detail,follow_up,text,packet_verdict,packet_open_criteria,packet_dangling_link_count,packet_dangling_links,packet_follow_up
UIOWA-042-SYNTHETIC-MAINTENANCE-001,maintenance_change,REQ-SYN-200,AC-200-01,1,TRACED,True,implemented by IMP-200-01; no dedicated test; declared covered by synthetic://uiowa-rfq18649/042/regression-suite-statements; accepted by business office liaison on 2026-08-14,No outstanding question for this criterion.,Exported statement totals match the ledger to the cent for the sample period.,EVIDENCED,0,0,[],No open packet question.
UIOWA-042-SYNTHETIC-MAINTENANCE-001,maintenance_change,REQ-SYN-200,AC-200-02,1,TRACED,True,implemented by IMP-200-02; tests passing: TST-200-02; accepted by business office liaison on 2026-08-14,No outstanding question for this criterion.,Existing exports produced before the change still open without error.,EVIDENCED,0,0,[],No open packet question.
UIOWA-042-SYNTHETIC-PROJECT-001,project,REQ-SYN-100,AC-100-01,2,ACCEPTED_AGAINST_SUPERSEDED_REVISION,False,implemented by IMP-100-01; tests passing: TST-100-01; accepted against revision 1; this criterion is at revision 2,The requirement changed after this was accepted. Ask who accepted revision 2 and whether the change was reviewed with them; do not carry the earlier acceptance forward.,Intake accepts a partially completed submission and retains it for seven days (raised from three during delivery).,NOT_ESTABLISHED,6,0,[],Review the open criterion follow-ups.
UIOWA-042-SYNTHETIC-PROJECT-001,project,REQ-SYN-100,AC-100-02,1,INCOMPLETE_ACCEPTANCE,False,implemented by IMP-100-02; tests passing: TST-100-02; no user acceptance record,"Ask who agreed the delivered work met the need, when, and where that is recorded. A passing test is not a substitute for that record.",A submitter can see the status of their own submission.,NOT_ESTABLISHED,6,0,[],Review the open criterion follow-ups.
UIOWA-042-SYNTHETIC-PROJECT-001,project,REQ-SYN-100,AC-100-03,1,TRACED,True,implemented by IMP-100-03; tests passing: TST-100-03; accepted by research administration lead on 2026-05-30,No outstanding question for this criterion.,Required fields are validated before a submission is accepted.,NOT_ESTABLISHED,6,0,[],Review the open criterion follow-ups.
UIOWA-042-SYNTHETIC-PROJECT-001,project,REQ-SYN-100,AC-100-04,1,SUPERSEDED,True,replaced by AC-100-05,No action: the successor revision carries the requirement.,Submissions are exported nightly in the legacy format.,NOT_ESTABLISHED,6,0,[],Review the open criterion follow-ups.
UIOWA-042-SYNTHETIC-PROJECT-001,project,REQ-SYN-100,AC-100-05,1,TRACED,True,implemented by IMP-100-05; tests passing: TST-100-05; accepted by research administration lead on 2026-05-30,No outstanding question for this criterion.,Submissions are exported nightly in the replacement format agreed in April.,NOT_ESTABLISHED,6,0,[],Review the open criterion follow-ups.
UIOWA-042-SYNTHETIC-PROJECT-001,project,REQ-SYN-100,AC-100-06,1,NOT_IMPLEMENTED,False,,"Ask whether this criterion was dropped, deferred, or delivered under another record. A criterion with no implementation is not evidence of anything either way.",An administrator can reassign a submission to another unit.,NOT_ESTABLISHED,6,0,[],Review the open criterion follow-ups.
UIOWA-042-SYNTHETIC-PROJECT-001,project,REQ-SYN-100,AC-100-07,1,TEST_NOT_PASSING,False,implemented by IMP-100-07; test results: FAIL,"Ask what the failing or unrun test covers, and what was done about it before delivery.",Attachments over the size limit are rejected with a clear message.,NOT_ESTABLISHED,6,0,[],Review the open criterion follow-ups.
UIOWA-042-SYNTHETIC-PROJECT-001,project,REQ-SYN-100,AC-100-08,1,UNTESTED,False,implemented by IMP-100-08,"Ask how this change was checked. If an existing regression suite covers it, record that locator rather than assuming it.",Submission history is retained for the current and prior cycle.,NOT_ESTABLISHED,6,0,[],Review the open criterion follow-ups.
UIOWA-042-SYNTHETIC-PROJECT-001,project,REQ-SYN-100,AC-100-09,1,INCOMPLETE_ACCEPTANCE,False,implemented by IMP-100-09; tests passing: TST-100-09; acceptance recorded by research administration lead with no evidence locator,"Ask who agreed the delivered work met the need, when, and where that is recorded. A passing test is not a substitute for that record.",The intake form is usable from the keyboard alone.,NOT_ESTABLISHED,6,0,[],Review the open criterion follow-ups.
