metric,SpaTaro_106817281,OtterVibe_106817281,MatthewHuang_106803087,TITAN_Bryce_live_median
final_reward,142496,142805,106341,99504
opp_reward,142805,142496,107361,varies
info_seed,2019828667,2019828667,1794679920,per_episode
first_sale_step,9_WHEAT_x5,32_FERTILIZER_x1,2_WHEAT_x8,2_WHEAT_x9
first_hire_step,1,1,2,2
first_plant_step,3,7,5,5
first_animal_step,1,1,2,2
first_land_unlock_step_quad,151_NE,121_NE,151_NE,151_NE
second_land_unlock,248_SW,242_SW,266_SW,266_SW
BUY_LAND_posts,74+98+151+248,121+242,151+266,151+266_every_live_game
hire_day0_to_5,6_6_6_6_6_6,5_1_3_2_8_2,5_4_4_5_4_5,5_4_4_5_4_4
hire_mid_peak,12_steady_d9_to_d23,14_peak_d20_22,12_peak_d16_20,12_steady_d18_24
animals_bought_posted,COW8_SHEEP38,SHEEP16_GOOSE2_COW6,COW3_SHEEP12_GOOSE2,COW9_SHEEP5_GOOSE3
seed_buy_posted,WHEAT115_MELON15_STRAW25_CARROT4,WHEAT111_MELON17_STRAW30_TOM7_CAR12,WHEAT163_MELON12_CAR32_STRAW33,WHEAT164_MELON12_CAR31_STRAW33
terminal_liq_pattern,drip_sell_d29_hours_5_22,bulk_WHEAT57+CARROT32_steps_718_719,mixed_small_lots_d29,FERTILIZER_6to9_plus_stock_drip_step719
SE_unlock,never_in_these_eps,never,never,never
same_action_as_TITAN_planner,8_of_2160_across_3_leader_seats,same,same,n/a
