record_id,sample_id,coa_id,jurisdiction,status,reason_code,source_sha256,normalized_sha256,result_sha256,autonomous_release
SC-001,SC-SAMPLE-001,SC-COA-001,CA,RELEASEABLE,,6129a24f1dfc4ba4ef0c3abd31da4192895caa4effc9ecfdc8d55c4eefe7eed8,6129a24f1dfc4ba4ef0c3abd31da4192895caa4effc9ecfdc8d55c4eefe7eed8,771a6141a27c9f58404d275611b32d4eb03ccd4b0145f29467069cce464aa155,False
SC-002,SC-SAMPLE-002,SC-COA-002,CO,RELEASEABLE,,ec7dcdfdb2d8e3d2770e8b65854af6e42f6fa10770212078ad2e23b4f0a6ad16,ec7dcdfdb2d8e3d2770e8b65854af6e42f6fa10770212078ad2e23b4f0a6ad16,e2a60c4651fc24b23cab4bd5091479cb3a1d5c91d6f1968a1b3c75bc66f58ffd,False
SC-003,SC-SAMPLE-003,SC-COA-003,MI,RELEASEABLE,,f641dda7059f3b73e0192b23fbee11b015ac805d91dfde5c0347b4428ea96384,f641dda7059f3b73e0192b23fbee11b015ac805d91dfde5c0347b4428ea96384,e98706bc334858af95a53dfc00136432416cb35ab4b211dfe5c424ae641986ce,False
SC-004,SC-SAMPLE-004,SC-COA-004,MD,RELEASEABLE,,50b5c9f46c6bae75bd4ede110f56d53b20226f51da7279d66c13af14fba4d3e9,50b5c9f46c6bae75bd4ede110f56d53b20226f51da7279d66c13af14fba4d3e9,f115338bc65580e337d53b0d8d324da253cdf45dfbdc1ebb5c0b73eab8d0ca23,False
SC-005,SC-SAMPLE-005,SC-COA-005,OR,RELEASEABLE,,e1f116259904de8b75358b251427809e12ae44e9e93a2e4414049a96faf9fac2,e1f116259904de8b75358b251427809e12ae44e9e93a2e4414049a96faf9fac2,51d7df0784268d07c3dd7636a04296598277724c3a06ed61f50b688324a75802,False
SC-006,SC-SAMPLE-006,SC-COA-006,CA,RELEASEABLE,,54e3d7a845dcedecee5f4fa1f49ef2ed05df69a7aee68c4f6e4a35f4bf588023,54e3d7a845dcedecee5f4fa1f49ef2ed05df69a7aee68c4f6e4a35f4bf588023,9c3c4ebe421753a2b5eb2bd67df62e866b932aa2414a5831853d6d98d8b92ede,False
SC-007,SC-SAMPLE-007,SC-COA-007,CO,RELEASEABLE,,fc7ebb07f29db8901fc5ef6e7abddc25bb72062843dfab13e496398fb387695f,fc7ebb07f29db8901fc5ef6e7abddc25bb72062843dfab13e496398fb387695f,68b8f01ee2003e8b85b1d78ad93dab9bbb961374214fb38bd8407c8b8772b571,False
SC-008,SC-SAMPLE-008,SC-COA-008,MI,RELEASEABLE,,762ecc4824ed59c9689938865e60c4fe6987c2cd2bda48cf107f7f980e8e6570,762ecc4824ed59c9689938865e60c4fe6987c2cd2bda48cf107f7f980e8e6570,4aa3e40cd16c90a1c181b257ccdf5838545ab3052b07404bc9fba0a0d0e6f38e,False
SC-009,SC-SAMPLE-009,SC-COA-009,MD,RELEASEABLE,,36de68bf46b2b92aaee01f4814bce908588cfd29a6513d6db4e248a198a4eaa7,36de68bf46b2b92aaee01f4814bce908588cfd29a6513d6db4e248a198a4eaa7,e0f38af5dc6bcb01b37c182afec2eab57476c80d339b984004176950d2785d36,False
SC-010,SC-SAMPLE-010,SC-COA-010,OR,RELEASEABLE,,5aa43d07f8c4a98b41ccc1323dbef9880cec2b4d4c06bea9db3ef08dd3958291,5aa43d07f8c4a98b41ccc1323dbef9880cec2b4d4c06bea9db3ef08dd3958291,6ecdbeddbabf41e7e824fffc883f3b78b006548a6d660501fbf5505e51dedf9e,False
SC-011,SC-SAMPLE-011,SC-COA-011,CA,RELEASEABLE,,1c9ef87fb7df6832c076f403cf37fbadd51079d8daaa78339252aa1f00fa9243,1c9ef87fb7df6832c076f403cf37fbadd51079d8daaa78339252aa1f00fa9243,b7b226f32298666b5045ed08fad5633bd3f0ed631943eeaac23aac59d4865d74,False
SC-012,SC-SAMPLE-012,SC-COA-012,CO,RELEASEABLE,,c0eabf67a7548e7eca19b72e1a66f3a2adb1d5427ed94a8e47f6c51afd6382d5,c0eabf67a7548e7eca19b72e1a66f3a2adb1d5427ed94a8e47f6c51afd6382d5,219d40cf01a9e0cf700b051fdef73ea5479be9077b95a88beb14119cc48e5f88,False
SC-013,SC-SAMPLE-013,SC-COA-013,MI,RELEASEABLE,,09dbc9eb046e9f95503fd64cc7e8e50e41d6bad89a955db2e66d8fb8d22c8ff3,09dbc9eb046e9f95503fd64cc7e8e50e41d6bad89a955db2e66d8fb8d22c8ff3,9fbef3b0547cd3da8febd4454e312dd41580853fa24ae8b22b654e0e08d55012,False
SC-014,SC-SAMPLE-014,SC-COA-014,MD,RELEASEABLE,,f9696c0c07ec2aa9541cff5e9cddedaf5937a8e15b8d259eae85fcfd36471d8e,f9696c0c07ec2aa9541cff5e9cddedaf5937a8e15b8d259eae85fcfd36471d8e,b4de8b9f9111e0c329207de72bb4e60a11977045a1eb011d9289d048d28911b4,False
SC-015,SC-SAMPLE-015,SC-COA-015,OR,RELEASEABLE,,1e4c49557c53847d1e9db829b8fd528fce63af1c29194aff15a3d98ec5473eab,1e4c49557c53847d1e9db829b8fd528fce63af1c29194aff15a3d98ec5473eab,5f5759c13122c81d3e6abc445bf982533e4624f25088101250d36f2283166005,False
SC-016,SC-SAMPLE-016,SC-COA-016,CA,RELEASEABLE,,5d51be79b48c7610088358ee41381ac5148278b9f82eba7a99088f223028b30b,5d51be79b48c7610088358ee41381ac5148278b9f82eba7a99088f223028b30b,096e9a26b30382bbe2f75e0608b412cd01727eb612725602e55c95423e9fbf4b,False
SC-017,SC-SAMPLE-017,SC-COA-017,CO,RELEASEABLE,,811589501b655613360af33c803af3c045369021a95d1bf2383fa89b4a3ed617,811589501b655613360af33c803af3c045369021a95d1bf2383fa89b4a3ed617,aa3b59c0af0ac08dba645078629f197538d3d619256a2c06c7fd39f9a8a709e8,False
