card_id,observation_id,group,assessment_area,uncertainty_type,session_id,session_label,ask_role,role_title,question,context,uncertainty_statement,example_request,decision_informed,possible_answers,absence_caveat,open_findings,source_ids,source_locators
QC-ESS-AI-10,OBS-ESS-AI-10,ESS,ai_readiness,SINGLE_SOURCE,S1,ESS delivery and incident practice,ess_release_engineer,ESS release engineer,"You've described that an AI coding assistant is in daily use on the ESS team. Is there a record produced by the system itself, rather than by a person describing it, that we could look at?",Our only support for this is the ESS engineer interview. A corroborating record would let us state it rather than attribute it to one account.,"The claim that an AI coding assistant is in daily use on the ESS team rests on the ESS engineer interview alone; no second, independently produced record was supplied.","the licence or subscription record for that assistant, or confirmation of how it was obtained if there isn't one",whether this is recorded as active departmental use or informal individual experimentation,A departmental licence exists | Obtained individually with no departmental record | It was trialled and discontinued,\N,FIND-ESS-11,SRC-ESS-INT-ENG,fictional-interviews/2026-03-04-ess-engineer.md#tooling
QC-ESS-DEP-01,OBS-ESS-DEP-01,ESS,deployment,CONFLICT,S2,Change control across shared services,change_manager,Change manager (shared services),"On approvals on standard ESS changes: the ESS change procedure indicates two approvals are required; in the sampled ESS change records, only one approval appears on 7 of 12 sampled changes. Which of those reflects the normal case, and what accounts for the other one?","We are working from the ESS change procedure and the sampled ESS change records only, and we are not assuming either one is wrong.","For approvals on standard ESS changes, the ESS change procedure and the sampled ESS change records do not agree, and no exception record was supplied that would explain the difference.","the change records for CR-411 through CR-413 including their approval entries, and any standing exception that applies to them","whether the two-approval control is operating, is documented-only, or has a standing exception we have not been shown",A documented standing exception covers those seven changes | No exception exists; single approval is the normal practice | The sampled records are incomplete and the second approval lives elsewhere,\N,FIND-ESS-03,SRC-ESS-CHG-PROC;SRC-ESS-CHG-REC,fictional-repo/ess/policy/change-management.md#approvals;fictional-repo/ess/change/records/2026-Q1-sample.csv
QC-ESS-SEC-07,OBS-ESS-SEC-07,ESS,security,CONFLICT,S1,ESS delivery and incident practice,ess_incident_commander,ESS incident commander,"On time to page the on-call engineer for a severity-1 incident: the ESS incident runbook indicates a 15-minute paging target; in the INC-0412 incident timeline, 47 minutes elapsed between detection and the page. Which of those reflects the normal case, and what accounts for the other one?","We are working from the ESS incident runbook and the INC-0412 incident timeline only, and we are not assuming either one is wrong.","For time to page the on-call engineer for a severity-1 incident, the ESS incident runbook and the INC-0412 incident timeline do not agree, and no exception record was supplied that would explain the difference.","the paging records for INC-0412, and the two most recent severity-1 incidents for comparison",whether INC-0412 is representative of paging practice or a single-incident exception,INC-0412 had a known alerting failure since corrected | Recent incidents show similar delays | The timeline records detection later than actual detection,\N,FIND-ESS-08,SRC-ESS-RUNBOOK;SRC-ESS-INC-0412,fictional-repo/ess/runbooks/incident.md#paging;fictional-repo/ess/incidents/INC-0412.md#timeline
QC-ESS-SW-04,OBS-ESS-SW-04,ESS,software,STALE_EVIDENCE,S1,ESS delivery and incident practice,ess_release_engineer,ESS release engineer,"Our evidence for ESS automated test coverage is the ESS test-coverage report from 2025-12-18, before the March 2026 platform migration. Is there an equivalent record from after that change, or did the practice stay the same through it?",We are not assuming the practice changed. We are asking whether the evidence still describes today.,"The only evidence for ESS automated test coverage is the ESS test-coverage report dated 2025-12-18, which predates the March 2026 platform migration.","a coverage report generated after the March 2026 migration, from the same tool if it is still in use",whether the coverage figure we hold still describes the current codebase,A post-migration report exists | Coverage tooling was not carried through the migration | The codebase was unchanged by the migration,\N,FIND-ESS-05,SRC-ESS-COV-RPT;SRC-ESS-MIG-NOTE,fictional-repo/ess/quality/coverage-2025-12.html;fictional-repo/ess/ops/migration-2026-03.md
QC-IAM-AI-06,OBS-IAM-AI-06,IAM,ai_readiness,AMBIGUOUS_SCOPE,S4,IAM access administration,iam_administrator,IAM administrator,"You've described that the team reports not using AI tools in its work. Does that cover assistants an individual engineer might have adopted without a departmental decision? If it differs case by case, what decides it?","This is a scope question, not a challenge to the practice — the IAM administrator interview is clear that the team reports not using AI tools in its work.","The material establishes that the team reports not using AI tools in its work (the IAM administrator interview), but does not establish whether that includes assistants an individual engineer might have adopted without a departmental decision.","a list of any AI-assisted tools currently in use by anyone on the team, however they were obtained, or confirmation that there are none",whether the AI-use inventory records zero use or unknown use for this group,"Nobody uses any such tool | Some individual use exists outside a departmental decision | Nobody has asked, so it isn't known",\N,FIND-IAM-07,SRC-IAM-INT-ADMIN,fictional-interviews/2026-03-06-iam-admin.md#ai-tools
QC-IAM-SEC-03,OBS-IAM-SEC-03,IAM,security,ABSENT_EVIDENCE,S4,IAM access administration,iam_administrator,IAM administrator,"We did not receive a completed access-review record. Does one exist, and where is it kept? If there isn't one, how is the outcome it would evidence achieved instead?","The material we were given does not include a completed access-review record. We are asking where it lives, not assuming it is absent.","No completed access-review record was supplied, although the IAM access standard indicates one would be expected.","the most recent completed access review for one application of your choosing, including its date, reviewer, and the accounts it covered","whether the annual review is performed and simply not in the supplied material, or is not currently performed",A completed review exists and can be produced | Reviews happen informally without a retained record | No review has been performed in the current cycle,Absence in the material supplied to us is not evidence that the review did not happen.,FIND-IAM-02,SRC-IAM-STD-ACC,fictional-repo/iam/policy/access-review.md
QC-IAM-SW-09,OBS-IAM-SW-09,IAM,software,AMBIGUOUS_SCOPE,S4,IAM access administration,iam_administrator,IAM administrator,"You've described that code review is mandatory before merge. Does that cover infrastructure and configuration repositories as well as application code? If it differs case by case, what decides it?","This is a scope question, not a challenge to the practice — the IAM review standard is clear that code review is mandatory before merge.","The material establishes that code review is mandatory before merge (the IAM review standard), but does not establish whether that includes infrastructure and configuration repositories as well as application code.","the list of repositories the review standard applies to, or the setting that enforces it, for one infrastructure repository",whether the review control's scope includes the repositories that carry access configuration,All repositories including infrastructure are covered | Application repositories only | It varies by repository and is not centrally set,\N,FIND-IAM-10,SRC-IAM-REV-STD,fictional-repo/iam/policy/code-review.md#scope
QC-RIS-AI-08,OBS-RIS-AI-08,RIS,ai_readiness,ABSENT_EVIDENCE,S3,RIS reporting and data practice,ris_data_lead,RIS data lead,"We did not receive a data inventory for the reporting warehouse. Does one exist, and where is it kept? If there isn't one, how is the outcome it would evidence achieved instead?","The material we were given does not include a data inventory for the reporting warehouse. We are asking where it lives, not assuming it is absent.","No data inventory for the reporting warehouse was supplied, although the RIS AI-readiness questionnaire, which refers to one indicates one would be expected.","the data inventory or catalogue the questionnaire refers to, in whatever form it exists, even a spreadsheet","whether data readiness can be assessed at all for this group, or stays unassessed",An inventory exists in some form | No inventory exists | An inventory exists but is maintained by another department,Absence in the material supplied to us is not evidence that no inventory exists.,FIND-RIS-09,SRC-RIS-AI-QUES,fictional-interviews/2026-03-07-ris-ai-questionnaire.md
QC-RIS-DEP-05,OBS-RIS-DEP-05,RIS,deployment,UNREPRESENTATIVE_SAMPLE,S3,RIS reporting and data practice,ris_data_lead,RIS data lead,"The records we have for RIS deployment frequency cover three weeks in February 2026. Is that a typical period, and if not, which window would be?",We would rather widen the sample than generalize from three weeks in February 2026.,Evidence for RIS deployment frequency covers three weeks in February 2026; two of those weeks fall inside a published change freeze means it may not describe ordinary operation.,"the deployment log for a twelve-week period that does not include a freeze, or confirmation of which weeks were frozen",whether the observed deployment rate can be described as ordinary operation,A longer log is available | The three weeks are typical; the freeze affected other teams | Longer history is not retained,\N,FIND-RIS-04,SRC-RIS-DEP-LOG,fictional-repo/ris/deploy/log-2026-02.csv
QC-RIS-SW-02,OBS-RIS-SW-02,RIS,software,SINGLE_SOURCE,S3,RIS reporting and data practice,ris_data_lead,RIS data lead,"You've described that every RIS change is peer reviewed before merge. Is there a record produced by the system itself, rather than by a person describing it, that we could look at?",Our only support for this is the RIS team lead interview. A corroborating record would let us state it rather than attribute it to one account.,"The claim that every RIS change is peer reviewed before merge rests on the RIS team lead interview alone; no second, independently produced record was supplied.","a merge history export for the RIS reporting repository covering any four-week period, showing reviewer and approval state per change",whether peer review can be stated as observed practice or must stay attributed to one account,A merge history export is available | No tool record exists because review happens verbally | Review is applied to some repositories only,\N,FIND-RIS-01,SRC-RIS-INT-LEAD,fictional-interviews/2026-03-05-ris-lead.md#code-review
