lane,stored_in,file,line,claimed,measured,verdict,basis,reason
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/README.md,176,33,33,AGREES,suite:test_acceptance_map.py,matches the measured run
uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case,uiowa_rfq_18649_ai_decision_case/README.md,161,34,34,AGREES,suite:test_ai_decision_case.py,matches the measured run
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/README.md,147,39,39,AGREES,suite:test_opportunity_portfolio.py,matches the measured run
uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/README.md,161,43,43,AGREES,suite:test_inventory.py,matches the measured run
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/README.md,64,35,35,AGREES,suite:test_bid_pack.py,matches the measured run
uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack,uiowa_rfq_18649_bid_pack/README.md,185,35,35,AGREES,lane_total,matches the measured run
uiowa_rfq_18649_capacity_benchmark,uiowa_rfq_18649_capacity_benchmark,uiowa_rfq_18649_capacity_benchmark/README.md,58,36,36,AGREES,suite:test_capacity_benchmark.py,matches the measured run
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/README.md,42,51,51,AGREES,suite:test_capacity_roadmap.py,matches the measured run
uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility,uiowa_rfq_18649_capacity_feasibility/README.md,167,51,51,AGREES,lane_total,matches the measured run
uiowa_rfq_18649_contractor_transition,uiowa_rfq_18649_contractor_transition,uiowa_rfq_18649_contractor_transition/README.md,140,34,34,AGREES,suite:test_transition.py,matches the measured run
uiowa_rfq_18649_deadline_continuity,uiowa_rfq_18649_deadline_continuity,uiowa_rfq_18649_deadline_continuity/README.md,131,42,42,AGREES,suite:test_continuity.py,matches the measured run
uiowa_rfq_18649_filesystem_safety,uiowa_rfq_18649_filesystem_safety,uiowa_rfq_18649_filesystem_safety/README.md,47,24,24,AGREES,lane_total,matches the measured run
uiowa_rfq_18649_filesystem_safety,uiowa_rfq_18649_filesystem_safety,uiowa_rfq_18649_filesystem_safety/README.md,153,24,24,AGREES,suite:test_fsaudit.py,matches the measured run
uiowa_rfq_18649_milestone_packets,uiowa_rfq_18649_milestone_packets,uiowa_rfq_18649_milestone_packets/README.md,135,55,55,AGREES,lane_total,matches the measured run
uiowa_rfq_18649_milestone_packets,uiowa_rfq_18649_milestone_packets,uiowa_rfq_18649_milestone_packets/README.md,178,55,55,AGREES,suite:test_milestone_packets.py,matches the measured run
