lane,module,line,kind,call,classification,target,why
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/build_index.py,176,DESTRUCTIVE,os.rmdir,REVIEW_REQUIRED,packet_dir,target is the function parameter 'packet_dir' -- the caller chooses what gets removed
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/build_index.py,233,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(packet_dir, 'MANIFEST.json')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/build_index.py,362,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(args.out, 'acceptance_index.json')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/build_index.py,365,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(args.out, 'acceptance_index.csv')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/build_index.py,373,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(args.out, 'needs_engagement_evidence.csv')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/build_index.py,376,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(args.out, 'ACCEPTANCE_INDEX.md')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/build_index.py,183,DESTRUCTIVE,shutil.rmtree,REVIEW_REQUIRED,packet_dir,target is the function parameter 'packet_dir' -- the caller chooses what gets removed
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/checks.py,190,OPAQUE_SUBPROCESS,subprocess.run,UNDETERMINED,params['argv'],shells out; what runs inside is not visible to this screen
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,377,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,cls.tmp,"in a test module; target is attribute cls.tmp, not traced"
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,270,DESTRUCTIVE,os.remove,TEST_CONTEXT,target,in a test module; 'target' has an assignment that could not be traced
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,80,WRITE,open(mode='w'),TEST_CONTEXT,copy,in a test module; 'copy' is assigned from module-local values
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,196,WRITE,open(mode='w'),TEST_CONTEXT,path,in a test module; 'path' is assigned from module-local values
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,212,WRITE,open(mode='w'),TEST_CONTEXT,path,in a test module; 'path' is assigned from module-local values
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,224,WRITE,open(mode='w'),TEST_CONTEXT,"os.path.join(tmp, 'r.csv')",in a test module; path is joined from module-local parts
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,236,WRITE,open(mode='w'),TEST_CONTEXT,"os.path.join(tmp, 'r.md')",in a test module; path is joined from module-local parts
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,317,WRITE,open(mode='w'),TEST_CONTEXT,keep,in a test module; 'keep' is assigned from module-local values
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,330,WRITE,open(mode='w'),TEST_CONTEXT,"os.path.join(victim, 'MANIFEST.json')",in a test module; path is joined from module-local parts
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,340,WRITE,open(mode='w'),TEST_CONTEXT,"os.path.join(victim, 'MANIFEST.json')",in a test module; path is joined from module-local parts
uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/test_acceptance_map.py,355,WRITE,open(mode='w'),TEST_CONTEXT,"os.path.join(victim, 'keep.txt')",in a test module; path is joined from module-local parts
uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/readiness.py,719,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/readiness.py,969,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,instrument_path,writes to a caller-supplied path; 'instrument_path' is assigned from external input. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/readiness.py,982,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(args.outdir, 'readiness_assessment.json')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_adoption_readiness,uiowa_rfq_18649_adoption_readiness/readiness.py,989,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,"os.path.join(args.outdir, 'readiness_report.md')",writes to a caller-supplied path; path is joined from externally controlled parts. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/eval_kit.py,427,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/eval_kit.py,630,DESTRUCTIVE,shutil.rmtree,SELF_SCOPED,tmp,'tmp' is assigned from module-local values
uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/interchange.py,152,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/interchange.py,187,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/test_eval_kit.py,335,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,first,in a test module; 'first' is assigned from module-local values
uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/test_eval_kit.py,336,DESTRUCTIVE,shutil.rmtree,TEST_CONTEXT,second,in a test module; 'second' is assigned from module-local values
uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/build_kit.py,24,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; 'path' is assigned from external input. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_integration,uiowa_rfq_18649_ai_integration/demo_swap.py,166,WRITE,open(mode='w'),SELF_SCOPED,'out/swap_receipt.json',target is a literal in this module
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/opportunity_portfolio.py,679,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
uiowa_rfq_18649_ai_opportunity_portfolio,uiowa_rfq_18649_ai_opportunity_portfolio/opportunity_portfolio.py,712,WRITE,open(mode='w'),WRITE_TO_CALLER_PATH,path,writes to a caller-supplied path; target is the function parameter 'path' -- the caller chooses what gets removed. Normal for a CLI with an output option -- confirm it cannot be pointed at evidence you must keep
