week,cash_cost,imputed_effort_noncash,invoices_issued,receipts,pre_receipt_cash,closing_cash,events,invoice_ids,cash_ids,D_pre_formula,E_close_formula
0,800.00,2000.00,9600.00,0.00,4200.00,4200.00,kickoff:written_authorization,kickoff,,opening-B0,D0+C0
1,800.00,2000.00,0.00,9600.00,3400.00,13000.00,,,kickoff,E0-B1,D1+C1
2,800.00,2000.00,0.00,0.00,12200.00,12200.00,,,,E1-B2,D2+C2
3,800.00,2000.00,0.00,0.00,11400.00,11400.00,,,,E2-B3,D3+C3
4,800.00,2000.00,9600.00,0.00,10600.00,10600.00,draft:draft_delivery,draft,,E3-B4,D4+C4
5,800.00,2000.00,0.00,9600.00,9800.00,19400.00,,,draft,E4-B5,D5+C5
6,800.00,2000.00,0.00,0.00,18600.00,18600.00,,,,E5-B6,D6+C6
7,800.00,2000.00,4800.00,0.00,17800.00,17800.00,final:written_final_acceptance,final,,E6-B7,D7+C7
8,0.00,0.00,0.00,4800.00,17800.00,22600.00,,,final,E7-B8,D8+C8
9,0.00,0.00,0.00,0.00,22600.00,22600.00,,,,E8-B9,D9+C9
10,0.00,0.00,0.00,0.00,22600.00,22600.00,,,,E9-B10,D10+C10
11,0.00,0.00,0.00,0.00,22600.00,22600.00,,,,E10-B11,D11+C11
12,0.00,0.00,0.00,0.00,22600.00,22600.00,,,,E11-B12,D12+C12
13,0.00,0.00,0.00,0.00,22600.00,22600.00,,,,E12-B13,D13+C13
14,0.00,0.00,0.00,0.00,22600.00,22600.00,,,,E13-B14,D14+C14
15,0.00,0.00,0.00,0.00,22600.00,22600.00,,,,E14-B15,D15+C15
