"framework","version","publication_date","locator","source_concept","assessment_area","proposed_assessment_use","evidence_examples","adaptation_limit","source_url"
"SSDF","1.1","2022-02-03","PO.1","Prepare the Organization — Define Security Requirements for Software Development","software_development|security","Use as an interview and artifact prompt for how development security requirements are established, maintained, and communicated.","security requirements; engineering standards; exception records; review checklists","A practice reference, not proof that a team follows it and not a compliance criterion.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PO.2","Prepare the Organization — Implement Roles and Responsibilities","software_development|security","Test whether security responsibilities, decision rights, and escalation paths are explicit across delivery roles.","RACI or role definitions; onboarding material; review ownership; escalation records","Role clarity must be observed in the assessed team; publication of a role model alone is intent evidence.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PO.3","Prepare the Organization — Implement Supporting Toolchains","software_development|security|deployment_operations","Ask how toolchains support security practices consistently from source through build and delivery.","repository controls; CI/CD configuration; scanning integrations; build provenance","Tool presence is not equivalent to effective use; configuration, coverage, and response evidence are separate.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PO.4","Prepare the Organization — Define and Use Criteria for Software Security Checks","software_development|security","Assess whether teams define release or change criteria for security checks and how exceptions are handled.","quality gates; scan thresholds; waiver criteria; release checklists","Do not impose one universal threshold across ESS, RIS, and IAM; criteria should be interpreted in local risk context.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PO.5","Prepare the Organization — Implement and Maintain Secure Environments for Software Development","software_development|security|deployment_operations","Examine separation, access, maintenance, and monitoring of development/build environments.","environment inventory; access controls; CI runner configuration; maintenance records","This does not prescribe a specific hosting model or vendor.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PS.1","Protect the Software — Protect All Forms of Code from Unauthorized Access and Tampering","software_development|security","Check how source and related code artifacts are protected through least privilege and change controls.","repository permissions; branch protections; access reviews; audit logs","Controls must be sampled in the actual repositories or systems in scope; policy alone is not implementation evidence.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PS.2","Protect the Software — Provide a Mechanism for Verifying Software Release Integrity","software_development|security|deployment_operations","Ask how release integrity is established and verified before or during deployment.","signatures; checksums; provenance records; controlled artifact repositories","Mechanisms vary by delivery model; absence of one named technique is not itself a finding.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PS.3","Protect the Software — Archive and Protect Each Software Release","software_development|security|deployment_operations","Assess whether released artifacts and supporting provenance can be reconstructed for investigation and rollback.","release archives; manifests; retained build metadata; rollback records","Retention needs depend on service and University policy; the SSDF practice is not a retention schedule.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PW.1","Produce Well-Secured Software — Design Software to Meet Security Requirements and Mitigate Security Risks","software_development|security","Test how security requirements and risk analysis influence design decisions before implementation.","architecture decisions; threat models; design reviews; risk records","Use to structure evidence collection, not to infer that every change requires the same design ceremony.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PW.2","Produce Well-Secured Software — Review the Software Design","software_development|security","Assess whether design review checks alignment with requirements and identified risk.","design-review records; architecture review notes; security sign-off; exception logs","Review depth should be calibrated to risk and change type; no maturity score is implied.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PW.4","Produce Well-Secured Software — Reuse Existing, Well-Secured Software When Feasible","software_development|security","Explore dependency selection, reuse decisions, and evaluation of external components.","dependency inventories; component approval criteria; upgrade records; SBOMs where used","This is not a procurement recommendation and does not require any particular component-management product.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PW.5","Produce Well-Secured Software — Create Source Code by Adhering to Secure Coding Practices","software_development|security","Assess how secure coding expectations are translated into day-to-day development and review.","coding standards; review templates; training; defect examples","Published standards are intent evidence until implementation is corroborated.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PW.6","Produce Well-Secured Software — Configure Compilation, Interpreter, and Build Processes to Improve Executable Security","software_development|security|deployment_operations","Inspect repeatability and security-relevant configuration of build processes.","build definitions; compiler/interpreter settings; immutable pipeline definitions; build logs","Applicability differs for compiled, interpreted, low-code, SaaS, and vendor-managed systems.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PW.7","Produce Well-Secured Software — Review and/or Analyze Human-Readable Code","software_development|security","Examine review and analysis practices used to find vulnerabilities and verify requirements.","peer-review records; static analysis; review coverage; remediation evidence","Tool output counts as detection evidence only when scope, triage, and disposition are known.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PW.8","Produce Well-Secured Software — Test Executable Code","software_development|security","Assess executable testing used to identify vulnerabilities and verify security requirements.","dynamic testing; integration tests; security test plans; findings and fixes","Specific testing techniques should be selected by context; this crosswalk does not require a particular tool.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","PW.9","Produce Well-Secured Software — Configure Software to Have Secure Settings by Default","software_development|security|deployment_operations","Ask how secure defaults, deployment configuration, and documented exceptions are maintained.","configuration baselines; deployment templates; hardening standards; exception records","Secure-default evidence must be interpreted against the service's actual operational context.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","RV.1","Respond to Vulnerabilities — Identify and Confirm Vulnerabilities on an Ongoing Basis","security|deployment_operations","Examine intake, monitoring, confirmation, and disclosure paths for vulnerabilities affecting delivered software.","vulnerability intake; disclosure process; monitoring feeds; triage records","Volume of findings alone is not a performance or maturity measure.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","RV.2","Respond to Vulnerabilities — Assess, Prioritize, and Remediate Vulnerabilities","security|deployment_operations","Assess prioritization logic, ownership, remediation tracking, and risk acceptance.","severity criteria; remediation SLAs or objectives; tickets; exceptions; verification","Do not compare raw remediation times without severity, service criticality, and denominator context.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"SSDF","1.1","2022-02-03","RV.3","Respond to Vulnerabilities — Analyze Vulnerabilities to Identify Their Root Causes","software_development|security|deployment_operations","Look for learning loops that translate vulnerability root causes into process or design changes.","root-cause analyses; recurring-defect trends; revised controls; retrospective actions","A single retrospective is not evidence of a sustained learning system.","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf"
"CSF","2.0","2024-02-26","GV.OC","GOVERN — Organizational Context","security|deployment_operations","Frame mission, stakeholder, dependency, and service-context questions before interpreting cybersecurity practices.","service charters; stakeholder maps; dependency registers; critical-service definitions","CSF outcomes are high-level and non-prescriptive; they are not direct evidence of Iowa practice.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
"CSF","2.0","2024-02-26","GV.RM","GOVERN — Risk Management Strategy","security|deployment_operations","Assess how priorities, constraints, risk tolerance, and assumptions guide operational risk decisions.","risk criteria; exception rules; prioritization records; decision logs","Do not translate risk language into an invented maturity score.","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf"
