input_id,phase,input_needed,why_needed,blocks_component,who_would_supply,status
UNK-01,kickoff,Confirmed kickoff date,Every date in the mobilization plan is expressed relative to kickoff; without it no schedule in the kit resolves to a calendar,uiowa_rfq_18649_mobilization,University contract/procurement contact,UNKNOWN
UNK-02,kickoff,Named engagement sponsor and day-to-day University point of contact,The coordination forms have contact slots that cannot be filled by the kit; escalation path is undefined without them,uiowa_rfq_18649_mobilization,University sponsor,UNKNOWN
UNK-03,kickoff,Authoritative list of AIS teams in scope and the services each one runs,Determines how many evidence sets exist and which assessment areas apply to each; the kit currently exercises three fictional teams,uiowa_rfq_18649_synthetic_collection,AIS leadership,UNKNOWN
UNK-04,kickoff,Written scope boundary: which systems and data are explicitly out of scope,Prevents the assessment from collecting evidence it has no authorization to hold,uiowa_rfq_18649_workshare,University sponsor,UNKNOWN
UNK-05,kickoff,Access method and approval for any University system the team is permitted to view,The kit is offline by construction and connects to nothing; any read access is a separate University decision,uiowa_rfq_18649_workshare,University IT security,UNKNOWN
UNK-06,evidence_collection,Interview participant list with roles and availability windows,Determines interview scheduling and which worksheets are used; no scheduling is performed by the kit,uiowa_rfq_18649_mobilization,AIS managers,UNKNOWN
UNK-07,evidence_collection,Real SDLC and change-management documentation,The analysis components read supplied documents; today they read a fictional corpus only,uiowa_rfq_18649_document_extraction,AIS engineering leads,UNKNOWN
UNK-08,evidence_collection,Incident records for an agreed lookback window including postmortems and corrective-action status,Incident learning needs at least one overdue action and one completed action to be assessable; the synthetic set supplies those only as fiction,uiowa_rfq_18649_incident_learning,AIS operations,UNKNOWN
UNK-09,evidence_collection,Backup job records AND at least one documented restoration exercise,The kit deliberately separates backup completion from demonstrated restoration; only the University can supply evidence of the second,uiowa_rfq_18649_recovery_evidence,AIS infrastructure,UNKNOWN
UNK-10,evidence_collection,Monitoring and alerting configuration exports or screenshots and any service objectives in force,Observability assessment reads supplied evidence and connects to no monitoring system,uiowa_rfq_18649_observability,AIS operations,UNKNOWN
UNK-11,evidence_collection,Security-event review records with ownership and disposition,Security-event assessment evaluates supplied records only; it reads no SIEM or identity system,uiowa_rfq_18649_security_event_review,University information security,UNKNOWN
UNK-12,evidence_collection,Deployment records for a sample of releases with artifact identifiers and approval evidence,Release provenance traces a deployment to an artifact digest; without real records the trace is fictional,uiowa_rfq_18649_release_provenance,AIS release engineering,UNKNOWN
UNK-13,evidence_collection,Current test-data catalog including ownership refresh cadence and retention rules,Test-data readiness assesses a supplied catalog; it cannot enumerate datasets itself,uiowa_rfq_18649_test_data_readiness,AIS QA/data owners,UNKNOWN
UNK-14,evidence_collection,Inventory of AI tools currently in use separated into active use informal experimentation and planned,The AI-use inventory is a collection instrument; the University holds the only accurate answer and informal use is easy to under-report,uiowa_rfq_18649_ai_use_inventory,AIS staff and managers,UNKNOWN
UNK-15,evidence_collection,Any existing AI or acceptable-use policy text in force,Policy-to-workflow assessment compares written policy against observed workflow; it needs the actual policy text,uiowa_rfq_18649_ai_policy_to_workflow,University policy office,UNKNOWN
UNK-16,analysis,Delivery volume and timing data for an agreed measurement window,Delivery metrics require stated workload sizes and a defined environment; estimates must be labelled as estimates not measured,uiowa_rfq_18649_delivery_metrics,AIS engineering leads,UNKNOWN
UNK-17,analysis,Staffing counts and role mix available for improvement work,Resource and adoption estimates separate one-time from recurring effort and cannot be produced without a real capacity figure,uiowa_rfq_18649_prioritization,AIS leadership,UNKNOWN
UNK-18,analysis,The University's own weighting of what matters most among quality security reliability and speed,The prioritization weights are visible and adjustable on purpose; the defaults are placeholders not a recommendation,uiowa_rfq_18649_prioritization,University sponsor,UNKNOWN
UNK-19,analysis,Constraints that rule options out such as budget freezes procurement rules or union agreements,A recommendation the University cannot act on is not a recommendation; the kit cannot infer these,uiowa_rfq_18649_adoption_readiness,University sponsor,UNKNOWN
UNK-20,draft_review,Named draft reviewers and the review window,Documentation usability is measured from a real reviewer performing a real task; a synthetic reviewer proves only that the method runs,uiowa_rfq_18649_doc_usability,University sponsor,UNKNOWN
UNK-21,draft_review,University corrections and disagreements on the draft,Unresolved disagreements are preserved rather than edited away; that requires the University to state them,uiowa_rfq_18649_qa_kit,University reviewers,UNKNOWN
UNK-22,final_delivery,Required final-report format accessibility requirements and delivery channel,The report structure and visual-language checks target a format the University has not yet specified,uiowa_rfq_18649_report_structure,University contract contact,UNKNOWN
UNK-23,final_delivery,Evidence disposition instruction for the RFQ's 30-day post-completion period,The closeout kit validates a disposition record and deliberately deletes nothing; the instruction is the University's to give,uiowa_rfq_18649_closeout,University contract contact,UNKNOWN
UNK-24,readout,Whether the optional readout is wanted and who attends,The deck architecture exists but its audience and depth are undetermined,uiowa_rfq_18649_readout_deck,University sponsor,UNKNOWN
