path_id,profile_id,assessment_area,variant,verdict,baseline_level,target_level,level_gain,evidence_ceiling,effort_person_days,effort_is_partial,skills_needed,reason
PATH-SYN-SD-01,PROF-SYN-ESS-SD-01,software_development,direct,FEASIBLE,3,4,1,4,7,NO,reporting|repository administration,"Level 3 (practised) to level 4 (consistent). The steps produce repeated_instances, which supports up to level 4, so the target is earned by the evidence rather than asserted."
PATH-SYN-SEC-01,PROF-SYN-RIS-SEC-01,security,direct,FEASIBLE,2,3,1,3,5,NO,identity administration,"Level 2 (documented) to level 3 (practised). The steps produce single_observed_instance, which supports up to level 3, so the target is earned by the evidence rather than asserted."
PATH-SYN-SEC-02,PROF-SYN-RIS-SEC-01,security,limited_capacity,FEASIBLE,2,3,1,3,2,NO,identity administration,"Level 2 (documented) to level 3 (practised). The steps produce single_observed_instance, which supports up to level 3, so the target is earned by the evidence rather than asserted."
PATH-SYN-DEP-01,PROF-SYN-IAM-DEP-01,deployment,direct,FEASIBLE,4,5,1,5,8,NO,measurement design|reporting,"Level 4 (consistent) to level 5 (measured). The steps produce outcome_measurement, which supports up to level 5, so the target is earned by the evidence rather than asserted."
PATH-SYN-AI-01,PROF-SYN-RIS-AI-01,ai_readiness,limited_capacity,FEASIBLE,3,4,1,4,1,YES,analysis,"Level 3 (practised) to level 4 (consistent). The steps produce repeated_instances, which supports up to level 4, so the target is earned by the evidence rather than asserted."
PATH-SYN-SEC-06,PROF-SYN-IAM-SEC-01,security,shared_service,FEASIBLE,3,4,1,4,7,NO,identity administration|reporting,"Level 3 (practised) to level 4 (consistent). The steps produce repeated_instances, which supports up to level 4, so the target is earned by the evidence rather than asserted."
PATH-SYN-SEC-03,PROF-SYN-RIS-SEC-01,security,direct,REFUSED_EVIDENCE_CAP,2,4,2,2,NOT_APPLICABLE,NO,,"Refused: these steps produce policy_document, procedure_document, which supports up to level 2. Level 4 needs evidence of a kind this path never creates. Effort cannot buy the difference -- the cap is about the kind of evidence, not its volume."
PATH-SYN-SEC-04,PROF-SYN-RIS-SEC-01,security,direct,REFUSED_ASPIRATIONAL_JUMP,2,5,3,,NOT_APPLICABLE,NO,,"Refused: level 2 to level 5 is a gain of 3, beyond the 2-level maximum this method will plan. A longer jump is an aspiration, not a path; split it and plan the first 2 levels."
PATH-SYN-AI-02,PROF-SYN-ESS-AI-01,ai_readiness,direct,BASELINE_UNKNOWN,UNKNOWN,3,UNKNOWN,,NOT_APPLICABLE,NO,,"No path is produced. The baseline is not established: assessment_status is 'unassessed', so no level is computed. Not level 1: an unassessed practice is an open question, not a weak one. A route needs a starting point, and inventing one would be the unverified baseline this method must not present as fact."
PATH-SYN-SEC-05,PROF-SYN-IAM-SEC-01,security,direct,REFUSED_NO_OBSERVABLE,3,4,1,4,NOT_APPLICABLE,NO,,"Refused: step(s) SEC-05-A state no observable advancement. A step whose completion nobody can check is not a plan, and it is not made into one by writing TBD."
PATH-SYN-SD-02,PROF-SYN-ESS-SD-01,software_development,direct,REFUSED_UNMET_PREREQUISITE,3,4,1,4,NOT_APPLICABLE,NO,,Refused: prerequisite(s) SD-02-Z are named by a step but produced by no step in this path. Either add the step or declare the prerequisite external with an 'EXTERNAL:' prefix so it is visibly somebody else's to deliver.
