panel,seed,opponent,seat,own_cash,rival_cash,margin,status,failure,trace_sha256,own_max_call_seconds
dev_arlene,9850001,arlene,0,74457,74858,-401,complete,,24b9c7239e014be91c81dac155686650414758d5b82f240dc7c871d47788d18a,0.036422
dev_arlene,9850001,arlene,1,74858,74457,401,complete,,24b9c7239e014be91c81dac155686650414758d5b82f240dc7c871d47788d18a,0.029856
dev_arlene,9850001,apex,0,69269,71298,-2029,complete,,e19ec61b0759f1cd2e25fb54235cde54db8f5ae0cc7ca16621b1ec894a5d1db4,0.018607
dev_arlene,9850001,apex,1,63908,52847,11061,complete,,8285d79a5c5c451dfee5910c4a6c7c0ae88433867e341ff1c99c8059d1f7aa0f,0.015365
dev_arlene,9850019,arlene,0,115839,115839,0,complete,,948c7883f50ab2dd2934e90159fe96072deb89e537772d5f95dc110ae4703306,0.042725
dev_arlene,9850019,arlene,1,115839,115839,0,complete,,948c7883f50ab2dd2934e90159fe96072deb89e537772d5f95dc110ae4703306,0.043014
dev_arlene,9850019,apex,0,106392,105189,1203,complete,,595ebfc0f70ddbe2c9c21ffd1f7ded3ad614b574e154850016edf32498cc152c,0.039121
dev_arlene,9850019,apex,1,106392,105189,1203,complete,,b663be5d8f431009a74e6cd67050c1e4721768d9161ff41286fad6d64d6ee241,0.024853
dev_arlene,9850037,arlene,0,60977,60977,0,complete,,d9bf9423a4e1c9c95e0f754017f81a992c7073a216c84acb0d2bc89166cfae77,0.029472
dev_arlene,9850037,arlene,1,60977,60977,0,complete,,d9bf9423a4e1c9c95e0f754017f81a992c7073a216c84acb0d2bc89166cfae77,0.018419
dev_arlene,9850037,apex,0,61525,51958,9567,complete,,e86af56fd839b4272dd1c78f95868094f1c6a945c72ee9fe9c720ac7a938262e,0.022922
dev_arlene,9850037,apex,1,61525,51958,9567,complete,,3c75ba2fa572da2225db6b6addc5e7e51c40f11874f526421477bb44a1398236,0.045135
dev_sell,9850001,arlene,0,75111,74738,373,complete,,4eb501b5ff6b37465b6bcde9bd561303ebdca8cc30066937a77c0b074cb3ede2,0.063247
dev_sell,9850001,arlene,1,75512,74337,1175,complete,,efefe0291e75fb0367569f84f5a2ebcc1f1022cb0fa543b1742fcd50953c4a10,0.062958
dev_sell,9850001,apex,0,69273,71055,-1782,complete,,d71458ba2a2714b7f35c9d6178e317e4d405d97a78e53043d4bb1a1beb3150a3,0.066185
dev_sell,9850001,apex,1,63061,52828,10233,complete,,e3c5d4d59e053e3ea668420ddfafe7fb25f75bc1fcd3d7b249e49823852a61f4,0.059076
dev_sell,9850019,arlene,0,116638,116057,581,complete,,445758a4aef8611bb4f939953450979009396e6da8e656de4cc1779ab1654bea,0.132036
dev_sell,9850019,arlene,1,116638,116057,581,complete,,92c375998e671d52b27b07978784b58e324c1f6cb203d11576a14c4f388717cc,0.069182
dev_sell,9850019,apex,0,106381,104588,1793,complete,,6012b0d67e0f1a2547c64566c3897a79e40115901b64f0ad7ae515feb6f8c39a,0.073276
dev_sell,9850019,apex,1,106381,104588,1793,complete,,3ce7ff6d694363b7f7182aa45fd45b39d3ad347bc3f8f33604757c8687441895,0.075077
dev_sell,9850037,arlene,0,60805,60741,64,complete,,1e998228fe3595c73695bcb61139d010c776ee47b7da22398ddc9da121ee2e42,0.06424
dev_sell,9850037,arlene,1,60805,60741,64,complete,,e3e97fdcdd543511aec21b53d59097b55a867cf42c6429880050105e3da4fd86,0.069031
