action_step,seat_0_cash,seat_1_cash
0,749.0,2094.0
23,65.0,3.0
47,44.0,94.0
71,41.0,208.0
95,301.0,260.0
119,783.0,602.0
143,79.0,712.0
167,101.0,519.0
191,43.0,128.0
215,1883.0,1318.0
239,1227.0,1969.0
263,9800.0,15673.0
287,11519.0,14938.0
311,14226.0,17399.0
335,15387.0,20647.0
359,21456.0,24418.0
383,24988.0,31701.0
407,33535.0,37898.0
431,43367.0,42515.0
455,50739.0,48365.0
479,56418.0,53887.0
503,67113.0,59481.0
527,72362.0,65602.0
551,77868.0,69903.0
575,79909.0,73882.0
599,85718.0,77417.0
623,91207.0,82810.0
647,98696.0,85503.0
671,108532.0,92612.0
695,117431.0,97272.0
718,139044.0,106987.0
