case_id,lifecycle_event,worker_type,system,environment,intent,entitlement,effective_on,status,rests_on_policy_alone,stale_evidence_excluded,what_would_settle_it
CASE-SYN-LEAVER-01,leaver,contractor,central identity provider,shared,revoke,standard staff account,2026-08-31,CONFIRMED_IN_SYSTEM,NO,0,
CASE-SYN-LEAVER-01,leaver,contractor,source repository,development,revoke,write access to two repositories,2026-08-31,ACTION_RECORDED,NO,0,Request this system's own state as at a date after 2026-08-31: an export or account listing showing whether the revoke took effect.
CASE-SYN-LEAVER-01,leaver,contractor,deployment pipeline,deployment,revoke,"local pipeline account, created outside the identity provider",2026-08-31,POLICY_ONLY,YES,0,"No case-specific evidence establishes anything about this system. A written policy is an intent, not a record of what happened here."
CASE-SYN-MOVER-01,mover,staff,deployment pipeline,deployment,grant,release approver role,2026-07-01,CONFIRMED_IN_SYSTEM,NO,0,
CASE-SYN-MOVER-01,mover,staff,support console,production support,revoke,"tier 2 support role, no longer required",2026-07-01,REQUESTED_ONLY,NO,0,Request this system's own state as at a date after 2026-07-01: an export or account listing showing whether the revoke took effect.
CASE-SYN-JOINER-01,joiner,staff,central identity provider,shared,grant,standard staff account,2026-06-01,CONFIRMED_IN_SYSTEM,NO,0,
CASE-SYN-JOINER-01,joiner,staff,source repository,development,grant,write access to one repository,2026-06-01,CONFIRMED_IN_SYSTEM,NO,0,
CASE-SYN-EMERGENCY-01,emergency_access,staff,deployment pipeline,deployment,grant,emergency elevated role,2026-08-12,CONFIRMED_IN_SYSTEM,NO,0,
CASE-SYN-EMERGENCY-01,emergency_access,staff,deployment pipeline,deployment,revoke,"emergency elevated role, after the incident",2026-08-13,ACTION_RECORDED,NO,0,Request this system's own state as at a date after 2026-08-13: an export or account listing showing whether the revoke took effect.
CASE-SYN-LEAVER-02,leaver,staff,central identity provider,shared,revoke,standard staff account,2026-05-29,POLICY_ONLY,YES,0,"No case-specific evidence establishes anything about this system. A written policy is an intent, not a record of what happened here."
CASE-SYN-LEAVER-02,leaver,staff,reporting database,production support,revoke,read access,2026-05-29,POLICY_ONLY,YES,0,"No case-specific evidence establishes anything about this system. A written policy is an intent, not a record of what happened here."
CASE-SYN-LEAVER-03,leaver,staff,central identity provider,shared,revoke,standard staff account,2026-09-05,APPROVED_ONLY,NO,1,Request this system's own state as at a date after 2026-09-05: an export or account listing showing whether the revoke took effect.
CASE-SYN-LEAVER-03,leaver,staff,reporting database,production support,revoke,administrative role,2026-09-05,CONTRADICTED_IN_SYSTEM,NO,0,"The system's state does not match the intent. Establish whether the change was reversed, never applied, or applied to a different account."
