lane,cwd_independence,from_lane_exit,from_root_exit,state_leakage,files_written_outside_lane,top_level_modules,colliding_modules
uiowa_rfq_18649_acceptance_map,PASS,0,0,PASS,none,build_index; checks; exhibit_parser,none
uiowa_rfq_18649_adoption_readiness,PASS,0,0,PASS,none,readiness,none
uiowa_rfq_18649_ai_decision_case,PASS,0,0,PASS,none,ai_decision_case; case; explain; model; sensitivity,model; sensitivity
uiowa_rfq_18649_ai_eval_kit,PASS,0,0,PASS,none,eval_kit; interchange,none
uiowa_rfq_18649_ai_integration,PASS,0,0,PASS,none,build_kit; demo_swap; patterns; portability; unknowns; worksheet,none
uiowa_rfq_18649_ai_opportunity_portfolio,PASS,0,0,PASS,none,opportunity_portfolio,none
uiowa_rfq_18649_ai_policy_to_workflow,PASS,0,0,PASS,none,policy_matrix,none
uiowa_rfq_18649_ai_use_inventory,PASS,0,0,PASS,none,interview_guide; inventory; schema,schema
uiowa_rfq_18649_base_fee_economics,PASS,0,0,PASS,none,analyze; cost_model; money; sensitivity,analyze; sensitivity
uiowa_rfq_18649_bid_pack,PASS,0,0,PASS,none,bid_pack; docxwrite; from_report_structure; packcheck; pdfwrite,none
uiowa_rfq_18649_build_board,NO_SUITE,UNKNOWN,UNKNOWN,NO_SUITE,none,none,none
uiowa_rfq_18649_capability_appendix,PASS,1,1,PASS,none,capability_appendix,none
uiowa_rfq_18649_capacity_benchmark,PASS,0,0,PASS,none,benchmark; generate_collection; workflow,none
uiowa_rfq_18649_capacity_feasibility,PASS,0,0,PASS,none,capacity_roadmap,none
uiowa_rfq_18649_capacity_scan,PASS,0,0,PASS,none,scan_hotspots; scan_kit,none
uiowa_rfq_18649_claim_audit,PASS,0,0,PASS,none,claim_audit; rules,none
uiowa_rfq_18649_claim_guard,PASS,0,0,PASS,none,claim_guard,none
uiowa_rfq_18649_closeout,PASS,0,0,PASS,none,closeout,none
uiowa_rfq_18649_contractor_transition,PASS,0,0,PASS,none,scenario; transition,none
uiowa_rfq_18649_deadline_continuity,PASS,0,0,PASS,none,continuity; intervals,none
uiowa_rfq_18649_dedup_threshold,PASS,0,0,PASS,none,bench_dedup; dedup,none
uiowa_rfq_18649_delivery_metrics,PASS,0,0,PASS,none,calculator,none
uiowa_rfq_18649_delivery_scan,PASS,0,0,PASS,none,delivery_scan,none
uiowa_rfq_18649_doc_usability,NO_SUITE,UNKNOWN,UNKNOWN,NO_SUITE,none,none,none
uiowa_rfq_18649_document_extraction,PASS,1,1,PASS,none,extract; make_synthetic_corpus,none
uiowa_rfq_18649_economics_resource_adapters,PASS,0,0,PASS,none,adapters; check_contract; integrate; ledger_bridge; ledgers; units,none
uiowa_rfq_18649_exec_summary,PASS,0,0,PASS,none,build_summary; evidence; findings; render; summary,none
uiowa_rfq_18649_exit_signals,PASS,0,0,PASS,none,audit_kit; contract; report; scan; wrap,scan
uiowa_rfq_18649_export_safety,PASS,0,0,PASS,none,export_safety; json_safety,none
uiowa_rfq_18649_filesystem_safety,PASS,0,0,PASS,none,fs_safety; fsaudit,none
uiowa_rfq_18649_handoff,PASS,0,0,PASS,none,handoff,none
uiowa_rfq_18649_import_safety,PASS,0,0,PASS,none,importsafety; reproduce; safe_import; scan,scan
uiowa_rfq_18649_incident_learning,NO_SUITE,UNKNOWN,UNKNOWN,NO_SUITE,none,none,none
uiowa_rfq_18649_intake_rehearsal,PASS,0,0,PASS,none,intake_schema; rehearse_intake,none
uiowa_rfq_18649_integration,NO_SUITE,UNKNOWN,UNKNOWN,NO_SUITE,none,adapter_tabular; integrate_tabular,none
uiowa_rfq_18649_labeling_integrity,PASS,0,0,PASS,none,label_scan; labelcheck,none
