sample_id,coa_id,coa_revision,jurisdiction,license_id,matrix,collection_events,rule_pack_version,rule_pack_expires_at,requested_analyte_panel,method_version,loq,reporting_limit,accreditation_scope,signer_name,signer_scope
SC-CA-S001,SC-CA-COA-001,1,CA,SC-CA-LIC-02,FLOWER,"[{""at"":""2026-08-02T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-02T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-02T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S002,SC-CA-COA-002,1,CA,SC-CA-LIC-03,FLOWER,"[{""at"":""2026-08-03T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-03T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-03T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S003,SC-CA-COA-003,1,CA,SC-CA-LIC-04,FLOWER,"[{""at"":""2026-08-04T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-04T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-04T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S004,SC-CA-COA-004,1,CA,SC-CA-LIC-01,FLOWER,"[{""at"":""2026-08-05T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-05T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-05T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S005,SC-CA-COA-005,1,CA,SC-CA-LIC-02,FLOWER,"[{""at"":""2026-08-06T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-06T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-06T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S006,SC-CA-COA-006,1,CA,SC-CA-LIC-03,FLOWER,"[{""at"":""2026-08-07T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-07T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-07T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S007,SC-CA-COA-007,1,CA,SC-CA-LIC-04,FLOWER,"[{""at"":""2026-08-08T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-08T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-08T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S008,SC-CA-COA-008,1,CA,SC-CA-LIC-01,FLOWER,"[{""at"":""2026-08-09T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-09T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-09T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S009,SC-CA-COA-009,1,CA,SC-CA-LIC-02,FLOWER,"[{""at"":""2026-08-10T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-10T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-10T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S010,SC-CA-COA-010,1,CA,SC-CA-LIC-03,FLOWER,"[{""at"":""2026-08-11T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-11T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-11T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S011,SC-CA-COA-011,1,CA,SC-CA-LIC-04,FLOWER,"[{""at"":""2026-08-12T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-12T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-12T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
SC-CA-S012,SC-CA-COA-012,1,CA,SC-CA-LIC-01,FLOWER,"[{""at"":""2026-08-13T08:00:00Z"",""event"":""COLLECTED""},{""at"":""2026-08-13T10:00:00Z"",""event"":""TRANSFERRED""},{""at"":""2026-08-13T12:00:00Z"",""event"":""RECEIVED""}]",CA-RULES-2026.09,2027-09-01T00:00:00Z,CA-FLOWER-COMPLIANCE,CA-METHOD-4.2,0.5,1.0,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]",SC Reviewer CA,"[""CA:FLOWER:CA-FLOWER-COMPLIANCE:CA-METHOD-4.2""]"
