experiment,seed,seat,opponent,cash,opponent_cash,margin,rounds,status,failure,unit_actions,ineffective_nonpass,startup_ms,max_call_ms,call_cpu_seconds,peak_rss_kib,game_wall_seconds,shop_order,trace_sha256
frozen-development,9500109,0,arlene,95699.0,113284.0,-17585.0,719,complete,,7084,197,121.94527400060906,142.8820459987037,0.7224737860000008,30740,5.938557764002326,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,26993b1e45a428db8387affbd8edd3368d66e43bcb9f1458181672864c716c21
frozen-development,9500109,1,arlene,95699.0,113284.0,-17585.0,719,complete,,7084,197,54.46693100020639,111.67551499966066,0.6689445660000017,30740,5.611975347001135,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,175cf917f24d88589a184bbe0ec61c28b2809885d8e0524a5a220ff8e58266c8
frozen-development,9500109,0,apex,94896.0,108067.0,-13171.0,719,complete,,7084,195,52.59992600258556,100.69824599850108,0.6595180829999993,36888,5.823579287996836,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,b78539039507ae67e8088a841280e649475d1c8c2427c6adf0758a47a19b3ddc
frozen-development,9500109,1,apex,94896.0,108067.0,-13171.0,719,complete,,7084,195,70.53877600264968,144.2417389989714,0.934403340000003,47500,7.130529043002753,PIZZA_SHOP>PIZZA_SHOP>SMOOTHIE_SHOP>BRUNCH_SPOT>BAKERY>SMOOTHIE_SHOP>SMOOTHIE_SHOP>SMOOTHIE_SHOP,478658e02e916bc5c7d522e0d8385ca93b68d87758d04fa70775d65063cef7b8
frozen-development,9500123,0,arlene,58389.0,80201.0,-21812.0,719,complete,,7127,49,64.65445700087002,122.88630300099612,0.8635724630000001,58140,6.811959539001691,PIZZA_SHOP>BAKERY>PIZZA_SHOP>YARN_STORE>BAKERY>YARN_STORE>YARN_STORE>BAKERY,3169721b5ce2f835fd1b5e1c33414a316606fd82c91d5dd7e9e84e5bb945eed7
frozen-development,9500123,1,arlene,58389.0,80201.0,-21812.0,719,complete,,7127,49,72.99717899877578,111.14646900023217,0.9415035119999999,62652,6.5726557269990735,PIZZA_SHOP>BAKERY>PIZZA_SHOP>YARN_STORE>BAKERY>YARN_STORE>YARN_STORE>BAKERY,70d204f4ceca734d1a9decbb27aec9ea2ca2f7d96fca2cb4e613bb9ddabce12a
frozen-development,9500123,0,apex,56384.0,85385.0,-29001.0,719,complete,,7127,49,60.438634998718044,112.82182200011448,0.7843385879999994,79316,6.697293016000913,PIZZA_SHOP>BAKERY>PIZZA_SHOP>YARN_STORE>BAKERY>YARN_STORE>YARN_STORE>BAKERY,909c9040ca8ac3b0012471299fed3da202ec857ed6f30adccc50a93fb301fca8
frozen-development,9500123,1,apex,56384.0,85385.0,-29001.0,719,complete,,7127,49,64.77451899991138,116.96565500096767,1.025099995,81424,7.005773372999101,PIZZA_SHOP>BAKERY>PIZZA_SHOP>YARN_STORE>BAKERY>YARN_STORE>YARN_STORE>BAKERY,75fed1665fa564be4a53fb51bd261ee0eb7f0046ffda04f166a94541fd00daa6
frozen-development,9500137,0,arlene,110367.0,124822.0,-14455.0,719,complete,,7127,47,68.33631400149898,107.60711100010667,0.8177991679999986,90580,6.798609648998536,SMOOTHIE_SHOP>BRUNCH_SPOT>ICE_CREAM_SHOP>YARN_STORE>FARMERS_MARKET>YARN_STORE>PET_CAFE>SMOOTHIE_SHOP,1c9e29469bf511c25fdca0458059bcac158383dc8da64e6af3396db1eb378f21
frozen-development,9500137,1,arlene,110367.0,124822.0,-14455.0,719,complete,,7127,47,58.621837000828236,109.14576700088219,0.8830617539999989,99988,6.780097296999884,SMOOTHIE_SHOP>BRUNCH_SPOT>ICE_CREAM_SHOP>YARN_STORE>FARMERS_MARKET>YARN_STORE>PET_CAFE>SMOOTHIE_SHOP,2b858bdeb085e472050a08ac2d360ed6ddd3247282466c262c81446ed4a7d74d
frozen-development,9500137,0,apex,108338.0,127857.0,-19519.0,719,complete,,7127,47,81.91204800095875,153.96866900118766,0.9756100749999992,109280,7.553784652998729,SMOOTHIE_SHOP>BRUNCH_SPOT>ICE_CREAM_SHOP>YARN_STORE>FARMERS_MARKET>YARN_STORE>PET_CAFE>SMOOTHIE_SHOP,07655ba2fe34b8782925dcfda47ab9ed218d834581fab73128b03101f8bcdb88
frozen-development,9500137,1,apex,108338.0,127857.0,-19519.0,719,complete,,7127,47,100.06018800049787,197.23535400044057,1.0220629239999997,118572,7.838172014999145,SMOOTHIE_SHOP>BRUNCH_SPOT>ICE_CREAM_SHOP>YARN_STORE>FARMERS_MARKET>YARN_STORE>PET_CAFE>SMOOTHIE_SHOP,37b325c71982e09442110edf4ebe3651c6e7c2992eea323f5e104a6b0f68cbe4
