peer,service_or_context,metric_or_measure,value,period_or_window,denominator_or_scope,measure_class,source_currency,comparison_status,comparability_notes,source_url,accessed_date
"Stanford University IT","Enterprise change management","Risk 1 / Very High minimum lead time","10 business days","Current published process","Risk 1 changes; raw count not stated","published process target","Page modified 2025-05-02","context_only","Lead-time policy, not observed deployment performance; risk model and business-day clock must be matched before comparison","https://uit.stanford.edu/service/changemgt/leadtimes","2026-09-19"
"Stanford University IT","Enterprise change management","Risk 2 / High minimum lead time","5 business days","Current published process","Risk 2 changes; raw count not stated","published process target","Page modified 2025-05-02","context_only","Policy requirement, not attainment result","https://uit.stanford.edu/service/changemgt/leadtimes","2026-09-19"
"Stanford University IT","Enterprise change management","Risk 3 / Moderate minimum lead time","1 business day","Current published process","Risk 3 changes; raw count not stated","published process target","Page modified 2025-05-02","context_only","Policy requirement, not attainment result","https://uit.stanford.edu/service/changemgt/leadtimes","2026-09-19"
"Stanford University IT","Extended maintenance planning","Advance CAB announcement","4-6 weeks","Current published process","Extended maintenance events; raw count not stated","published process expectation","Page modified 2025-05-02","context_only","Planning expectation; no observed compliance rate published in cited source","https://uit.stanford.edu/service/changemgt/leadtimes","2026-09-19"
"University of Minnesota OIT","Incident management","P1 response target","15 minutes","Published current process","P1 incidents; 24x7; raw count not stated","published SLA/target","Current public page","not_comparable_without_normalization","Target is not observed response performance; priority definition and start/stop clock must match","https://it.umn.edu/services-technologies/resources/it-service-management-incident-process","2026-09-19"
"University of Minnesota OIT","Incident management","P1 resolution target","4 hours","Published current process","P1 incidents; 24x7; raw count not stated","published SLA/target","Current public page","not_comparable_without_normalization","Target is not observed resolution performance; restoration vs resolution semantics must match","https://it.umn.edu/services-technologies/resources/it-service-management-incident-process","2026-09-19"
"University of Minnesota OIT","Incident management","P2 response target","30 minutes","Published current process","P2 incidents; business-hour rules apply; raw count not stated","published SLA/target","Current public page","not_comparable_without_normalization","Target only; business-hour and exclusion rules matter","https://it.umn.edu/services-technologies/resources/it-service-management-incident-process","2026-09-19"
"University of Minnesota OIT","Incident management","P2 resolution target","8 hours","Published current process","P2 incidents; business-hour/exclusion rules apply; raw count not stated","published SLA/target","Current public page","not_comparable_without_normalization","Target only; pending/excluded time and priority rules must be normalized","https://it.umn.edu/services-technologies/resources/it-service-management-incident-process","2026-09-19"
"University of Minnesota OIT","Windows Server Hosting","Disk free-space alert threshold","<6 GB","Current service guide","Managed Windows hosts","operational threshold","Page modified 2026-02-12","context_only","Alert threshold is not reliability outcome and is service-specific","https://it.umn.edu/services-technologies/how-tos/windows-server-hosting-service-guide","2026-09-19"
"University of Minnesota OIT","Windows Server Hosting","CPU alert threshold",">95% for an extended period","Current service guide","Managed Windows hosts","operational threshold","Page modified 2026-02-12","context_only","Duration is qualitative in cited public guide; threshold is not a service-level outcome","https://it.umn.edu/services-technologies/how-tos/windows-server-hosting-service-guide","2026-09-19"
