package,name,milestone,case,hours,labour,compute_tooling,admin_overhead,contingency,total,unknowns
WP1,"Evidence organization and intake",M1,low,48.00,3325.0000,60.00,270.800000,365.5800000,4021.3800000,""
WP1,"Evidence organization and intake",M1,expected,62.00,4285.0000,80.00,349.200000,471.4200000,5185.6200000,""
WP1,"Evidence organization and intake",M1,high,87.00,6020.0000,120.00,491.200000,663.1200000,7294.3200000,""
WP2,"Assessment matrix population",M1,low,58.00,4110.0000,50.00,332.800000,449.2800000,4942.0800000,""
WP2,"Assessment matrix population",M1,expected,79.00,5590.0000,70.00,452.800000,611.2800000,6724.0800000,""
WP2,"Assessment matrix population",M1,high,111.00,7845.0000,110.00,636.400000,859.1400000,9450.5400000,""
WP3,"Findings and traceability",M2,low,68.00,4870.0000,40.00,392.800000,530.2800000,5833.0800000,""
WP3,"Findings and traceability",M2,expected,92.00,6560.0000,60.00,529.600000,714.9600000,7864.5600000,""
WP3,"Findings and traceability",M2,high,130.00,9265.0000,95.00,748.800000,1010.8800000,11119.6800000,""
WP4,"Report production",M2,low,62.00,4420.0000,45.00,357.200000,482.2200000,5304.4200000,""
WP4,"Report production",M2,expected,82.00,5830.0000,65.00,471.600000,636.6600000,7003.2600000,""
WP4,"Report production",M2,high,120.00,8535.0000,100.00,690.800000,932.5800000,10258.3800000,""
WP5,"Consolidated review and corrections",M3,low,UNKNOWN,UNKNOWN,25.00,UNKNOWN,UNKNOWN,UNKNOWN,"low.correction_hours"
WP5,"Consolidated review and corrections",M3,expected,UNKNOWN,UNKNOWN,35.00,UNKNOWN,UNKNOWN,UNKNOWN,"expected.correction_hours"
WP5,"Consolidated review and corrections",M3,high,UNKNOWN,UNKNOWN,55.00,UNKNOWN,UNKNOWN,UNKNOWN,"high.correction_hours"
