component_id,group,criterion,status,evidence_ids_json,follow_up,proposed_owner_role,analyst_notes,improvement_option,effort_assumption,adoption_condition
BASE,shared,ownership,documented,"[""BASE_owner""]",,shared platform maintainer,,Name a maintaining role and backup operator in the retained record,1–2 staff hours per component,Role holders can confirm responsibilities
BASE,shared,configuration,documented,"[""BASE_config""]",,shared platform maintainer,,Retain the current description with an immutable revision reference,2–4 staff hours per component,Current configuration can be described without collecting secrets
BASE,shared,change_trace,documented,"[""BASE_change""]",,shared platform maintainer,,"Link change rationale, reviewed revision and review outcome",1–3 staff hours per sampled change,Change owner and reviewer records are available
BASE,shared,recipe,documented,"[""BASE_recipe""]",,shared platform maintainer,,Have a second operator annotate the existing manual or automated recipe,2–6 staff hours per component,A disposable exercise environment and maintaining operator are available
BASE,shared,inputs,documented,"[""BASE_input""]",,shared platform maintainer,,Record retrievable input versions and their retention locations,2–4 staff hours per component,Inventory scope is agreed; artifacts can be retained appropriately
BASE,shared,dependencies,documented,[],,shared platform maintainer,,Reconcile declared dependencies and resolve missing nodes or cycles,2–6 staff hours per component,Upstream owners can describe required reconstruction order
BASE,shared,rebuild,demonstrated_current_snapshot,"[""BASE_REBUILD_record""]",Reconcile exercise reasons and current dependency closure; retain business-function checks.,shared platform maintainer,,"Record a from-scratch exercise with exact versions, steps and behavior checks",4–12 staff hours per small component,Isolated resources and agreed behavior checks exist; costs excluded
BASE,shared,retirement,not_applicable,[],"Reconcile retirement records with observed consumers: RESEARCH, SIGNIN, STUDENT",shared platform maintainer,,Reconcile disposition evidence with all observed active consumers,2–4 staff hours per component,Dependency owners and retention requirements can be consulted
RESEARCH,RIS,ownership,documented,"[""RESEARCH_owner""]",,RIS platform maintainer,,Name a maintaining role and backup operator in the retained record,1–2 staff hours per component,Role holders can confirm responsibilities
RESEARCH,RIS,configuration,documented,"[""RESEARCH_config""]",,RIS platform maintainer,,Retain the current description with an immutable revision reference,2–4 staff hours per component,Current configuration can be described without collecting secrets
RESEARCH,RIS,change_trace,documented,"[""RESEARCH_change""]",,RIS platform maintainer,,"Link change rationale, reviewed revision and review outcome",1–3 staff hours per sampled change,Change owner and reviewer records are available
RESEARCH,RIS,recipe,reported_only,"[""RESEARCH_recipe"", ""RESEARCH_recollection""]",Ask another operator to follow each step; replace recollection with usable records.,RIS platform maintainer,,Have a second operator annotate the existing manual or automated recipe,2–6 staff hours per component,A disposable exercise environment and maintaining operator are available
RESEARCH,RIS,inputs,unresolved_inputs,"[""RESEARCH_input""]",Identify versions and retrieval records for every required external input; unknown inventory is not an empty inventory.,RIS platform maintainer,,Record retrievable input versions and their retention locations,2–4 staff hours per component,Inventory scope is agreed; artifacts can be retained appropriately
RESEARCH,RIS,dependencies,unresolved,[],dependency_not_in_inventory:BUILD_CACHE_NOT_SUPPLIED; dependency_retired:RETIRED_BRIDGE,RIS platform maintainer,,Reconcile declared dependencies and resolve missing nodes or cycles,2–6 staff hours per component,Upstream owners can describe required reconstruction order
RESEARCH,RIS,rebuild,preparation_gaps,[],Reconcile exercise reasons and current dependency closure; retain business-function checks.,RIS platform maintainer,,"Record a from-scratch exercise with exact versions, steps and behavior checks",4–12 staff hours per small component,Isolated resources and agreed behavior checks exist; costs excluded
RESEARCH,RIS,retirement,not_applicable,[],Reconcile retirement records with observed consumers: ,RIS platform maintainer,,Reconcile disposition evidence with all observed active consumers,2–4 staff hours per component,Dependency owners and retention requirements can be consulted
RETIRED_BRIDGE,IAM,ownership,documented,"[""RETIRED_BRIDGE_owner""]",,IAM platform maintainer,,Name a maintaining role and backup operator in the retained record,1–2 staff hours per component,Role holders can confirm responsibilities
RETIRED_BRIDGE,IAM,configuration,documented,"[""RETIRED_BRIDGE_config""]",,IAM platform maintainer,,Retain the current description with an immutable revision reference,2–4 staff hours per component,Current configuration can be described without collecting secrets
RETIRED_BRIDGE,IAM,change_trace,documented,"[""RETIRED_BRIDGE_change""]",,IAM platform maintainer,,"Link change rationale, reviewed revision and review outcome",1–3 staff hours per sampled change,Change owner and reviewer records are available
RETIRED_BRIDGE,IAM,recipe,documented,"[""RETIRED_BRIDGE_recipe""]",,IAM platform maintainer,,Have a second operator annotate the existing manual or automated recipe,2–6 staff hours per component,A disposable exercise environment and maintaining operator are available
RETIRED_BRIDGE,IAM,inputs,documented,"[""RETIRED_BRIDGE_input""]",,IAM platform maintainer,,Record retrievable input versions and their retention locations,2–4 staff hours per component,Inventory scope is agreed; artifacts can be retained appropriately
RETIRED_BRIDGE,IAM,dependencies,unresolved,[],dependency_retired:RETIRED_BRIDGE,IAM platform maintainer,,Reconcile declared dependencies and resolve missing nodes or cycles,2–6 staff hours per component,Upstream owners can describe required reconstruction order
RETIRED_BRIDGE,IAM,rebuild,not_applicable_retired,[],Reconcile exercise reasons and current dependency closure; retain business-function checks.,IAM platform maintainer,,"Record a from-scratch exercise with exact versions, steps and behavior checks",4–12 staff hours per small component,Isolated resources and agreed behavior checks exist; costs excluded
