synthetic,as_of,pair_id,left_id,right_id,area,verdict,left_support,right_support,context,distinct_provenance_clusters,shared_provenance_clusters,measurement_status,delta_fraction,input_sha256
True,2026-09-19,01-manual-and-automated,dev-manual,dev-automated,software-development,EQUIVALENT_OUTCOME_IN_SUPPLIED_SAMPLE,SUPPORTED_MEETS,SUPPORTED_MEETS,ALIGNED,2,,DESCRIPTIVE_ONLY,0,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,02-shared-service-not-independent,security-ess-consumer,security-ris-consumer,security,EQUIVALENT_OUTCOME_IN_SUPPLIED_SAMPLE,SUPPORTED_MEETS,SUPPORTED_MEETS,ALIGNED,1,shared-lifecycle-exercise-1,NOT_REQUESTED,,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,03-criticality-and-scale,ops-peak,ops-bounded,deployment-operations,CONTEXT_NOT_COMPARABLE,SUPPORTED_MEETS,SUPPORTED_MEETS,NOT_COMPARABLE,2,,NOT_REQUESTED,,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,04-policy-is-not-execution,ai-policy-only,ai-observed,ai-readiness,INSUFFICIENT_EVIDENCE,INSUFFICIENT_DIRECT_EVIDENCE,SUPPORTED_MEETS,ALIGNED,1,,NOT_REQUESTED,,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,05-cadence-aligned-for-review,cadence-quarterly,cadence-continuous,software-development,EQUIVALENT_OUTCOME_IN_SUPPLIED_SAMPLE,SUPPORTED_MEETS,SUPPORTED_MEETS,ALIGNED,2,,DESCRIPTIVE_ONLY,0,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,06-shared-gap-not-low-score,gap-ess,gap-iam,software-development,SHARED_GAP_IN_SUPPLIED_SAMPLE,SUPPORTED_GAP,SUPPORTED_GAP,ALIGNED,1,E09,NOT_REQUESTED,,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,07-missing-evidence-is-unknown,security-unknown,security-ess-consumer,security,INSUFFICIENT_EVIDENCE,UNKNOWN,SUPPORTED_MEETS,ALIGNED,1,,NOT_REQUESTED,,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,08-unresolved-dissent,ops-disputed,ops-peak,deployment-operations,DISPUTED,DISPUTED,SUPPORTED_MEETS,ALIGNED,1,E04,NOT_REQUESTED,,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,09-definition-drift,ai-observed,ai-v2,ai-readiness,DIFFERENT_OUTCOME_DEFINITIONS,SUPPORTED_MEETS,UNKNOWN,ALIGNED,1,E07,NOT_REQUESTED,,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,10-applicability-no-penalty,security-na,security-ess-consumer,security,NOT_APPLICABLE,NOT_APPLICABLE,SUPPORTED_MEETS,ALIGNED,1,,NOT_REQUESTED,,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,11-unknown-context,dev-workload-unknown,dev-automated,software-development,CONTEXT_UNRESOLVED,SUPPORTED_MEETS,SUPPORTED_MEETS,UNRESOLVED,2,,COMPARISON_NOT_ESTABLISHED,,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
True,2026-09-19,12-mismatched-measurement-windows,dev-july,dev-automated,software-development,EQUIVALENT_OUTCOME_IN_SUPPLIED_SAMPLE,SUPPORTED_MEETS,SUPPORTED_MEETS,ALIGNED,2,,INCOMPARABLE_MEASUREMENTS,,ba371bc2b9d24d611c230e8f5e8c09cab643f755050c4b965417408bf287a67c
