synthetic,group,dimension,assessment_state,source_request
true,ESS,SD,UNKNOWN,Authorized change and review examples
true,ESS,SEC,UNKNOWN,Authorized security practice examples
true,ESS,DEP,UNKNOWN,Authorized release and operational evidence
true,ESS,AI,UNKNOWN,Concrete authorized AI workflow examples
true,RIS,SD,UNKNOWN,Authorized change and review examples
true,RIS,SEC,UNKNOWN,Authorized security practice examples
true,RIS,DEP,UNKNOWN,Authorized release and operational evidence
true,RIS,AI,UNKNOWN,Concrete authorized AI workflow examples
true,IAM,SD,UNKNOWN,Authorized change and review examples
true,IAM,SEC,UNKNOWN,Authorized security practice examples
true,IAM,DEP,UNKNOWN,Authorized release and operational evidence
true,IAM,AI,UNKNOWN,Concrete authorized AI workflow examples
