namespace,batch_id,input_namespace,input_kind,input_id,quantity,unit
pilot-plant,BATCH-P1,sup-acme,lot,LOT-CITRIC-01A,10,kg
pilot-plant,BATCH-P1,sup-h2o,lot,LOT-WATER-01,900,L
pilot-plant,BATCH-P2,pilot-plant,batch,BATCH-P1,400,L
pilot-plant,BATCH-P2,sup-acme,lot,LOT-SUGAR-02,80,kg
pilot-plant,BATCH-P2,sup-aqua,lot,LOT-WATER-01,700,L
pilot-plant,BATCH-P3,sup-acme,lot,LOT-CITRIC-01B,40,kg
pilot-plant,BATCH-P3,sup-h2o,lot,LOT-WATER-01,800,L
pilot-plant,BATCH-P5,sup-aqua,lot,LOT-WATER-01,750,L
pilot-plant,L-7,sup-acme,lot,L-7,5,kg
pilot-plant,BATCH-P4,sup-acme,lot,LOT-SUGAR-02,70,kg
pilot-plant,BATCH-P4,sup-acme,lot,LOT-VANILLA-09,2,kg
