scenario_id,field,low,base,high,unit,basis,source,measurement
CASE-SYN-ESS-CHANGE-MEMO,monthly_tasks,18.0,24.0,30.0,tasks/month,synthetic,case-sha256:046775440ad930505ae1b440404924f8bb5836f8cdd49bf9f3ad518f89c9dead; ASM-B-002,"Count comparable eligible tasks, including unsuccessful attempts; record period and exclusions."
CASE-SYN-ESS-CHANGE-MEMO,adoption_fraction,1,1,1,fraction,synthetic,Fictional full adoption of the stated eligible document volume; not an observed rate.,Measure the fraction of eligible tasks actually attempted with the assisted workflow.
CASE-SYN-ESS-CHANGE-MEMO,baseline_minutes,118.0,123.75,128.0,minutes/task,synthetic,"case-sha256:046775440ad930505ae1b440404924f8bb5836f8cdd49bf9f3ad518f89c9dead; DOC-B-B1, DOC-B-B2, DOC-B-B3, DOC-B-B4","Time the current workflow through accepted output, not first draft, for a comparable task mix."
CASE-SYN-ESS-CHANGE-MEMO,author_minutes,5.0,6.0,7.0,minutes/assisted task,synthetic,"case-sha256:046775440ad930505ae1b440404924f8bb5836f8cdd49bf9f3ad518f89c9dead; DOC-B-A1, DOC-B-A2, DOC-B-A3, DOC-B-A4","Record prompting, context preparation and editing; exclude checking and rework counted below."
CASE-SYN-ESS-CHANGE-MEMO,checking_minutes,21.0,24.25,27.0,minutes/assisted task,synthetic,"case-sha256:046775440ad930505ae1b440404924f8bb5836f8cdd49bf9f3ad518f89c9dead; DOC-B-A1, DOC-B-A2, DOC-B-A3, DOC-B-A4","Time verification of every assisted output, including discarded outputs and source checks."
CASE-SYN-ESS-CHANGE-MEMO,rework_fraction,1.0,1.0,1.0,fraction,synthetic,"case-sha256:046775440ad930505ae1b440404924f8bb5836f8cdd49bf9f3ad518f89c9dead; DOC-B-A1, DOC-B-A2, DOC-B-A3, DOC-B-A4",Count tasks requiring additional repair after ordinary checking; retain failed and abandoned tasks.
CASE-SYN-ESS-CHANGE-MEMO,rework_minutes,8.0,11.25,16.0,minutes/reworked task,synthetic,"case-sha256:046775440ad930505ae1b440404924f8bb5836f8cdd49bf9f3ad518f89c9dead; DOC-B-A1, DOC-B-A2, DOC-B-A3, DOC-B-A4","Measure extra repair or manual fallback time conditional on rework, without double counting author/checking time."
CASE-SYN-ESS-CHANGE-MEMO,attempts_per_task,1,1,1,generation attempts/task,synthetic,Fictional one billable generation attempt per assisted document; replace with metered attempts.,Count all billable attempts including retries and discarded generations.
CASE-SYN-ESS-CHANGE-MEMO,generation_cash_per_attempt,0.05,0.08,0.12,currency/attempt,synthetic,Fictional service-cost range; not a provider quote or price.,Use dated metered cost or a documented cost assumption covering each attempt's actual usage.
CASE-SYN-ESS-CHANGE-MEMO,loaded_hourly_rate,70.0,85.0,110.0,currency/hour,synthetic,case-sha256:046775440ad930505ae1b440404924f8bb5836f8cdd49bf9f3ad518f89c9dead; ASM-B-001,Obtain an agreed aggregate loaded-labor valuation; document role mix and valuation basis.
CASE-SYN-ESS-CHANGE-MEMO,integration_hours,6,8,12,hours one-time,synthetic,"Fictional initial integration and training effort, excluded from document event ledgers.","Estimate and then record integration, rollout, initial evaluation and training effort."
CASE-SYN-ESS-CHANGE-MEMO,setup_cash,100,200,300,currency one-time,synthetic,"Fictional external setup cost, excluding already valued integration labor.",Record incremental setup cash not already represented by integration labor.
CASE-SYN-ESS-CHANGE-MEMO,support_hours,0.5,1,2,hours/month,synthetic,Fictional shared operating support; excludes document checking and repair.,"Record recurring operational support and troubleshooting, excluding per-task rework."
CASE-SYN-ESS-CHANGE-MEMO,maintenance_hours,0.5,1,2,hours/month,synthetic,Fictional workflow upkeep; excludes MAINTENANCE_EDIT already charged per document.,"Record recurring updates, evaluation refresh and knowledge maintenance, excluding support."
CASE-SYN-ESS-CHANGE-MEMO,platform_cash,5,10,20,currency/month,synthetic,"Fictional recurring platform cost, excluding generation cost; not a price quote.",Record incremental fixed recurring cash not already included in generation costs.
CASE-SYN-ESS-CHANGE-MEMO,cash_conversion_fraction,UNKNOWN,UNKNOWN,UNKNOWN,fraction,unknown,No mechanism for converting staff capacity into changed payroll or contractor cash was supplied.,Document what fraction of the signed capacity value would actually change payroll or contractor cash; zero is not an automatic fact.
