statement_id,statement_text,finding_id,finding_title,basis,confidence,max_assertable_strength,scope,severity,evidence_id,evidence_kind,evidence_locator,collected_on
S-001,"Incident records are retained across the institution, and each closed incident carries a named owner.",F-001,Incident records retained with a named owner,DOCUMENT_REVIEW,HIGH,SETTLED,5 of 5 units,SIGNIFICANT,E-001a,document,"incident register export, all units, sampled period",2026-08-11
S-001,"Incident records are retained across the institution, and each closed incident carries a named owner.",F-001,Incident records retained with a named owner,DOCUMENT_REVIEW,HIGH,SETTLED,5 of 5 units,SIGNIFICANT,E-001b,document,closure checklist template v3,2026-08-11
S-001,"Incident records are retained across the institution, and each closed incident carries a named owner.",F-001,Incident records retained with a named owner,DOCUMENT_REVIEW,HIGH,SETTLED,5 of 5 units,SIGNIFICANT,E-001c,interview,"operations leads, three units",2026-08-14
S-001,"Incident records are retained across the institution, and each closed incident carries a named owner.",F-001,Incident records retained with a named owner,DOCUMENT_REVIEW,HIGH,SETTLED,5 of 5 units,SIGNIFICANT,E-001d,observation,walkthrough of two closures,2026-08-18
S-008,One unit reported that data ownership is documented for the systems feeding its reporting pipeline.,F-002,Data ownership documented in one unit,INTERVIEW_SINGLE_SOURCE,MODERATE,SINGLE_SOURCE,1 of 5 units,SIGNIFICANT,E-002a,interview,"reporting lead, unit 2",2026-08-15
S-009,"Evidence indicates that in the 2 of 5 units reviewed, requests are triaged within the same working day.",F-004,Same-day triage in the units reviewed,INTERVIEW_CORROBORATED,MODERATE,INDICATED,2 of 5 units,MINOR,E-004a,interview,"intake coordinators, units 1 and 4",2026-08-12
S-009,"Evidence indicates that in the 2 of 5 units reviewed, requests are triaged within the same working day.",F-004,Same-day triage in the units reviewed,INTERVIEW_CORROBORATED,MODERATE,INDICATED,2 of 5 units,MINOR,E-004b,document,"triage log extract, unit 1",2026-08-12
S-009,"Evidence indicates that in the 2 of 5 units reviewed, requests are triaged within the same working day.",F-004,Same-day triage in the units reviewed,INTERVIEW_CORROBORATED,MODERATE,INDICATED,2 of 5 units,MINOR,E-004c,document,"triage log extract, unit 4",2026-08-13
S-013,"A documented refresh schedule covers 31% of catalogued reference datasets, consistently across all units in scope.",F-006,Documented refresh schedule for catalogued reference data,DOCUMENT_REVIEW,HIGH,SETTLED,5 of 5 units,MINOR,E-006a,document,data catalogue export with schedule column,2026-08-21
S-013,"A documented refresh schedule covers 31% of catalogued reference datasets, consistently across all units in scope.",F-006,Documented refresh schedule for catalogued reference data,DOCUMENT_REVIEW,HIGH,SETTLED,5 of 5 units,MINOR,E-006b,document,refresh job inventory,2026-08-21
