# SYNTHETIC REHEARSAL OUTPUT - every organization, document, number and quotation below is fictional, authored for the UIOWA-092 integration rehearsal. Nothing here is a University of Iowa record, measurement, or finding.
source_id,group,source_type,path,version,captured_at,represented_period,locator_kind,resolution,content_sha256,byte_length,description
SRC-SYN-ESS-01,ESS,configuration_export,ess/ess-branch-protection-v2.json,v2,2026-09-18,2026-09-18/2026-09-18,json_pointer,RESOLVED,c65b5602be4bfa63a7368a497ded114361d71102baeeebbd14caee1c861268fe,831,"branch protection rules, 3 ESS repositories"
SRC-SYN-ESS-02,ESS,change_record,ess/ess-pull-request-sample-2026Q3.csv,2026Q3-sample,2026-09-18,2026-07-01/2026-09-18,csv_row,RESOLVED,9f16f19b95f8a989b5d5f93b38a0d5923c3f9392d37e7dda3b3963b57a098bc6,610,sampled merged pull requests
SRC-SYN-ESS-03,ESS,system_log,ess/ess-deploy-log-2026-08.csv,2026-08,2026-09-02,2026-08-01/2026-08-31,csv_row,RESOLVED,d0bfad3537a57729c3f6ad6c4f0632bc64c27df1502160e77c2fa21843ab6886,999,August production deployments
SRC-SYN-ESS-04,ESS,policy,ess/ess-release-window-policy-v3.md,v3,2026-09-15,2026-01-15/,heading,RESOLVED,480fa59d9c273a50bd7c96d3356b92b4899356c68f2e96f94841dfe4acdda0b9,762,release window standard
SRC-SYN-IAM-01,IAM,system_export,iam/iam-recert-campaign-2026Q2.csv,2026Q2,2026-09-16,2026-04-01/2026-06-30,csv_row,RESOLVED,10037a573bee1c9ca88c747b59ccb3a2efd5f5f3d8a30e4fc85ffa555605b271,325,privileged access recertification campaign dispositions
SRC-SYN-IAM-02,IAM,policy,iam/iam-privileged-access-standard-v4.md,v4,2026-09-15,2026-02-01/,heading,RESOLVED,7761f395908275c88e46f2cd2762747936cb7a6d357d4fcf091bb1a5d8835228,718,privileged access standard
SRC-SYN-IAM-03,IAM,configuration_export,iam/iam-change-review-export-2026-08.csv,2026-08,2026-09-16,2026-08-01/2026-08-31,csv_row,RESOLVED,bf918583fda3973271486f47c2eb5de9c6743b44c2dbd00c8859ce666f3d151d,382,IAM configuration changes and recorded reviewers
SRC-SYN-IAM-04,IAM,document,iam/iam-ai-project-charter-v1.md,v1,2026-09-16,2026-08-21/,heading,RESOLVED,3df37653e16895dfd070478ef7ec14deb9357cd7daea3f4aa5697660cab93b09,541,approved-but-unstarted AI project charter
SRC-SYN-IAM-05,IAM,system_log,iam/iam-deploy-log-2026-08.csv,2026-08,,2026-08-01/2026-08-31,csv_row,UNRESOLVED_MISSING,,0,"IAM deployment log - REQUESTED IN THE REHEARSAL BUT DELIBERATELY NOT PRESENT ON DISK. This entry exercises the missing-source path: the rehearsal must report it and leave IAM/DEP UNKNOWN, never zero and never a pass."
SRC-SYN-RIS-01,RIS,change_record,ris/ris-release-sample-2026Q3.csv,2026Q3-sample,2026-09-18,2026-07-01/2026-09-18,csv_row,RESOLVED,c8d461b12df80f4b70323ef252656d2f9e836120bc58f84c227683961ddf4456,728,sampled RIS production releases
SRC-SYN-RIS-02,RIS,system_log,ris/ris-backup-job-report-2026-08.csv,2026-08,2026-09-02,2026-08-01/2026-08-31,csv_row,RESOLVED,a463afa21f4d2a3b2dfe8cf6e705e644bd8fdb7f25d9999588d4626cd737da90,782,backup job completion report (no restoration evidence)
SRC-SYN-RIS-03,RIS,scan_report,ris/ris-vuln-scan-2026-09.csv,2026-09,2026-09-18,2026-06-01/2026-09-18,csv_row,RESOLVED,38471a186890349a872d3777681fb8987160fe1aef7e5f2c90b458425c4c03fe,535,open vulnerability findings and remediation targets
