measure_id,period_id,period_role,numerator,denominator,population_definition,evidence_locator,notes
DEV-A1,B0,baseline,8,20,Completed synthetic changes selected by the same documented monthly sampling rule,synthetic://delivery/baseline/handoffs,8 of 20 sampled synthetic changes retain explicit acceptance evidence
DEV-A1,F1,followup,17,20,Completed synthetic changes selected by the same documented monthly sampling rule,synthetic://delivery/followup/handoffs,17 of 20 sampled synthetic changes retain explicit acceptance evidence
DEV-O1,B0,baseline,5,20,Completed synthetic changes with a full fourteen-day observation window,synthetic://delivery/baseline/rework,5 of 20 sampled synthetic changes require corrective rework
DEV-O1,F1,followup,2,20,Completed synthetic changes with a full fourteen-day observation window,synthetic://delivery/followup/rework,2 of 20 sampled synthetic changes require corrective rework
SEC-A1,B0,baseline,12,20,Synthetic security events selected by the same documented event-sampling rule,synthetic://security/baseline/reviews,12 of 20 sampled events retain both owner and disposition
SEC-A1,F1,followup,18,20,Synthetic security events selected by the same documented event-sampling rule,synthetic://security/followup/reviews,18 of 20 sampled events retain both owner and disposition
SEC-O1,B0,baseline,4,20,Synthetic reviewed security events selected by the same documented event-sampling rule,synthetic://security/baseline/recurrence,4 of 20 reviewed events match unresolved previously identified patterns
SEC-O1,F1,followup,2,20,Synthetic reviewed security events selected by the same documented event-sampling rule,synthetic://security/followup/recurrence,2 of 20 reviewed events match unresolved previously identified patterns
OPS-A1,B0,baseline,9,18,Synthetic priority corrective actions selected from completed incident reviews,synthetic://operations/baseline/actions,9 of 18 sampled actions retain owner and follow-up trigger
OPS-A1,F1,followup,16,20,Synthetic priority corrective actions selected from completed incident reviews,synthetic://operations/followup/actions,16 of 20 sampled actions retain owner and follow-up trigger
OPS-O1,B0,baseline,6,24,Synthetic incidents with completed contributing-condition review,synthetic://operations/baseline/repeat-condition,6 of 24 reviewed incidents link to a previously recorded unresolved condition
OPS-O1,F1,followup,3,22,Synthetic incidents with completed contributing-condition review,synthetic://operations/followup/repeat-condition,3 of 22 reviewed incidents link to a previously recorded unresolved condition
