scenario_id,field,low,base,high,unit,basis,source,measurement
CASE-SYN-IAM-RUNBOOK,monthly_tasks,6.0,10.0,14.0,tasks/month,synthetic,case-sha256:c7963f21bebc339430d0218e0ddcee2c7161b5283bb692daf85d186cd4e5515b; ASM-D-002,"Count comparable eligible tasks, including unsuccessful attempts; record period and exclusions."
CASE-SYN-IAM-RUNBOOK,adoption_fraction,1,1,1,fraction,synthetic,Fictional full adoption of the stated eligible document volume; not an observed rate.,Measure the fraction of eligible tasks actually attempted with the assisted workflow.
CASE-SYN-IAM-RUNBOOK,baseline_minutes,143.0,144.0,145.0,minutes/task,synthetic,"case-sha256:c7963f21bebc339430d0218e0ddcee2c7161b5283bb692daf85d186cd4e5515b; DOC-D-B1, DOC-D-B2","Time the current workflow through accepted output, not first draft, for a comparable task mix."
CASE-SYN-IAM-RUNBOOK,author_minutes,UNKNOWN,UNKNOWN,UNKNOWN,minutes/assisted task,unknown,"case-sha256:c7963f21bebc339430d0218e0ddcee2c7161b5283bb692daf85d186cd4e5515b; DOC-D-A1, DOC-D-A2","Record prompting, context preparation and editing; exclude checking and rework counted below."
CASE-SYN-IAM-RUNBOOK,checking_minutes,UNKNOWN,UNKNOWN,UNKNOWN,minutes/assisted task,unknown,"case-sha256:c7963f21bebc339430d0218e0ddcee2c7161b5283bb692daf85d186cd4e5515b; DOC-D-A1, DOC-D-A2","Time verification of every assisted output, including discarded outputs and source checks."
CASE-SYN-IAM-RUNBOOK,rework_fraction,UNKNOWN,UNKNOWN,UNKNOWN,fraction,unknown,"case-sha256:c7963f21bebc339430d0218e0ddcee2c7161b5283bb692daf85d186cd4e5515b; DOC-D-A1, DOC-D-A2",Count tasks requiring additional repair after ordinary checking; retain failed and abandoned tasks.
CASE-SYN-IAM-RUNBOOK,rework_minutes,UNKNOWN,UNKNOWN,UNKNOWN,minutes/reworked task,unknown,"case-sha256:c7963f21bebc339430d0218e0ddcee2c7161b5283bb692daf85d186cd4e5515b; DOC-D-A1, DOC-D-A2","Measure extra repair or manual fallback time conditional on rework, without double counting author/checking time."
CASE-SYN-IAM-RUNBOOK,attempts_per_task,1,1,1,generation attempts/task,synthetic,Fictional one billable generation attempt per assisted document; replace with metered attempts.,Count all billable attempts including retries and discarded generations.
CASE-SYN-IAM-RUNBOOK,generation_cash_per_attempt,0.05,0.08,0.12,currency/attempt,synthetic,Fictional service-cost range; not a provider quote or price.,Use dated metered cost or a documented cost assumption covering each attempt's actual usage.
CASE-SYN-IAM-RUNBOOK,loaded_hourly_rate,70.0,85.0,110.0,currency/hour,synthetic,case-sha256:c7963f21bebc339430d0218e0ddcee2c7161b5283bb692daf85d186cd4e5515b; ASM-D-001,Obtain an agreed aggregate loaded-labor valuation; document role mix and valuation basis.
CASE-SYN-IAM-RUNBOOK,integration_hours,6,8,12,hours one-time,synthetic,"Fictional initial integration and training effort, excluded from document event ledgers.","Estimate and then record integration, rollout, initial evaluation and training effort."
CASE-SYN-IAM-RUNBOOK,setup_cash,100,200,300,currency one-time,synthetic,"Fictional external setup cost, excluding already valued integration labor.",Record incremental setup cash not already represented by integration labor.
CASE-SYN-IAM-RUNBOOK,support_hours,0.5,1,2,hours/month,synthetic,Fictional shared operating support; excludes document checking and repair.,"Record recurring operational support and troubleshooting, excluding per-task rework."
CASE-SYN-IAM-RUNBOOK,maintenance_hours,0.5,1,2,hours/month,synthetic,Fictional workflow upkeep; excludes MAINTENANCE_EDIT already charged per document.,"Record recurring updates, evaluation refresh and knowledge maintenance, excluding support."
CASE-SYN-IAM-RUNBOOK,platform_cash,5,10,20,currency/month,synthetic,"Fictional recurring platform cost, excluding generation cost; not a price quote.",Record incremental fixed recurring cash not already included in generation costs.
CASE-SYN-IAM-RUNBOOK,cash_conversion_fraction,UNKNOWN,UNKNOWN,UNKNOWN,fraction,unknown,No mechanism for converting staff capacity into changed payroll or contractor cash was supplied.,Document what fraction of the signed capacity value would actually change payroll or contractor cash; zero is not an automatic fact.
