id,institution,service_context,assessment_areas,evidence_kind,statement,source_refs,transfer_notes,local_unknowns
PEER-01,Michigan State University — MSU IT,Central IT including Federated IT support embedded in colleges and units,"[""deployment_operations"",""security""]",reported_practice,Reported service remit: Enterprise applications; research technology; infrastructure; identity and access; support. Staffing was not established in the reviewed sources.,"[{""locator"":""September 2026 organizational chart; federated units and service groups"",""source_id"":""MSU-CHART""},{""locator"":""Organization and functional responsibilities"",""source_id"":""MSU-ORG""}]",Researcher-proposed functional use: Central services plus embedded federated support. Embedded-unit staffing changes the comparison boundary; organization chart is not staffing evidence.,"[""Confirm included federated units and employee/FTE/student/contractor definitions"",""University of Iowa service ownership, capacity and effectiveness are not established by this peer source.""]"
PEER-02,Iowa State University — Information Technology Services,Central ITS; local and collegiate IT also provide services,"[""deployment_operations"",""security""]",reported_practice,Reported service remit: Enterprise integrations; research computing; identity; network; security; support. Staffing was not established in the reviewed sources.,"[{""locator"":""Enterprise integrations, research computing and identity-platform migration sections"",""source_id"":""ISU-2025""},{""locator"":""Central ITS and local IT roles"",""source_id"":""ISU-ABOUT""}]",Researcher-proposed functional use: Central ITS cooperates with college and unit IT. Formal current R1 designation was not established by the readable source; no staffing match claimed.,"[""Confirm central staffing and campus-unit boundary; verify classification if required"",""University of Iowa service ownership, capacity and effectiveness are not established by this peer source.""]"
PEER-03,The Ohio State University — OTDI,Office of Technology and Digital Innovation across all Ohio State campuses,"[""deployment_operations"",""security""]",reported_practice,Reported service remit: Application development; ERP; data platforms; IAM; disaster recovery; infrastructure; support. Staffing was not established in the reviewed sources.,"[{""locator"":""Organization responsibilities and service areas"",""source_id"":""OSU-ABOUT""}]",Researcher-proposed functional use: Cross-campus central office with college and unit security coordination. Multicampus remit and OH-Tech responsibilities differ from a single local team.,"[""Confirm central versus distributed staff and research-service ownership"",""University of Iowa service ownership, capacity and effectiveness are not established by this peer source.""]"
PEER-04,Fairfax County — Department of Information Technology,DIT across separately budgeted General Fund; Technology Infrastructure; Document Services,"[""deployment_operations"",""security""]",reported_practice,Reported service remit: Enterprise applications; infrastructure; security; ERP; public safety; courts; document services. Authorized capacity is separately recorded below; occupied staffing remains unknown.,"[{""locator"":""Printed pp120–122 and125–127, department functions, fund boundaries and divisions"",""source_id"":""FF-70""},{""locator"":""Sections 3.6–3.7, printed pp38–40, enterprise/identity services"",""source_id"":""FF-PLAN""}]",Researcher-proposed functional use: County shared services with multiple funding boundaries. Municipal and document/mail functions broaden scope; authorization is not occupied capacity.,"[""Reconcile vacancies contractors and FY2027 reorganization before ratios"",""University of Iowa service ownership, capacity and effectiveness are not established by this peer source.""]"
PEER-04-AUTH-FF60020,Fairfax County — Department of Information Technology,Fund 60020 Document Services,"[""deployment_operations""]",policy,"FY2027 adopted budget authorizes 22 FTE within Fund 60020 Document Services. This is a resource authorization, not observed filled staffing or a service outcome.","[{""locator"":""Printed p360, authorized positions/FTE table, FY2027 Adopted column"",""source_id"":""FF-60020""}]",Keep this fund/department and fiscal authorization separate. Confirm occupied staffing and comparable service boundaries before any staffing ratio.,"[""How this authorization maps to a like-for-like University of Iowa service unit."",""Occupied staffing, vacancies, contractor treatment and observed staffing period.""]"
PEER-04-AUTH-FF60030,Fairfax County — Department of Information Technology,Fund 60030 Technology Infrastructure,"[""deployment_operations""]",policy,"FY2027 adopted budget authorizes 74 FTE within Fund 60030 Technology Infrastructure. This is a resource authorization, not observed filled staffing or a service outcome.","[{""locator"":""Printed p367, authorized positions/FTE table, FY2027 Adopted column"",""source_id"":""FF-60030""}]",Keep this fund/department and fiscal authorization separate. Confirm occupied staffing and comparable service boundaries before any staffing ratio.,"[""How this authorization maps to a like-for-like University of Iowa service unit."",""Occupied staffing, vacancies, contractor treatment and observed staffing period.""]"
PEER-04-AUTH-FF70,Fairfax County — Department of Information Technology,"Agency 70 DIT, General Fund","[""deployment_operations""]",policy,"FY2027 adopted budget authorizes 241 FTE within Agency 70 DIT, General Fund. This is a resource authorization, not observed filled staffing or a service outcome.","[{""locator"":""Printed p123, authorized positions/FTE table, FY2027 Adopted column"",""source_id"":""FF-70""}]",Keep this fund/department and fiscal authorization separate. Confirm occupied staffing and comparable service boundaries before any staffing ratio.,"[""How this authorization maps to a like-for-like University of Iowa service unit."",""Occupied staffing, vacancies, contractor treatment and observed staffing period.""]"
PEER-05,City of Austin — Austin Technology Services,ATS department authorized civilian positions; not all city IT,"[""deployment_operations"",""security""]",reported_practice,Reported service remit: Enterprise infrastructure; applications; security; emergency communications; public safety; wireless. Historical authorized capacity is separately recorded below; current occupied staffing remains unknown.,"[{""locator"":""Printed p514, ATS department total, civilian FTE, FY2025–26 Approved column; service descriptions pp512, 515–518"",""source_id"":""AUSTIN-BUDGET""}]",Researcher-proposed functional use: Central municipal technology department. Later budget documents require a scope refresh; current staffing and IAM ownership unverified.,"[""Confirm latest adopted boundaries filled staffing contractors and IAM ownership"",""University of Iowa service ownership, capacity and effectiveness are not established by this peer source.""]"
PEER-05-AUTH-AUSTIN,City of Austin — Austin Technology Services,Austin Technology Services department civilian positions,"[""deployment_operations""]",policy,"FY2025–26 approved budget authorizes 360.00 FTE within Austin Technology Services department civilian positions. This is a resource authorization, not observed filled staffing or a service outcome.","[{""locator"":""Printed p514, ATS department total, civilian FTE, FY2025–26 Approved column; service descriptions pp512, 515–518"",""source_id"":""AUSTIN-BUDGET""}]",Keep this fund/department and fiscal authorization separate. Confirm occupied staffing and comparable service boundaries before any staffing ratio.,"[""How this authorization maps to a like-for-like University of Iowa service unit."",""Occupied staffing, vacancies, contractor treatment and observed staffing period.""]"
PEER-06,University of Nebraska — Information Technology Services,System provider; service-specific campus and statewide boundaries,"[""deployment_operations"",""security""]",reported_practice,Reported service remit: Enterprise applications; integration; research services; IAM; infrastructure. Staffing was not established in the reviewed sources.,"[{""locator"":""Enterprise Services remit; two institutions and eight campuses"",""source_id"":""NU-ENTERPRISE""},{""locator"":""Infrastructure and Network Nebraska responsibilities"",""source_id"":""NU-INFRA""},{""locator"":""Research computing and support services"",""source_id"":""NU-RESEARCH""},{""locator"":""Security Services remit"",""source_id"":""NU-SECURITY""}]",Researcher-proposed functional use: System shared services with service-specific coverage and statewide network responsibilities. Enterprise Services reports two institutions/eight campuses; this is not an ITS-wide staffing definition or UNL-only boundary.,"[""Confirm each service population and central versus campus staffing"",""University of Iowa service ownership, capacity and effectiveness are not established by this peer source.""]"
