scenario_id,field,unit,input_low,input_high,economic_at_low_input,economic_at_high_input,economic_swing,cash_at_low_input,cash_at_high_input,measurement
CASE-SYN-ESS-CHANGE-MEMO,monthly_tasks,tasks/month,18.0,30.0,22111.22000,38878.70000,16767.48000,UNKNOWN,UNKNOWN,"Count comparable eligible tasks, including unsuccessful attempts; record period and exclusions."
CASE-SYN-ESS-CHANGE-MEMO,loaded_hourly_rate,currency/hour,70.0,110.0,25052.96000,39564.96000,14512.00000,UNKNOWN,UNKNOWN,Obtain an agreed aggregate loaded-labor valuation; document role mix and valuation basis.
CASE-SYN-ESS-CHANGE-MEMO,baseline_minutes,minutes/task,118.0,128.0,28148.96000,32228.96000,4080.00000,UNKNOWN,UNKNOWN,"Time the current workflow through accepted output, not first draft, for a comparable task mix."
CASE-SYN-ESS-CHANGE-MEMO,rework_minutes,minutes/reworked task,8.0,16.0,31820.9600,28556.9600,3264.0000,UNKNOWN,UNKNOWN,"Measure extra repair or manual fallback time conditional on rework, without double counting author/checking time."
CASE-SYN-ESS-CHANGE-MEMO,checking_minutes,minutes/assisted task,21.0,27.0,31820.96000,29372.96000,2448.00000,UNKNOWN,UNKNOWN,"Time verification of every assisted output, including discarded outputs and source checks."
CASE-SYN-ESS-CHANGE-MEMO,maintenance_hours,hours/month,0.5,2,31004.96000,29474.96000,1530.00000,UNKNOWN,UNKNOWN,"Record recurring updates, evaluation refresh and knowledge maintenance, excluding support."
CASE-SYN-ESS-CHANGE-MEMO,support_hours,hours/month,0.5,2,31004.96000,29474.96000,1530.00000,UNKNOWN,UNKNOWN,"Record recurring operational support and troubleshooting, excluding per-task rework."
CASE-SYN-ESS-CHANGE-MEMO,author_minutes,minutes/assisted task,5.0,7.0,30902.96000,30086.96000,816.00000,UNKNOWN,UNKNOWN,"Record prompting, context preparation and editing; exclude checking and rework counted below."
CASE-SYN-ESS-CHANGE-MEMO,integration_hours,hours one-time,6,12,30664.96000,30154.96000,510.00000,UNKNOWN,UNKNOWN,"Estimate and then record integration, rollout, initial evaluation and training effort."
CASE-SYN-ESS-CHANGE-MEMO,setup_cash,currency one-time,100,300,30594.96000,30394.96000,200.00000,UNKNOWN,UNKNOWN,Record incremental setup cash not already represented by integration labor.
CASE-SYN-ESS-CHANGE-MEMO,platform_cash,currency/month,5,20,30554.96000,30374.96000,180.00000,UNKNOWN,UNKNOWN,Record incremental fixed recurring cash not already included in generation costs.
CASE-SYN-ESS-CHANGE-MEMO,generation_cash_per_attempt,currency/attempt,0.05,0.12,30503.60000,30483.44000,20.16000,UNKNOWN,UNKNOWN,Use dated metered cost or a documented cost assumption covering each attempt's actual usage.
CASE-SYN-ESS-CHANGE-MEMO,adoption_fraction,fraction,1,1,30494.96000,30494.96000,0.00000,UNKNOWN,UNKNOWN,Measure the fraction of eligible tasks actually attempted with the assisted workflow.
CASE-SYN-ESS-CHANGE-MEMO,attempts_per_task,generation attempts/task,1,1,30494.96000,30494.96000,0.00000,UNKNOWN,UNKNOWN,Count all billable attempts including retries and discarded generations.
CASE-SYN-ESS-CHANGE-MEMO,rework_fraction,fraction,1.0,1.0,30494.96000,30494.96000,0.00000,UNKNOWN,UNKNOWN,Count tasks requiring additional repair after ordinary checking; retain failed and abandoned tasks.
