seed,q1_clear_events,q4_clear_events,incremental_clear_events,q1_persistent_final_weeds,q4_persistent_final_weeds,incremental_persistent_weeds
1,4,11,7,4,11,7
2,2,13,11,2,11,9
3,8,20,12,7,18,11
4,4,11,7,4,11,7
5,2,17,15,2,16,14
6,5,14,9,3,14,11
7,4,16,12,4,15,11
8,5,13,8,5,12,7
9,5,21,16,5,19,14
10,3,15,12,3,13,10
11,3,14,11,3,13,10
12,3,14,11,3,13,10
13,5,21,16,4,18,14
14,0,14,14,0,13,13
15,3,15,12,3,15,12
16,7,15,8,6,15,9
17,2,13,11,2,12,10
18,2,10,8,2,10,8
19,2,23,21,2,20,18
20,4,8,4,4,8,4
21,3,20,17,3,19,16
22,5,14,9,5,13,8
23,2,10,8,2,10,8
24,4,17,13,3,17,14
25,3,17,14,3,15,12
26,3,18,15,3,17,14
27,3,12,9,3,11,8
28,6,19,13,6,17,11
29,3,15,12,3,14,11
30,3,16,13,3,16,13
31,3,15,12,3,14,11
32,1,9,8,1,8,7
33,1,10,9,1,9,8
34,4,13,9,4,11,7
35,3,20,17,3,16,13
36,5,16,11,5,15,10
37,2,14,12,2,13,11
38,4,11,7,4,11,7
39,5,15,10,5,15,10
40,8,22,14,8,20,12
41,1,9,8,1,9,8
42,4,11,7,4,11,7
43,6,18,12,6,16,10
44,3,13,10,3,13,10
45,7,15,8,7,15,8
46,8,14,6,7,14,7
47,5,14,9,4,13,9
48,4,16,12,3,15,12
49,1,14,13,1,12,11
50,1,6,5,1,6,5
51,3,15,12,3,12,9
52,6,17,11,6,16,10
53,4,12,8,4,12,8
54,6,19,13,5,18,13
55,3,11,8,3,11,8
56,2,5,3,2,5,3
57,6,17,11,6,17,11
58,4,16,12,4,13,9
59,9,18,9,5,18,13
60,3,17,14,1,15,14
61,4,11,7,4,11,7
62,3,12,9,3,12,9
63,7,15,8,4,15,11
64,3,17,14,3,16,13
65,4,21,17,3,20,17
66,6,23,17,5,21,16
67,8,21,13,6,19,13
68,1,8,7,1,8,7
69,2,17,15,2,15,13
70,2,15,13,2,14,12
71,7,19,12,7,18,11
72,3,13,10,3,12,9
73,2,11,9,2,9,7
74,7,17,10,4,16,12
75,4,12,8,4,11,7
76,4,19,15,4,17,13
77,3,17,14,3,16,13
78,6,19,13,6,17,11
79,4,15,11,4,13,9
80,4,14,10,4,12,8
81,2,19,17,2,16,14
82,3,18,15,3,18,15
83,3,17,14,3,16,13
84,6,24,18,5,20,15
85,4,10,6,4,9,5
86,4,22,18,3,21,18
87,2,17,15,2,16,14
88,4,14,10,4,13,9
89,2,14,12,2,14,12
90,3,15,12,2,15,13
91,5,16,11,5,16,11
92,1,15,14,1,13,12
93,2,13,11,2,12,10
94,5,14,9,5,14,9
95,3,18,15,3,16,13
96,5,18,13,3,15,12
97,5,11,6,5,11,6
98,2,18,16,2,17,15
99,3,11,8,3,11,8
100,1,16,15,1,14,13
