scenario_id,field,unit,input_low,input_high,economic_at_low_input,economic_at_high_input,economic_swing,cash_at_low_input,cash_at_high_input,measurement
CASE-SYN-RIS-VENDOR-SUMMARY,rework_minutes,minutes/reworked task,65.0,87.0,-5613.0400,-14589.0400,8976.0000,UNKNOWN,UNKNOWN,"Measure extra repair or manual fallback time conditional on rework, without double counting author/checking time."
CASE-SYN-RIS-VENDOR-SUMMARY,loaded_hourly_rate,currency/hour,70.0,110.0,-7287.04000,-11255.04000,3968.00000,UNKNOWN,UNKNOWN,Obtain an agreed aggregate loaded-labor valuation; document role mix and valuation basis.
CASE-SYN-RIS-VENDOR-SUMMARY,monthly_tasks,tasks/month,18.0,30.0,-7341.28000,-10208.80000,2867.52000,UNKNOWN,UNKNOWN,"Count comparable eligible tasks, including unsuccessful attempts; record period and exclusions."
CASE-SYN-RIS-VENDOR-SUMMARY,baseline_minutes,minutes/task,106.0,113.0,-10203.04000,-7347.04000,2856.00000,UNKNOWN,UNKNOWN,"Time the current workflow through accepted output, not first draft, for a comparable task mix."
CASE-SYN-RIS-VENDOR-SUMMARY,checking_minutes,minutes/assisted task,45.0,49.0,-8061.04000,-9693.04000,1632.00000,UNKNOWN,UNKNOWN,"Time verification of every assisted output, including discarded outputs and source checks."
CASE-SYN-RIS-VENDOR-SUMMARY,maintenance_hours,hours/month,0.5,2,-8265.04000,-9795.04000,1530.00000,UNKNOWN,UNKNOWN,"Record recurring updates, evaluation refresh and knowledge maintenance, excluding support."
CASE-SYN-RIS-VENDOR-SUMMARY,support_hours,hours/month,0.5,2,-8265.04000,-9795.04000,1530.00000,UNKNOWN,UNKNOWN,"Record recurring operational support and troubleshooting, excluding per-task rework."
CASE-SYN-RIS-VENDOR-SUMMARY,author_minutes,minutes/assisted task,3.0,5.0,-8367.04000,-9183.04000,816.00000,UNKNOWN,UNKNOWN,"Record prompting, context preparation and editing; exclude checking and rework counted below."
CASE-SYN-RIS-VENDOR-SUMMARY,integration_hours,hours one-time,6,12,-8605.04000,-9115.04000,510.00000,UNKNOWN,UNKNOWN,"Estimate and then record integration, rollout, initial evaluation and training effort."
CASE-SYN-RIS-VENDOR-SUMMARY,setup_cash,currency one-time,100,300,-8675.04000,-8875.04000,200.00000,UNKNOWN,UNKNOWN,Record incremental setup cash not already represented by integration labor.
CASE-SYN-RIS-VENDOR-SUMMARY,platform_cash,currency/month,5,20,-8715.04000,-8895.04000,180.00000,UNKNOWN,UNKNOWN,Record incremental fixed recurring cash not already included in generation costs.
CASE-SYN-RIS-VENDOR-SUMMARY,generation_cash_per_attempt,currency/attempt,0.05,0.12,-8766.40000,-8786.56000,20.16000,UNKNOWN,UNKNOWN,Use dated metered cost or a documented cost assumption covering each attempt's actual usage.
CASE-SYN-RIS-VENDOR-SUMMARY,adoption_fraction,fraction,1,1,-8775.04000,-8775.04000,0.00000,UNKNOWN,UNKNOWN,Measure the fraction of eligible tasks actually attempted with the assisted workflow.
CASE-SYN-RIS-VENDOR-SUMMARY,attempts_per_task,generation attempts/task,1,1,-8775.04000,-8775.04000,0.00000,UNKNOWN,UNKNOWN,Count all billable attempts including retries and discarded generations.
CASE-SYN-RIS-VENDOR-SUMMARY,rework_fraction,fraction,1.0,1.0,-8775.04000,-8775.04000,0.00000,UNKNOWN,UNKNOWN,Count tasks requiring additional repair after ordinary checking; retain failed and abandoned tasks.
