team_id,team_label,contributor_count,dimension_id,capability_state,reason,reason_text,indicators_observed,evidence_sources,notes
T-ESS,Enterprise Support Services (synthetic),7,ai_literacy,EMERGING,resolved_from_indicators,Resolved from 3 observed indicator(s).,LIT-1; LIT-2; LIT-3,"SYNTHETIC interview note: team says people ask in the team channel; no consultable page named | SYNTHETIC wiki page 'Assistive tools in ESS', last reviewed 2026-04-11 | SYNTHETIC wiki searched for a failure-mode note; none present",
T-ESS,Enterprise Support Services (synthetic),7,practical_training,ESTABLISHED,resolved_from_indicators,Resolved from 2 observed indicator(s).,TRN-1; TRN-2,"SYNTHETIC onboarding checklist v3, section 'assisted ticket triage' | SYNTHETIC training roster FY-S, sessions 4-6, tasks 'ticket triage' and 'macro drafting'",
T-ESS,Enterprise Support Services (synthetic),7,workflow_fit,UNKNOWN,no_indicator_evidence,No indicator for this dimension has supplied evidence.,,,
T-ESS,Enterprise Support Services (synthetic),7,available_support,ESTABLISHED,resolved_from_indicators,Resolved from 2 observed indicator(s).,SUP-1; SUP-2,"SYNTHETIC escalation matrix page, revision 7 | SYNTHETIC queue routing rule AIHELP-01, owner recorded as a role",
T-ESS,Enterprise Support Services (synthetic),7,knowledge_sharing,EMERGING,resolved_from_indicators,Resolved from 2 observed indicator(s).,SHR-1; SHR-2,"SYNTHETIC channel #ess-tips, 22 pinned entries, no review dates | SYNTHETIC entries inspected; none carries a last-checked date",
T-ESS,Enterprise Support Services (synthetic),7,evaluation_capacity,ABSENT,resolved_from_indicators,Resolved from 3 observed indicator(s).,EVL-1; EVL-2; EVL-3,SYNTHETIC change log searched for an evaluation note; none present | SYNTHETIC interview note: team could not name who can stop an adopted approach | SYNTHETIC no acceptance check or known-answer set found,
T-IAM,Identity and Access Management (synthetic),2,ai_literacy,UNKNOWN,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.",LIT-1; LIT-2,"SYNTHETIC IAM decision tree, revision 2 | SYNTHETIC IAM standards page, section 'tooling'",
T-IAM,Identity and Access Management (synthetic),2,practical_training,UNKNOWN,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.",,,
T-IAM,Identity and Access Management (synthetic),2,workflow_fit,UNKNOWN,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.",,,
T-IAM,Identity and Access Management (synthetic),2,available_support,UNKNOWN,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.",SUP-1; SUP-2,SYNTHETIC no escalation path located | SYNTHETIC no named destination located for assisted-workflow questions,
T-IAM,Identity and Access Management (synthetic),2,knowledge_sharing,UNKNOWN,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.",,,
T-IAM,Identity and Access Management (synthetic),2,evaluation_capacity,UNKNOWN,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.",EVL-1; EVL-2,"SYNTHETIC no acceptance check located | SYNTHETIC one undated trial note, no decision recorded",
T-RIS,Research Infrastructure Services (synthetic),5,ai_literacy,ESTABLISHED,resolved_from_indicators,Resolved from 3 observed indicator(s).,LIT-1; LIT-2; LIT-3,"SYNTHETIC 'RIS assistive tooling scope' page, last reviewed 2026-06-02 | SYNTHETIC 'known failure modes' note listing 4 task-specific failures | SYNTHETIC decision checklist 'is this task in scope', 9 items",
T-RIS,Research Infrastructure Services (synthetic),5,practical_training,ABSENT,resolved_from_indicators,Resolved from 2 observed indicator(s).,TRN-1; TRN-2,SYNTHETIC no training record found for any hands-on session | SYNTHETIC onboarding material reviewed; no assisted step described,
T-RIS,Research Infrastructure Services (synthetic),5,workflow_fit,EMERGING,resolved_from_indicators,Resolved from 3 observed indicator(s).,FIT-1; FIT-2; FIT-3,"SYNTHETIC procedure 'dataset intake', step 4 marked assisted | SYNTHETIC procedures searched for a written exclusion; none present | SYNTHETIC ticket RIS-3312 narrows an assisted step, reason field left blank",
T-RIS,Research Infrastructure Services (synthetic),5,available_support,UNKNOWN,insufficient_indicator_coverage,1 of 2 indicators observed; the floor for stating a capability state is 2.,SUP-1,SYNTHETIC queue RIS-HELP routing rule,
T-RIS,Research Infrastructure Services (synthetic),5,knowledge_sharing,EMERGING,resolved_from_indicators,Resolved from 2 observed indicator(s).,SHR-1; SHR-2,"SYNTHETIC interview note: team describes a well-used shared approach, but no register was produced when asked | SYNTHETIC no reviewed or dated shared material located","SHR-1: ESTABLISHED downgraded to EMERGING (recollection_only) - the only evidence is an interview statement, not a record."
T-RIS,Research Infrastructure Services (synthetic),5,evaluation_capacity,EMERGING,resolved_from_indicators,Resolved from 3 observed indicator(s).,EVL-1; EVL-2; EVL-3,SYNTHETIC 12-item known-answer check set with recorded results | SYNTHETIC interview note: team names a reversal owner verbally; no written decision owner produced | SYNTHETIC pilot note 'Q1-S extraction trial' with keep/drop decision,"EVL-3: ESTABLISHED downgraded to EMERGING (recollection_only) - the only evidence is an interview statement, not a record."
