severity,code,lane,path,row,column_index,column_name,detail,sample
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/acceptance_index.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# ARTIFACT CONFORMANCE EVIDENCE ONLY. The workshare this index refers to is PROPOSED / NOT ACCEPTED. Nothing here repres
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/needs_engagement_evidence.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# ARTIFACT CONFORMANCE EVIDENCE ONLY. The workshare this index refers to is PROPOSED / NOT ACCEPTED. Nothing here repres
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__assessment_matrix.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC REHEARSAL OUTPUT - every organization
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__evidence_register.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC REHEARSAL OUTPUT - every organization
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__intake_diagnostics.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC REHEARSAL OUTPUT - every organization
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_acceptance_map,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__source_register.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC REHEARSAL OUTPUT - every organization
INFO,NULL_SEMANTICS_DECLARED,uiowa_rfq_18649_ai_eval_kit,uiowa_rfq_18649_ai_eval_kit/examples/results.csv,\N,20,analyst_followup,"2 empty cell(s) alongside 'NA'x2, in a file that uses the \N null sentinel. The three states ARE distinguishable, but only to a reader who knows the convention: ship a column dictionary beside the file",
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/artifacts/assessment_matrix.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC REHEARSAL OUTPUT - every organization
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/artifacts/evidence_register.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC REHEARSAL OUTPUT - every organization
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/artifacts/intake_diagnostics.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC REHEARSAL OUTPUT - every organization
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/artifacts/source_register.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC REHEARSAL OUTPUT - every organization
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/sources/ess/ess-deploy-log-2026-08.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC FIXTURE - fictional data authored for the UIOWA-092 rehearsal. Not a University record.
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/sources/ess/ess-pull-request-sample-2026Q3.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC FIXTURE - fictional data authored for the UIOWA-092 rehearsal. Not a University record.
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/sources/iam/iam-change-review-export-2026-08.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC FIXTURE - fictional data authored for the UIOWA-092 rehearsal. Not a University record.
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/sources/iam/iam-recert-campaign-2026Q2.csv,0,0,\N,"2 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC FIXTURE - fictional data authored for the UIOWA-092 rehearsal. Not a University record.
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/sources/ris/ris-backup-job-report-2026-08.csv,0,0,\N,"2 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC FIXTURE - fictional data authored for the UIOWA-092 rehearsal. Not a University record.
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/sources/ris/ris-release-sample-2026Q3.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC FIXTURE - fictional data authored for the UIOWA-092 rehearsal. Not a University record.
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/sources/ris/ris-vuln-scan-2026-09.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# SYNTHETIC FIXTURE - fictional data authored for the UIOWA-092 rehearsal. Not a University record.
MEDIUM,NULL_SEMANTICS_AMBIGUOUS,uiowa_rfq_18649_readout_deck,uiowa_rfq_18649_readout_deck/examples/readout-planning-table.csv,\N,10,deck_value,"8 empty cell(s) alongside 'UNKNOWN'x4, and no declared null sentinel; a reader cannot tell 'never recorded' from 'recorded as empty' from 'not applicable', and those are three different facts",
MEDIUM,NULL_SEMANTICS_AMBIGUOUS,uiowa_rfq_18649_readout_deck,uiowa_rfq_18649_readout_deck/examples/readout-planning-table.csv,\N,11,report_value,"8 empty cell(s) alongside 'UNKNOWN'x4, and no declared null sentinel; a reader cannot tell 'never recorded' from 'recorded as empty' from 'not applicable', and those are three different facts",
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_vocabulary_crosswalk,uiowa_rfq_18649_vocabulary_crosswalk/output/needs_a_decision.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# VOCABULARY RECONCILIATION over synthetic RFQ-18649 fixtures. Terms are reported as observed; mappings are declared
LOW,LEADING_COMMENT_LINE,uiowa_rfq_18649_vocabulary_crosswalk,uiowa_rfq_18649_vocabulary_crosswalk/output/observations.csv,0,0,\N,"1 comment line(s) before the header; a spreadsheet import shows them as a one-cell row and then reads the real header as data, so the columns arrive unnamed. Consider a sidecar notice file, or accept it and say so in the lane's README",# VOCABULARY RECONCILIATION over synthetic RFQ-18649 fixtures. Terms are reported as observed; mappings are declared
