phase,seed,opponent,seat,baseline_own,baseline_rival,sell_own,sell_rival,t05_own,t05_rival,composed_own,composed_rival
dev,9860001,apex,0,78604,68111,78385,68319,78604,68111,78385,68319
dev,9860001,apex,1,78604,68111,78385,68319,78604,68111,78385,68319
dev,9860001,baseline,0,77001,77001,77328,76986,77073,76906,77399,76891
dev,9860001,baseline,1,77001,77001,77328,76986,77073,76906,77399,76891
dev,9860019,apex,0,107099,97599,106978,97727,107099,97599,106978,97727
dev,9860019,apex,1,107099,97599,106978,97727,107099,97599,106978,97727
dev,9860019,baseline,0,106343,106343,106583,106339,106481,106177,106720,106174
dev,9860019,baseline,1,106343,106343,106583,106339,106481,106177,106720,106174
held,9860101,apex,0,86412,77191,87887,78111,86412,77191,87887,78111
held,9860101,apex,1,86412,77191,87887,78111,86412,77191,87887,78111
held,9860101,baseline,0,84543,84543,87144,84876,84570,84495,87171,84828
held,9860101,baseline,1,84543,84543,87144,84876,84570,84495,87171,84828
held,9860119,apex,0,66254,70786,66303,70549,66254,70786,66303,70549
held,9860119,apex,1,66254,70786,66303,70549,66254,70786,66303,70549
held,9860119,baseline,0,69066,69066,69277,68698,69133,68980,69344,68613
held,9860119,baseline,1,69066,69066,69277,68698,69133,68980,69344,68613
