service,assessment_area,fact_ids,evidence_source_ids,strength_count,gap_count,unknown_count
ESS,software_development,"ESS-SW-001;ESS-SW-002","ESS-PROFILE;PROC-SDLC;RELEASES",1,1,0
ESS,security,"ESS-SEC-001;ESS-SEC-002","ESS-PROFILE;PROC-SEC;INTERVIEWS",1,0,1
ESS,deployment_operations,"ESS-OPS-001;ESS-OPS-002","ESS-PROFILE;RUNBOOKS;RELEASES;POSTMORTEMS",1,1,0
ESS,ai_readiness,"ESS-AI-001;ESS-AI-002","ESS-PROFILE;AI-READINESS;INTERVIEWS",0,1,1
RIS,software_development,"RIS-SW-001;RIS-SW-002","RIS-PROFILE;PROC-SDLC;RELEASES;INTERVIEWS",1,1,0
RIS,security,"RIS-SEC-001;RIS-SEC-002","RIS-PROFILE;PROC-SEC;INTERVIEWS",1,1,0
RIS,deployment_operations,"RIS-OPS-001;RIS-OPS-002","RIS-PROFILE;RUNBOOKS;RELEASES;INTERVIEWS;POSTMORTEMS",1,1,0
RIS,ai_readiness,"RIS-AI-001;RIS-AI-002","RIS-PROFILE;AI-READINESS;INTERVIEWS",1,1,0
IAM,software_development,"IAM-SW-001;IAM-SW-002","IAM-PROFILE;PROC-SDLC;RELEASES;INTERVIEWS;POSTMORTEMS",1,1,0
IAM,security,"IAM-SEC-001;IAM-SEC-002","IAM-PROFILE;PROC-SEC",2,0,0
IAM,deployment_operations,"IAM-OPS-001;IAM-OPS-002","IAM-PROFILE;RUNBOOKS;RELEASES;INTERVIEWS;POSTMORTEMS",1,1,0
IAM,ai_readiness,"IAM-AI-001;IAM-AI-002","IAM-PROFILE;AI-READINESS;INTERVIEWS",1,0,1
