rule,rule_name,classification,context,file,line,match,clause
CG-01,CERTIFICATION_CLAIM,ASSERTION,prose,uiowa_rfq_18649_acceptance_map/README.md,3,conformance,Artifact conformance evidence only. The workshare these criteria come from is PROPOSED / NOT ACCEPTED.
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/README.md,3,the University of Iowa,"Nothing in this package represents that the University of Iowa accepted any conclusion, that a subcontract was executed, or that any payment occurred."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_acceptance_map/README.md,55,CONFORMANCE,ARTIFACT CONFORMANCE EVIDENCE ONLY.
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/README.md,55,the University of Iowa,"Nothing here represents that the University of Iowa accepted any conclusion, that a subcontract was executed, or that any payment occurred."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/README.md,203,certification,"No maturity score, rating, percentile, certification or compliance verdict, and no individual performance assessment."
CG-02,MATURITY_LEVEL,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/README.md,203,maturity score,"No maturity score, rating, percentile, certification or compliance verdict, and no individual performance assessment."
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/README.md,203,percentile,"No maturity score, rating, percentile, certification or compliance verdict, and no individual performance assessment."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_acceptance_map/acceptance_map.json,340,certified,"""certified compliant"","
CG-02,MATURITY_LEVEL,REFUSAL,data,uiowa_rfq_18649_acceptance_map/acceptance_map.json,353,maturity score,"""no maturity score"","
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,code,uiowa_rfq_18649_acceptance_map/build_index.py,35,CONFORMANCE,"""ARTIFACT CONFORMANCE EVIDENCE ONLY."
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,code,uiowa_rfq_18649_acceptance_map/build_index.py,36,the University of Iowa,"Nothing here represents that the University of Iowa """
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,code,uiowa_rfq_18649_acceptance_map/build_index.py,320,certification,"""score, a rating, a certification, or a professional judgement."")"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_acceptance_map/output/ACCEPTANCE_INDEX.md,3,CONFORMANCE,> ARTIFACT CONFORMANCE EVIDENCE ONLY.
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/ACCEPTANCE_INDEX.md,3,the University of Iowa,"Nothing here represents that the University of Iowa accepted any conclusion, that a subcontract was executed, or that any payment occurred."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/ACCEPTANCE_INDEX.md,128,certification,"> draft findings and roadmap inputs remain within the technical workshare and do not claim bidder submission, contract, legal/compliance certification, award, final University-facing recommendation authority, or authorit"
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/ACCEPTANCE_INDEX.md,238,certification,"It is not a score, a rating, a certification, or a professional judgement."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_acceptance_map/output/acceptance_index.csv,1,CONFORMANCE,# ARTIFACT CONFORMANCE EVIDENCE ONLY.
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,data,uiowa_rfq_18649_acceptance_map/output/acceptance_index.csv,1,the University of Iowa,"Nothing here represents that the University of Iowa accepted any conclusion, that a subcontract was executed, or that any payment occurred."
CG-01,CERTIFICATION_CLAIM,REFUSAL,data,uiowa_rfq_18649_acceptance_map/output/acceptance_index.csv,12,certification,"AC-5.2.5,5.2,DEMONSTRABLE,""2 passed, 0 failed, 0 unavailable"",2,""draft findings and roadmap inputs remain within the technical workshare and do not claim bidder submission, contract, legal/compliance certification, award"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_acceptance_map/output/acceptance_index.json,2,CONFORMANCE,"""banner"": ""ARTIFACT CONFORMANCE EVIDENCE ONLY."
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,data,uiowa_rfq_18649_acceptance_map/output/acceptance_index.json,2,the University of Iowa,"Nothing here represents that the University of Iowa accepted any conclusion, that a subcontract was executed, or that any payment occurred."
CG-01,CERTIFICATION_CLAIM,REFUSAL,data,uiowa_rfq_18649_acceptance_map/output/acceptance_index.json,250,certification,"""text"": ""draft findings and roadmap inputs remain within the technical workshare and do not claim bidder submission, contract, legal/compliance certification, award, final University-facing recommendation authority, or a"
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_acceptance_map/output/needs_engagement_evidence.csv,1,CONFORMANCE,# ARTIFACT CONFORMANCE EVIDENCE ONLY.
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,data,uiowa_rfq_18649_acceptance_map/output/needs_engagement_evidence.csv,1,the University of Iowa,"Nothing here represents that the University of Iowa accepted any conclusion, that a subcontract was executed, or that any payment occurred."
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,data,uiowa_rfq_18649_acceptance_map/output/sample_packet/MANIFEST.json,2,CONFORMANCE,"""banner"": ""ARTIFACT CONFORMANCE EVIDENCE ONLY."
CG-05,REAL_UNIVERSITY_FINDING,REFUSAL,data,uiowa_rfq_18649_acceptance_map/output/sample_packet/MANIFEST.json,2,the University of Iowa,"Nothing here represents that the University of Iowa accepted any conclusion, that a subcontract was executed, or that any payment occurred."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__README.md,186,certification,"No maturity score, rating, percentile, certification or compliance verdict is produced anywhere in this package, and no individual's performance is assessed."
CG-02,MATURITY_LEVEL,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__README.md,186,maturity score,"No maturity score, rating, percentile, certification or compliance verdict is produced anywhere in this package, and no individual's performance is assessed."
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__README.md,186,percentile,"No maturity score, rating, percentile, certification or compliance verdict is produced anywhere in this package, and no individual's performance is assessed."
CG-01,CERTIFICATION_CLAIM,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__REHEARSAL_REPORT.md,142,certification,"- No maturity score, rating, percentile, certification or compliance verdict is produced anywhere in this package, and no individual's performance is assessed."
CG-02,MATURITY_LEVEL,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__REHEARSAL_REPORT.md,142,maturity score,"- No maturity score, rating, percentile, certification or compliance verdict is produced anywhere in this package, and no individual's performance is assessed."
CG-03,PEER_COMPARISON,REFUSAL,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_intake_rehearsal__artifacts__REHEARSAL_REPORT.md,142,percentile,"- No maturity score, rating, percentile, certification or compliance verdict is produced anywhere in this package, and no individual's performance is assessed."
CG-01,CERTIFICATION_CLAIM,ASSERTION,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_workshare__ACCEPTANCE_EXHIBIT.md,40,conformance,The artifact acceptance criteria below are a deliverable-conformance and cure mechanism;
CG-01,CERTIFICATION_CLAIM,AMBIGUOUS,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_workshare__ACCEPTANCE_EXHIBIT.md,44,conformance,Acceptance in this exhibit means conformance of TJLabs-delivered artifacts to stated criteria.
CG-01,CERTIFICATION_CLAIM,ASSERTION,prose,uiowa_rfq_18649_acceptance_map/output/sample_packet/uiowa_rfq_18649_workshare__ACCEPTANCE_EXHIBIT.md,79,conformance,Section 5.2 provides an objective conformance/cure frame for the delivered draft;
