recommendation_id,title,group,area,resourcing_state,work_item_ids,shared_work_item_ids,one_time_effort_hours_low,one_time_effort_hours_likely,one_time_effort_hours_high,one_time_effort_hours_state,one_time_effort_hours_unknown_contributors,recurring_effort_fte_yr_low,recurring_effort_fte_yr_likely,recurring_effort_fte_yr_high,recurring_effort_fte_yr_state,recurring_effort_fte_yr_unknown_contributors,one_time_cash_low,one_time_cash_likely,one_time_cash_high,one_time_cash_state,one_time_cash_unknown_contributors,recurring_cash_yr_low,recurring_cash_yr_likely,recurring_cash_yr_high,recurring_cash_yr_state,recurring_cash_yr_unknown_contributors,released_capacity_hours_yr_low,released_capacity_hours_yr_likely,released_capacity_hours_yr_high,released_capacity_hours_yr_state,released_capacity_hours_yr_unknown_contributors,resourcing_note
REC-SYN-ESS-AI-001,Inventory where the ESS group already uses assistive code generation,ESS,AI,PARTIAL,ECON-004,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ECON-004,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ECON-004,0.0,0.0,0.0,COMPLETE,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ECON-004,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ECON-004,"ledgers without a complete estimate: hours (one-time implementation), FTE-fraction per year (recurring staff load), currency per year (recurring), staff-hours released per year (recurring)"
REC-SYN-ESS-DEP-001,Generate ESS release notes from the change records instead of by hand,ESS,DEP,PARTIAL,WI-ESS-RELNOTES-001,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-ESS-RELNOTES-001,0.01,0.02,0.04,COMPLETE,none,0.0,0.0,0.0,COMPLETE,none,0.0,0.0,0.0,COMPLETE,none,26.4,68.0,112.95,COMPLETE,none,ledgers without a complete estimate: hours (one-time implementation)
REC-SYN-ESS-SD-001,Extend the required build-and-test status check to the remaining ESS repositories,ESS,SD,COMPLETE,WI-PLATFORM-CI-001,WI-PLATFORM-CI-001,45.0,80.0,130.0,COMPLETE,none,0.01,0.02,0.05,COMPLETE,none,0.0,0.0,0.0,COMPLETE,none,900.0,1400.0,2200.0,COMPLETE,none,80.0,140.0,240.0,COMPLETE,none,
REC-SYN-ESS-SEC-001,Move the ESS shared service account off a static credential,ESS,SEC,PARTIAL,WI-SVCACCT-ROTATE-001,none,30.0,50.0,90.0,COMPLETE,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-SVCACCT-ROTATE-001,0.0,0.0,0.0,COMPLETE,none,0.0,0.0,0.0,COMPLETE,none,20.0,35.0,55.0,COMPLETE,none,ledgers without a complete estimate: FTE-fraction per year (recurring staff load)
REC-SYN-IAM-AI-001,Define an approval path for AI-assisted changes to IAM configuration,IAM,AI,NO_RESOURCING_DATA,none,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,"no resource or economics record names this recommendation. It is not costed, which is not the same as costing nothing."
REC-SYN-IAM-DEP-001,Reconcile production deployment approvals with the written two-approval procedure,IAM,DEP,PARTIAL,WI-DEPLOY-APPROVALS-001,none,55.0,85.0,130.0,COMPLETE,none,0.02,0.03,0.06,COMPLETE,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-DEPLOY-APPROVALS-001,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-DEPLOY-APPROVALS-001,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-DEPLOY-APPROVALS-001,"ledgers without a complete estimate: currency (one-time), currency per year (recurring), staff-hours released per year (recurring)"
REC-SYN-IAM-SD-001,Replace the manual IAM connector release checklist with a scripted release,IAM,SD,COMPLETE,WI-PLATFORM-CI-001,WI-PLATFORM-CI-001,45.0,80.0,130.0,COMPLETE,none,0.01,0.02,0.05,COMPLETE,none,0.0,0.0,0.0,COMPLETE,none,900.0,1400.0,2200.0,COMPLETE,none,80.0,140.0,240.0,COMPLETE,none,
REC-SYN-IAM-SEC-001,Consolidate the three group-membership review spreadsheets into one recorded quarterly review,IAM,SEC,PARTIAL,WI-IAM-REVIEW-SUMMARY-001; WI-TRAIN-ACCESSREV-001,WI-TRAIN-ACCESSREV-001,130.0,220.0,360.0,COMPLETE,none,0.06,0.12,0.22,COMPLETE,none,2400.0,3800.0,6000.0,PARTIAL,WI-IAM-REVIEW-SUMMARY-001,0.0,0.0,0.0,PARTIAL,WI-IAM-REVIEW-SUMMARY-001,60.0,120.0,210.0,PARTIAL,WI-IAM-REVIEW-SUMMARY-001,"ledgers without a complete estimate: currency (one-time), currency per year (recurring), staff-hours released per year (recurring)"
REC-SYN-RIS-DEP-001,Document the RIS maintenance-window handoff between the on-call and platform rotations,RIS,DEP,PARTIAL,WI-RIS-WINDOW-DOC-001,none,10.0,16.0,28.0,COMPLETE,none,0.002,0.005,0.01,COMPLETE,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-RIS-WINDOW-DOC-001,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-RIS-WINDOW-DOC-001,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-RIS-WINDOW-DOC-001,"ledgers without a complete estimate: currency (one-time), currency per year (recurring), staff-hours released per year (recurring)"
REC-SYN-RIS-SD-001,Write down the RIS branch and review conventions that are currently held by convention,RIS,SD,PARTIAL,WI-RIS-CONVENTIONS-001,none,12.0,20.0,34.0,COMPLETE,none,0.005,0.01,0.02,COMPLETE,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-RIS-CONVENTIONS-001,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-RIS-CONVENTIONS-001,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WI-RIS-CONVENTIONS-001,"ledgers without a complete estimate: currency (one-time), currency per year (recurring), staff-hours released per year (recurring)"
REC-SYN-RIS-SEC-001,Re-run the privileged-access review and record the result against the published standard,RIS,SEC,COMPLETE,WI-TRAIN-ACCESSREV-001,WI-TRAIN-ACCESSREV-001,70.0,110.0,160.0,COMPLETE,none,0.02,0.04,0.07,COMPLETE,none,2400.0,3800.0,6000.0,COMPLETE,none,0.0,0.0,0.0,COMPLETE,none,60.0,120.0,210.0,COMPLETE,none,
