entry_id,group,function,gap,detail,follow_up
AIU-SYN-003,ESS,documentation,NO_CONCRETE_EXAMPLE,use is asserted but nothing demonstrates it,"Ask for one specific instance from the last 30 days, with the artifact or ticket it produced."
AIU-SYN-003,ESS,documentation,UNSUPPORTED_BENEFIT,1 benefit claim(s) with no example behind them,"Ask what the work looked like before, what it looks like now, and where that comparison can be seen."
AIU-SYN-003,ESS,documentation,UNKNOWN_INTEGRATION,integration was not captured; not recorded as standalone,"Ask whether this runs inside an existing system or is opened separately, and name the system."
AIU-SYN-003,ESS,documentation,NO_LIMITATIONS_CAPTURED,no known limitation recorded for this use,Ask for the most recent case where the output was wrong or unusable and what happened next.
AIU-SYN-003,ESS,documentation,UNKNOWN_USER_COUNT,user count was not captured; not recorded as zero users,Ask which roles use this and roughly how many people hold that role; team-level only.
AIU-SYN-003,ESS,documentation,NO_EVIDENCE_LOCATOR,no source locator recorded for this use,Ask where the output is stored so a locator can be recorded.
AIU-SYN-005,RIS,support,NO_EVIDENCE_LOCATOR,no source locator recorded for this use,Ask where the output is stored so a locator can be recorded.
AIU-SYN-006,RIS,development,UNKNOWN_INTEGRATION,integration was not captured; not recorded as standalone,"Ask whether this runs inside an existing system or is opened separately, and name the system."
AIU-SYN-006,RIS,development,NO_LIMITATIONS_CAPTURED,no known limitation recorded for this use,Ask for the most recent case where the output was wrong or unusable and what happened next.
AIU-SYN-006,RIS,development,STATUS_EVIDENCE_MISMATCH,declared PLANNED but the record carries a concrete example; both readings preserved for a human to reconcile,Reconcile the declared status against the evidence with the team before it enters a finding.
AIU-SYN-009,IAM,documentation,UNKNOWN_FREQUENCY,frequency was not captured; not recorded as zero use,Ask how many times this was used in the last full week; record UNKNOWN if unsure rather than estimating.
AIU-SYN-009,IAM,documentation,UNKNOWN_INTEGRATION,integration was not captured; not recorded as standalone,"Ask whether this runs inside an existing system or is opened separately, and name the system."
AIU-SYN-009,IAM,documentation,NO_LIMITATIONS_CAPTURED,no known limitation recorded for this use,Ask for the most recent case where the output was wrong or unusable and what happened next.
AIU-SYN-009,IAM,documentation,UNKNOWN_USER_COUNT,user count was not captured; not recorded as zero users,Ask which roles use this and roughly how many people hold that role; team-level only.
AIU-SYN-009,IAM,documentation,NO_EVIDENCE_LOCATOR,no source locator recorded for this use,Ask where the output is stored so a locator can be recorded.
AIU-SYN-010,ESS,analysis,UNSUPPORTED_BENEFIT,1 benefit claim(s) with no example behind them,"Ask what the work looked like before, what it looks like now, and where that comparison can be seen."
AIU-SYN-010,ESS,analysis,UNKNOWN_FREQUENCY,frequency was not captured; not recorded as zero use,Ask how many times this was used in the last full week; record UNKNOWN if unsure rather than estimating.
AIU-SYN-010,ESS,analysis,UNKNOWN_INTEGRATION,integration was not captured; not recorded as standalone,"Ask whether this runs inside an existing system or is opened separately, and name the system."
AIU-SYN-010,ESS,analysis,UNKNOWN_USER_COUNT,user count was not captured; not recorded as zero users,Ask which roles use this and roughly how many people hold that role; team-level only.
