verdict,identifier,aligned_field,unknown_lane,unknown_value,unknown_path,valued_lane,valued_value,valued_path,resolution
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/consistent/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/count_mismatch/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/dangling_id/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/duplicate_id/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/estimate_fabricated/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/estimate_mismatch/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/phase_fabricated/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/phase_mismatch/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/state_mismatch/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/unassessed_result_claimed/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/unknown_count_set/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-AI-001,status,uiowa_rfq_18649_report_structure,PARTIAL,uiowa_rfq_18649_report_structure/fixtures/synthetic_finding_matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-SEC-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/consistent/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-SEC-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/count_mismatch/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-SEC-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/dangling_id/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-SEC-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/duplicate_id/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-SEC-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/estimate_fabricated/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-SEC-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/estimate_mismatch/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-SEC-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/phase_fabricated/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-SEC-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/phase_mismatch/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-SEC-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/state_mismatch/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
CONSISTENT,FND-SYN-ESS-SEC-001,status,uiowa_rfq_18649_output_agreement,PARTIAL,uiowa_rfq_18649_output_agreement/fixtures/mismatched/unassessed_result_claimed/matrix.csv,,,,"Nothing to resolve: no lane claims a settled value here. Listed so the comparison that was actually performed is visible, rather than only its failures."
