team_id,dimension_id,dimension_state,option_id,horizon,capability_gained,effort_low,effort_high,effort_unit,effort_kind,assumption_basis,validating_evidence,dependencies,observable_indicator
T-ESS,evaluation_capacity,ABSENT,OPT-EVAL-01,0-90,"A written evaluation note for any new approach trialled, recording the task, the check applied, the result, and the keep-or-drop decision.",8,16,person_hours,one_time,"Assumes a one-page format agreed once and then reused; excludes the effort of running any particular trial, which belongs to that trial.","The team's existing change-note or decision-record format, if any, and the recorded effort of adopting the last such format.",,"At least one completed evaluation note exists naming the task, the check applied, and the decision taken."
T-ESS,ai_literacy,EMERGING,OPT-LIT-01,0-90,"A shared written boundary the team can cite: what these tools are used for here, what they are not used for, and where to check when a request sits on the line.",12,24,person_hours,one_time,"Assumes one drafting pass by a team lead plus one review round with the team, on a team that already has a place to publish internal guidance. Excludes any institution-wide policy negotiation.","Time recorded against the two most recent comparable internal guidance pages this unit produced, and confirmation that an internal publishing location already exists.",,A dated guidance page exists and at least one ticket or thread cites it when resolving a borderline request.
T-ESS,knowledge_sharing,EMERGING,OPT-SHR-01,0-90,"A register where a working approach is written down with the task it applies to, so it is reusable by someone who was not in the conversation.",6,14,person_hours,one_time,Assumes the register is a page in an existing wiki or documentation system and that seeding it uses approaches the team already has in informal circulation.,A count of approaches currently circulating informally (from the team's own channel history) and the documentation system's existing page-creation process.,,"Entries exist, each names the task it applies to, and at least one entry was added by someone other than its originator."
T-ESS,knowledge_sharing,EMERGING,OPT-SHR-02,90-180,A review cycle over the register so entries carry a last-checked date and stale entries are corrected or retired rather than silently followed.,3,8,person_hours_per_month,recurring,"Assumes a register in the range of twenty to sixty entries and a monthly pass by one reviewer; scales with entry count, not with team size.","The actual entry count in the register after it has been in use for one quarter, and the time the first review pass takes when measured.",OPT-SHR-01,"Entries carry a last-checked date, and at least one entry has been corrected or retired as a result of a review."
T-ESS,ai_literacy,EMERGING,OPT-LIT-02,180+,"Team-specific guidance covering the data the team actually handles in its own systems, rather than general guidance that leaves the hard cases unresolved.",40,90,person_hours,one_time,"Assumes coordination with whoever owns the data-handling rules for the systems in question, and one revision round after the first cases surface.","Identification of the data-handling rule owner for each system in scope, and the turnaround time that owner has needed on comparable requests.",OPT-LIT-01,"Guidance names the team's own systems and data categories, and a previously unresolved borderline case has been decided by reference to it."
T-RIS,knowledge_sharing,EMERGING,OPT-SHR-01,0-90,"A register where a working approach is written down with the task it applies to, so it is reusable by someone who was not in the conversation.",6,14,person_hours,one_time,Assumes the register is a page in an existing wiki or documentation system and that seeding it uses approaches the team already has in informal circulation.,A count of approaches currently circulating informally (from the team's own channel history) and the documentation system's existing page-creation process.,,"Entries exist, each names the task it applies to, and at least one entry was added by someone other than its originator."
T-RIS,evaluation_capacity,EMERGING,OPT-EVAL-02,90-180,"A scheduled evaluation cycle with a known-answer check set, so a change in output quality is detectable rather than inferred from how the output reads.",20,48,person_hours,one_time,Assumes ten to twenty check items drawn from work the team has already completed and whose correct answers are already known; excludes building any new tooling.,"Whether completed work with known-correct answers is retrievable for the tasks in scope, and how long assembling the first ten items actually takes.",OPT-EVAL-01,"A check set exists, has been run more than once, and a run has produced a recorded difference that changed a decision."
T-RIS,workflow_fit,EMERGING,OPT-FIT-01,90-180,"Two recurring workflows mapped end to end, with the points where assistance is permitted and the points where it is excluded both marked in the procedure.",24,56,person_hours,one_time,"Assumes the two workflows already have some written procedure to amend rather than being mapped from scratch, and that exclusions can be decided inside the team.","Whether written procedures exist for the two candidate workflows, and whether any exclusion requires sign-off outside the team.",OPT-LIT-01,Both procedures show the assisted step and at least one written exclusion with a stated reason.
T-RIS,knowledge_sharing,EMERGING,OPT-SHR-02,90-180,A review cycle over the register so entries carry a last-checked date and stale entries are corrected or retired rather than silently followed.,3,8,person_hours_per_month,recurring,"Assumes a register in the range of twenty to sixty entries and a monthly pass by one reviewer; scales with entry count, not with team size.","The actual entry count in the register after it has been in use for one quarter, and the time the first review pass takes when measured.",OPT-SHR-01,"Entries carry a last-checked date, and at least one entry has been corrected or retired as a result of a review."
T-RIS,practical_training,ABSENT,OPT-TRN-01,90-180,"Hands-on practice on two of the team's own recurring tasks, with the resulting procedures updated to describe the assisted step.",30,70,person_hours,one_time,"Assumes a team in the range of five to ten contributors, two tasks in scope, preparation by one person and attendance by the rest; assumes no external trainer is engaged.","The real contributor count for the team, the recorded duration of its last hands-on session of any kind, and whether an external trainer is required by local practice.",OPT-LIT-01,"A training record names the two tasks practised, and both task procedures have been updated to describe the assisted step."
T-RIS,workflow_fit,EMERGING,OPT-FIT-02,180+,"The mapped workflows instrumented so rework is visible, making it possible to see whether an assisted step reduced total effort or moved it downstream.",50,120,person_hours,one_time,"Assumes the workflow already passes through a system that can record a rework event; if rework is currently invisible, discovery effort is not included here.","Whether the systems carrying these workflows already record a reopen, revision, or return-for-correction event, and whether that record is retrievable.",OPT-EVAL-02; OPT-FIT-01,Rework counts for the two workflows are retrievable for a period before and a period after the assisted step was introduced.
