distinct_items,input_length,strategy,seconds_min,seconds_median,peak_bytes,samples
10,30,list_scan,0.000006402,0.000010205,232,7
10,30,dict_fromkeys,0.000006483,0.000006801,600,7
10,30,set_aside,0.000005648,0.000005971,960,7
10,30,ordered_unique,0.000006098,0.000006262,1056,7
25,75,list_scan,0.000032371,0.000034694,360,7
25,75,dict_fromkeys,0.000009616,0.000009857,1472,7
25,75,set_aside,0.000010300,0.000010488,3072,7
25,75,ordered_unique,0.000010758,0.000010922,3168,7
50,150,list_scan,0.000069103,0.000071014,520,7
50,150,dict_fromkeys,0.000013253,0.000013947,2592,7
50,150,set_aside,0.000012888,0.000013311,3072,7
50,150,ordered_unique,0.000013686,0.000013921,3168,7
100,300,list_scan,0.000209031,0.000228186,968,7
100,300,dict_fromkeys,0.000019169,0.000019438,5088,7
100,300,set_aside,0.000023162,0.000023586,11168,7
100,300,ordered_unique,0.000023828,0.000024153,11264,7
200,600,list_scan,0.000777037,0.000812687,1704,7
200,600,dict_fromkeys,0.000029835,0.000030641,10080,7
200,600,set_aside,0.000037752,0.000038143,11168,7
200,600,ordered_unique,0.000038181,0.000039139,11264,7
400,1200,list_scan,0.003071245,0.003132611,3304,7
400,1200,dict_fromkeys,0.000052188,0.000053126,19808,7
400,1200,set_aside,0.000070715,0.000071135,43744,7
400,1200,ordered_unique,0.000075584,0.000076220,43840,7
800,2400,list_scan,0.024158293,0.024343385,6984,7
800,2400,dict_fromkeys,0.000096857,0.000107486,39264,7
800,2400,set_aside,0.000125231,0.000126737,43744,7
800,2400,ordered_unique,0.000129140,0.000130724,43840,7
1600,4800,list_scan,0.047875686,0.064241875,14408,7
1600,4800,dict_fromkeys,0.000185872,0.000191057,78176,7
1600,4800,set_aside,0.000292131,0.000303828,174112,7
1600,4800,ordered_unique,0.000304658,0.000316760,174208,7
3200,9600,list_scan,0.197668226,0.227678860,26088,7
3200,9600,dict_fromkeys,0.000384398,0.000423989,156000,7
3200,9600,set_aside,0.000495778,0.000498901,174112,7
3200,9600,ordered_unique,0.000517327,0.000563915,174208,7
