# SYNTHETIC REHEARSAL OUTPUT - every organization, document, number and quotation below is fictional, authored for the UIOWA-092 integration rehearsal. Nothing here is a University of Iowa record, measurement, or finding.
observation_id,group,area,direction,source_id,locator,source_version,source_path,content_sha256,source_resolution,directness,corroboration,interview_support,claim,scope_limit,follow_up
OBS-SYN-ESS-DEP-001,ESS,DEP,STRENGTH,SRC-SYN-ESS-03,rows 1-14,2026-08,ess/ess-deploy-log-2026-08.csv,d0bfad3537a57729c3f6ad6c4f0632bc64c27df1502160e77c2fa21843ab6886,RESOLVED,DIRECT,SINGLE_SOURCE,,"August production deployments and rollbacks are recorded against deployment identifiers in a single log, giving a usable deployment history.",One month of one fictional group's deployments.,Confirm whether the log is the authoritative record or a secondary copy.
OBS-SYN-ESS-DEP-002,ESS,DEP,GAP,SRC-SYN-ESS-03,"rows 3,6,9,12,13,14",2026-08,ess/ess-deploy-log-2026-08.csv,d0bfad3537a57729c3f6ad6c4f0632bc64c27df1502160e77c2fa21843ab6886,RESOLVED,DIRECT,MULTI_TYPE,,"Six of fourteen August deployments landed outside the Tuesday/Thursday window defined by the release standard, and three of those six carry no documented exception.",August only; the standard's exception process may be recorded elsewhere.,"Ask whether exceptions are recorded in a separate system, or whether these were unexcepted."
OBS-SYN-ESS-DEP-002,ESS,DEP,GAP,SRC-SYN-ESS-04,#2-out-of-window-releases,v3,ess/ess-release-window-policy-v3.md,480fa59d9c273a50bd7c96d3356b92b4899356c68f2e96f94841dfe4acdda0b9,RESOLVED,DIRECT,MULTI_TYPE,,"Six of fourteen August deployments landed outside the Tuesday/Thursday window defined by the release standard, and three of those six carry no documented exception.",August only; the standard's exception process may be recorded elsewhere.,"Ask whether exceptions are recorded in a separate system, or whether these were unexcepted."
OBS-SYN-ESS-SD-001,ESS,SD,STRENGTH,SRC-SYN-ESS-01,/repositories,v2,ess/ess-branch-protection-v2.json,c65b5602be4bfa63a7368a497ded114361d71102baeeebbd14caee1c861268fe,RESOLVED,DIRECT,SINGLE_SOURCE,,All three repositories in the ESS export require a pull request with at least one approving review and a passing build-and-test status check before merge to the default branch.,Three fictional repositories; export reflects configuration on 2026-09-18 only.,Confirm the repository inventory is complete before any group-wide statement.
OBS-SYN-ESS-SD-002,ESS,SD,STRENGTH,SRC-SYN-ESS-02,rows 1-8,2026Q3-sample,ess/ess-pull-request-sample-2026Q3.csv,9f16f19b95f8a989b5d5f93b38a0d5923c3f9392d37e7dda3b3963b57a098bc6,RESOLVED,DIRECT,SINGLE_SOURCE,,Every sampled merged pull request recorded at least one approving review and a passing status check; none was merged without review.,Eight sampled pull requests from 2026Q3; not a census.,Widen the sample or request the full merge history for the period.
OBS-SYN-ESS-SEC-001,ESS,SEC,STRENGTH,,,,,,NO_ARTIFACT_CITED,INDIRECT,NO_ARTIFACT,INT-SYN-ESS-01,A participant states that application access is reviewed quarterly.,"Interview statement only. No completed review was produced, and no artifact was offered.",Request one completed quarterly review with its date and the reviewing role.
OBS-SYN-IAM-AI-001,IAM,AI,NEUTRAL,SRC-SYN-IAM-04,#current-state,v1,iam/iam-ai-project-charter-v1.md,3df37653e16895dfd070478ef7ec14deb9357cd7daea3f4aa5697660cab93b09,RESOLVED,DIRECT,SINGLE_SOURCE,,"An approved project charter records intent to evaluate an access-request triage assistant and states that no implementation, data provision or evaluation has occurred.","Charter evidences intent only. Planned use, distinct from active or informal use.",Ask what would trigger a start and who would own an evaluation.
OBS-SYN-IAM-DEP-001,IAM,DEP,NEUTRAL,SRC-SYN-IAM-05,whole file,2026-08,iam/iam-deploy-log-2026-08.csv,,UNRESOLVED_MISSING,NONE,NO_ARTIFACT,,"A deployment log for IAM services was requested and identified in the source register, but the export was not provided during the rehearsal window.",No deployment evidence was obtained for this group. Nothing about IAM deployment practice is established either way.,"Re-request the August deployment export, or agree an alternative record."
OBS-SYN-IAM-SD-001,IAM,SD,GAP,SRC-SYN-IAM-03,rows 1-4,2026-08,iam/iam-change-review-export-2026-08.csv,bf918583fda3973271486f47c2eb5de9c6743b44c2dbd00c8859ce666f3d151d,RESOLVED,DIRECT,SINGLE_SOURCE,,One of four sampled IAM configuration changes records a reviewer and a review evidence reference; the other three record neither.,Four sampled August changes across three fictional services.,Ask whether review is recorded outside this export for the other three changes.
OBS-SYN-IAM-SD-002,IAM,SD,STRENGTH,,,,,,NO_ARTIFACT_CITED,INDIRECT,NO_ARTIFACT,INT-SYN-IAM-02,A participant states that every configuration change is reviewed by a second engineer before release.,Interview statement only; it is not reconciled with the change export.,Reconcile the stated practice with the three changes that record no reviewer.
OBS-SYN-IAM-SEC-001,IAM,SEC,STRENGTH,SRC-SYN-IAM-01,rows 1-4,2026Q2,iam/iam-recert-campaign-2026Q2.csv,10037a573bee1c9ca88c747b59ccb3a2efd5f5f3d8a30e4fc85ffa555605b271,RESOLVED,DIRECT,MULTI_TYPE,INT-SYN-IAM-01,"The 2026Q2 privileged access recertification closed with all 102 in-scope accounts dispositioned: 71 retained, 19 revoked, 8 scope-reduced and 4 open exceptions, each exception carrying a named owner and an expiry as the standard requires.","One campaign, one quarter. Exception expiry dates were not independently checked against the accounts.",Request the next campaign's export to confirm the four exceptions closed at expiry.
OBS-SYN-IAM-SEC-001,IAM,SEC,STRENGTH,SRC-SYN-IAM-02,#1-recertification,v4,iam/iam-privileged-access-standard-v4.md,7761f395908275c88e46f2cd2762747936cb7a6d357d4fcf091bb1a5d8835228,RESOLVED,DIRECT,MULTI_TYPE,INT-SYN-IAM-01,"The 2026Q2 privileged access recertification closed with all 102 in-scope accounts dispositioned: 71 retained, 19 revoked, 8 scope-reduced and 4 open exceptions, each exception carrying a named owner and an expiry as the standard requires.","One campaign, one quarter. Exception expiry dates were not independently checked against the accounts.",Request the next campaign's export to confirm the four exceptions closed at expiry.
OBS-SYN-RIS-AI-001,RIS,AI,NEUTRAL,,,,,,NO_ARTIFACT_CITED,INDIRECT,NO_ARTIFACT,INT-SYN-RIS-01,"A participant describes informal individual use of an assistant to generate test data, not adopted by the team and not documented anywhere.","Interview statement only. Informal experimentation, distinct from active adopted use.",Ask what inputs were used and whether any team-level guidance exists.
OBS-SYN-RIS-DEP-001,RIS,DEP,GAP,SRC-SYN-RIS-02,"column restore_exercise_performed, rows 1-10",2026-08,ris/ris-backup-job-report-2026-08.csv,a463afa21f4d2a3b2dfe8cf6e705e644bd8fdb7f25d9999588d4626cd737da90,RESOLVED,DIRECT,SINGLE_SOURCE,,"The August report evidences backup job completion for two applications but records no restoration exercise for any date, so recoverability is not demonstrated.",Backup completion is evidenced; restoration is unevidenced rather than shown to fail.,"Request the date and outcome of the most recent restoration test, if one exists."
