event_id,event_kind,register_observed_at,asserting_component,asserting_path,asserted_at,agreement
EVT-BUILD-FINISHED,build_finished,2026-09-17T15:20:00+00:00,provenance,case.release.build.finished,2026-09-17T15:20:00+00:00,AGREES
EVT-BUILD-STARTED,build_started,2026-09-17T15:00:00+00:00,provenance,case.release.build.started,2026-09-17T15:00:00+00:00,AGREES
EVT-DEPLOY,deployment,2026-09-17T22:00:00+00:00,provenance,case.release.deployment.deployed,2026-09-17T22:00:00+00:00,AGREES
EVT-DISRUPT,disruption,2026-09-17T22:20:00+00:00,recovery,case.recovery.services[0].exercise.disruption,2026-09-17T22:20:00+00:00,AGREES
EVT-DISRUPT,disruption,2026-09-17T22:20:00+00:00,recovery,case.recovery.services[2].exercise.disruption,2026-09-17T22:20:00+00:00,AGREES
EVT-ESS-BACKUP,backup_completed,2026-09-17T21:30:00+00:00,recovery,case.recovery.services[0].backup.last_successful,,NO_ASSERTION
EVT-ESS-BIZVERIFY,business_verification,2026-09-17T23:25:00+00:00,recovery,case.recovery.services[0].exercise.business_verification,,NO_ASSERTION
EVT-ESS-DEPVERIFY,dependency_verification,2026-09-17T22:55:00+00:00,recovery,case.recovery.services[0].exercise.dependency_results[0].verified,2026-09-17T22:55:00+00:00,AGREES
EVT-ESS-PIT,restored_data_as_of,2026-09-17T21:30:00+00:00,recovery,case.recovery.services[0].exercise.restored_data_as_of,,NO_ASSERTION
EVT-ESS-RESTORE,restore_completed,2026-09-17T23:10:00+00:00,recovery,case.recovery.services[0].exercise.restore_completed,2026-09-17T23:10:00+00:00,AGREES
EVT-IAM-BACKUP,backup_completed,2026-09-17T20:45:00+00:00,recovery,case.recovery.services[1].backup.last_successful,,NO_ASSERTION
EVT-RIS-BACKUP,backup_completed,2026-09-17T21:00:00+00:00,recovery,case.recovery.services[2].backup.last_successful,,NO_ASSERTION
EVT-RIS-DEPVERIFY,dependency_verification,,recovery,case.recovery.services[2].exercise.dependency_results[0].verified,,NO_ASSERTION
EVT-RIS-PIT,restored_data_as_of,2026-09-17T21:00:00+00:00,recovery,case.recovery.services[2].exercise.restored_data_as_of,,NO_ASSERTION
EVT-RIS-RESTORE,restore_completed,2026-09-17T23:40:00+00:00,recovery,case.recovery.services[2].exercise.restore_completed,2026-09-17T23:40:00+00:00,AGREES
EVT-SRC-APPROVED,source_approved,2026-09-17T14:00:00+00:00,provenance,case.release.source.approved,2026-09-17T14:00:00+00:00,AGREES
EVT-VERIFY-PROD,verification,2026-09-17T22:15:00+00:00,environment,case.verifications[1].performed,2026-09-17T22:15:00+00:00,AGREES
EVT-VERIFY-STAGE,verification,2026-09-17T16:00:00+00:00,environment,case.verifications[0].performed,2026-09-17T16:00:00+00:00,AGREES
