deployment_id,service,window_start,window_end,environment,deployed_at,commit_id,committed_at,successful_change_at,requires_immediate_intervention,failure_detected_at,recovery_completed_at,is_unplanned_rework,rework_cause,notes
ESS-001,ess-registration,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-01T14:00:00Z,ESS-001-c,2026-08-31T14:00:00Z,2026-09-01T14:00:00Z,false,,,false,,synthetic fixture
ESS-002,ess-registration,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-03T16:00:00Z,ESS-002-c,2026-09-03T12:00:00Z,2026-09-03T16:00:00Z,false,,,false,,synthetic fixture
ESS-003,ess-registration,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-05T15:00:00Z,ESS-003-c,2026-09-04T15:00:00Z,,true,2026-09-05T15:10:00Z,2026-09-05T17:10:00Z,false,,synthetic fixture
ESS-004,ess-registration,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-05T17:10:00Z,ESS-004-c,2026-09-05T16:20:00Z,2026-09-05T17:10:00Z,false,,,true,production_incident,synthetic fixture
ESS-005,ess-registration,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-08T18:00:00Z,ESS-005-c,2026-09-08T09:00:00Z,2026-09-08T18:00:00Z,false,,,false,,synthetic fixture
ESS-006,ess-registration,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-10T13:00:00Z,ESS-006-c,2026-09-09T13:00:00Z,2026-09-10T13:00:00Z,false,,,false,,synthetic fixture
ESS-007,ess-registration,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-12T14:00:00Z,ESS-007-c,2026-09-12T12:00:00Z,,true,2026-09-12T14:05:00Z,2026-09-12T15:05:00Z,false,,synthetic fixture
ESS-008,ess-registration,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-12T15:05:00Z,ESS-008-c,2026-09-12T14:25:00Z,2026-09-12T15:05:00Z,false,,,true,user_facing_bug,synthetic fixture
RIS-001,ris-submission,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-02T15:00:00Z,RIS-001-c,2026-08-30T15:00:00Z,2026-09-02T15:00:00Z,false,,,false,,synthetic fixture
RIS-002,ris-submission,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-04T15:00:00Z,RIS-002-c,2026-09-04T10:00:00Z,2026-09-04T15:00:00Z,false,,,false,,synthetic fixture
RIS-003,ris-submission,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-07T15:00:00Z,,,2026-09-07T15:00:00Z,false,,,false,,synthetic missing commit linkage
RIS-004,ris-submission,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-09T18:00:00Z,RIS-004-c,2026-09-09T08:00:00Z,,true,2026-09-09T18:20:00Z,2026-09-09T22:20:00Z,false,,synthetic fixture
RIS-005,ris-submission,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-09T22:20:00Z,RIS-005-c,2026-09-09T20:00:00Z,2026-09-09T22:20:00Z,false,,,true,production_incident,synthetic fixture
RIS-006,ris-submission,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-13T15:00:00Z,RIS-006-c,2026-09-11T15:00:00Z,2026-09-13T15:00:00Z,false,,,false,,synthetic fixture
IAM-001,iam-signin,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-01T12:00:00Z,IAM-001-c,2026-09-01T11:00:00Z,2026-09-01T12:00:00Z,false,,,false,,synthetic fixture
IAM-002,iam-signin,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-02T12:00:00Z,IAM-002-c,2026-09-02T10:00:00Z,2026-09-02T12:00:00Z,false,,,false,,synthetic fixture
IAM-003,iam-signin,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-04T12:00:00Z,IAM-003-c,2026-09-04T09:00:00Z,2026-09-04T12:00:00Z,false,,,false,,synthetic fixture
IAM-004,iam-signin,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-08T12:00:00Z,IAM-004-c,2026-09-08T08:00:00Z,2026-09-08T12:00:00Z,false,,,false,,synthetic fixture
IAM-005,iam-signin,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,production,2026-09-14T12:00:00Z,IAM-005-c,2026-09-13T12:00:00Z,2026-09-14T12:00:00Z,false,,,false,,synthetic fixture
ESS-STAGE-001,ess-registration,2026-09-01T00:00:00Z,2026-09-15T00:00:00Z,staging,2026-09-06T12:00:00Z,stage-c,2026-09-06T10:00:00Z,2026-09-06T12:00:00Z,false,,,false,,excluded nonproduction row
