document_title,synthetic,document_assumptions,id,title,group,phase,owner_role,depends_on,duration_days,finding_refs,evidence_refs,practice_change,observable_outcome,assumptions,planning_state,start_min,start_max,finish_min,finish_max,layer,status,phase_state,issues
SYNTHETIC AIS practice-improvement roadmap — preparation example,true,"[""All groups, findings, service facts, timings and outcomes in this collection are fictional; none are University findings."", ""Day zero is a hypothetical planning origin, not a booked kickoff or a calendar date."", ""A phase is a requested start horizon: [0,90), [90,180), [180,infinity). Work may finish in a later phase."", ""Elapsed duration is not staff effort. Parallel dependency layers are not evidence of available capacity."", ""Recommendations and priorities require professional review. This planner does not compute maturity or select products.""]",R01,Establish service and evidence ownership,DEPARTMENT,0-90,Assessment coordinator,[],"[10, 20]","[""SYN-F-01""]","[""synthetic_evidence.md#baseline""]","Move from informal ownership to a maintained service-to-role register, without inferring a maturity rating.","Three fictional service records have named accountable roles, supporting artifacts and a review date.","[""Elapsed days include interviews and review; staffing availability has not been confirmed.""]",DRAFT_NON_AUTHORITATIVE,0,0,10,20,0,PLANNED,ON_PHASE,[]
SYNTHETIC AIS practice-improvement roadmap — preparation example,true,"[""All groups, findings, service facts, timings and outcomes in this collection are fictional; none are University findings."", ""Day zero is a hypothetical planning origin, not a booked kickoff or a calendar date."", ""A phase is a requested start horizon: [0,90), [90,180), [180,infinity). Work may finish in a later phase."", ""Elapsed duration is not staff effort. Parallel dependency layers are not evidence of available capacity."", ""Recommendations and priorities require professional review. This planner does not compute maturity or select products.""]",R02,Pilot requirements-to-test review,ESS,0-90,ESS delivery lead,"[""R01""]","[15, 25]","[""SYN-F-02""]","[""synthetic_evidence.md#ess-review""]",Make sampled changes traceable from acceptance criteria to executed verification.,"For the next six fictional changes, record coverage and unresolved acceptance criteria; do not count document completion as improved quality.","[""Pilot is limited to one release stream; existing delivery work continues.""]",DRAFT_NON_AUTHORITATIVE,10,20,25,45,1,PLANNED,ON_PHASE,[]
SYNTHETIC AIS practice-improvement roadmap — preparation example,true,"[""All groups, findings, service facts, timings and outcomes in this collection are fictional; none are University findings."", ""Day zero is a hypothetical planning origin, not a booked kickoff or a calendar date."", ""A phase is a requested start horizon: [0,90), [90,180), [180,infinity). Work may finish in a later phase."", ""Elapsed duration is not staff effort. Parallel dependency layers are not evidence of available capacity."", ""Recommendations and priorities require professional review. This planner does not compute maturity or select products.""]",R03,Rehearse release recovery and verification,ESS,0-90,ESS service owner,"[""R02""]","[20, 35]","[""SYN-F-03""]","[""synthetic_evidence.md#ess-recovery""]","Turn a written recovery procedure into a rehearsed, evidence-backed practice.","One synthetic rehearsal records decision points, recovery elapsed time, business checks and follow-up actions.","[""No production rollback is performed; the practice rehearsal uses fictional records.""]",DRAFT_NON_AUTHORITATIVE,25,45,45,80,2,PLANNED,ON_PHASE,[]
SYNTHETIC AIS practice-improvement roadmap — preparation example,true,"[""All groups, findings, service facts, timings and outcomes in this collection are fictional; none are University findings."", ""Day zero is a hypothetical planning origin, not a booked kickoff or a calendar date."", ""A phase is a requested start horizon: [0,90), [90,180), [180,infinity). Work may finish in a later phase."", ""Elapsed duration is not staff effort. Parallel dependency layers are not evidence of available capacity."", ""Recommendations and priorities require professional review. This planner does not compute maturity or select products.""]",R04,Clarify service-identity lifecycle roles,IAM,0-90,IAM service owner,"[""R01""]","[10, 20]","[""SYN-F-04""]","[""synthetic_evidence.md#iam-lifecycle""]",Attach lifecycle responsibility and successor roles to documented service identities.,"Each fictional identity has an owner, purpose, renewal/retirement decision and continuity dependency.","[""This models documentation work only; it does not change access or credentials.""]",DRAFT_NON_AUTHORITATIVE,10,20,20,40,1,PLANNED,ON_PHASE,[]
SYNTHETIC AIS practice-improvement roadmap — preparation example,true,"[""All groups, findings, service facts, timings and outcomes in this collection are fictional; none are University findings."", ""Day zero is a hypothetical planning origin, not a booked kickoff or a calendar date."", ""A phase is a requested start horizon: [0,90), [90,180), [180,infinity). Work may finish in a later phase."", ""Elapsed duration is not staff effort. Parallel dependency layers are not evidence of available capacity."", ""Recommendations and priorities require professional review. This planner does not compute maturity or select products.""]",R05,Run a security-event review pilot,IAM,0-90,IAM operational reviewer,"[""R04""]","[15, 25]","[""SYN-F-05""]","[""synthetic_evidence.md#iam-review""]",Connect selected operational evidence to review ownership and documented follow-through.,"Two synthetic review cycles show selected events, dispositions, escalation rationale and actions still open.","[""Review time is an elapsed-duration estimate; actual recurring staff effort remains to collect.""]",DRAFT_NON_AUTHORITATIVE,20,40,35,65,2,PLANNED,ON_PHASE,[]
SYNTHETIC AIS practice-improvement roadmap — preparation example,true,"[""All groups, findings, service facts, timings and outcomes in this collection are fictional; none are University findings."", ""Day zero is a hypothetical planning origin, not a booked kickoff or a calendar date."", ""A phase is a requested start horizon: [0,90), [90,180), [180,infinity). Work may finish in a later phase."", ""Elapsed duration is not staff effort. Parallel dependency layers are not evidence of available capacity."", ""Recommendations and priorities require professional review. This planner does not compute maturity or select products.""]",R06,Adopt and compare the two practice pilots,DEPARTMENT,90-180,Practice improvement lead,"[""R03"", ""R05""]","[40, 60]","[""SYN-F-06""]","[""synthetic_evidence.md#adoption""]",Extend demonstrated practices only after reviewing each pilot and preserving cross-group differences.,Compare baseline and follow-up using equivalent windows; retain disagreements and reject unsupported improvement claims.,"[""Dependency-only earliest-start bounds assume suitable staff can work after the pilot reviews.""]",DRAFT_NON_AUTHORITATIVE,90,90,130,150,3,PLANNED,ON_PHASE,[]
SYNTHETIC AIS practice-improvement roadmap — preparation example,true,"[""All groups, findings, service facts, timings and outcomes in this collection are fictional; none are University findings."", ""Day zero is a hypothetical planning origin, not a booked kickoff or a calendar date."", ""A phase is a requested start horizon: [0,90), [90,180), [180,infinity). Work may finish in a later phase."", ""Elapsed duration is not staff effort. Parallel dependency layers are not evidence of available capacity."", ""Recommendations and priorities require professional review. This planner does not compute maturity or select products.""]",R07,Evaluate sustained practice and revise the roadmap,DEPARTMENT,180+,Department assessment sponsor,"[""R06""]","[15, 30]","[""SYN-F-07""]","[""synthetic_evidence.md#sustain""]",Review whether practices remain used and produce the intended outcomes before proposing another maturity step.,"Retain sustained-use evidence, outcome trends, counterexamples and a revised prioritization rationale.","[""A one-to-two-level progression is a proposed assessment goal, not a predicted score or guaranteed result.""]",DRAFT_NON_AUTHORITATIVE,180,180,195,210,4,PLANNED,ON_PHASE,[]
SYNTHETIC AIS practice-improvement roadmap — preparation example,true,"[""All groups, findings, service facts, timings and outcomes in this collection are fictional; none are University findings."", ""Day zero is a hypothetical planning origin, not a booked kickoff or a calendar date."", ""A phase is a requested start horizon: [0,90), [90,180), [180,infinity). Work may finish in a later phase."", ""Elapsed duration is not staff effort. Parallel dependency layers are not evidence of available capacity."", ""Recommendations and priorities require professional review. This planner does not compute maturity or select products.""]",R08,Measure the AI workflow baseline,RIS,0-90,,[],,"[""SYN-F-08""]","[""synthetic_evidence.md#ai-unknown""]",Replace an assumed productivity benefit with a comparable baseline measurement design.,"Identify comparable tasks, repair effort, outcome criteria and a collection owner before estimating a pilot.","[""Duration and ownership are deliberately unknown; no productivity multiplier is assumed.""]",DRAFT_NON_AUTHORITATIVE,,,,,0,MISSING_DURATION,UNKNOWN,"[""owner_role_unknown"", ""duration_unknown""]"
SYNTHETIC AIS practice-improvement roadmap — preparation example,true,"[""All groups, findings, service facts, timings and outcomes in this collection are fictional; none are University findings."", ""Day zero is a hypothetical planning origin, not a booked kickoff or a calendar date."", ""A phase is a requested start horizon: [0,90), [90,180), [180,infinity). Work may finish in a later phase."", ""Elapsed duration is not staff effort. Parallel dependency layers are not evidence of available capacity."", ""Recommendations and priorities require professional review. This planner does not compute maturity or select products.""]",R09,Evaluate an AI-assisted documentation pilot,RIS,90-180,RIS workflow lead,"[""R08""]","[20, 35]","[""SYN-F-09""]","[""synthetic_evidence.md#ai-pilot""]",Compare a bounded assisted workflow with its measured baseline using the same acceptance criteria.,"Report accepted outputs, checking and rework time, unresolved cases and recurring maintenance separately.","[""The pilot cannot receive start/finish estimates until R08 is estimated; no model service is called.""]",DRAFT_NON_AUTHORITATIVE,,,,,1,BLOCKED_BY_UNSCHEDULED_PREREQUISITE,UNKNOWN,"[""unscheduled_prerequisite:R08""]"
SYNTHETIC AIS practice-improvement roadmap — preparation example,true,"[""All groups, findings, service facts, timings and outcomes in this collection are fictional; none are University findings."", ""Day zero is a hypothetical planning origin, not a booked kickoff or a calendar date."", ""A phase is a requested start horizon: [0,90), [90,180), [180,infinity). Work may finish in a later phase."", ""Elapsed duration is not staff effort. Parallel dependency layers are not evidence of available capacity."", ""Recommendations and priorities require professional review. This planner does not compute maturity or select products.""]",R10,Map an external-interface transition,RIS,0-90,RIS integration coordinator,[],"[80, 110]","[""SYN-F-10""]","[""synthetic_evidence.md#external-interface""]",Turn an uncertain external change window into an explicit dependency and evidence collection plan.,"Document the interface version, owner, transition window and compatibility evidence needed for a rehearsal.","[""The 80–110 day range is wholly synthetic and intentionally crosses the phase boundary.""]",DRAFT_NON_AUTHORITATIVE,0,0,80,110,0,PLANNED,ON_PHASE,"[""work_may_span_phase_boundary""]"
