scenario_id,field,reason,economic_swing,measurement
CASE-SYN-RIS-VENDOR-SUMMARY,cash_conversion_fraction,MISSING_INPUT,UNKNOWN,Document what fraction of the signed capacity value would actually change payroll or contractor cash; zero is not an automatic fact.
CASE-SYN-RIS-VENDOR-SUMMARY,rework_minutes,RANGE_SENSITIVITY,8976.0000,"Measure extra repair or manual fallback time conditional on rework, without double counting author/checking time."
CASE-SYN-RIS-VENDOR-SUMMARY,loaded_hourly_rate,RANGE_SENSITIVITY,3968.00000,Obtain an agreed aggregate loaded-labor valuation; document role mix and valuation basis.
CASE-SYN-RIS-VENDOR-SUMMARY,monthly_tasks,RANGE_SENSITIVITY,2867.52000,"Count comparable eligible tasks, including unsuccessful attempts; record period and exclusions."
CASE-SYN-RIS-VENDOR-SUMMARY,baseline_minutes,RANGE_SENSITIVITY,2856.00000,"Time the current workflow through accepted output, not first draft, for a comparable task mix."
CASE-SYN-RIS-VENDOR-SUMMARY,checking_minutes,RANGE_SENSITIVITY,1632.00000,"Time verification of every assisted output, including discarded outputs and source checks."
CASE-SYN-RIS-VENDOR-SUMMARY,maintenance_hours,RANGE_SENSITIVITY,1530.00000,"Record recurring updates, evaluation refresh and knowledge maintenance, excluding support."
CASE-SYN-RIS-VENDOR-SUMMARY,support_hours,RANGE_SENSITIVITY,1530.00000,"Record recurring operational support and troubleshooting, excluding per-task rework."
CASE-SYN-RIS-VENDOR-SUMMARY,author_minutes,RANGE_SENSITIVITY,816.00000,"Record prompting, context preparation and editing; exclude checking and rework counted below."
CASE-SYN-RIS-VENDOR-SUMMARY,integration_hours,RANGE_SENSITIVITY,510.00000,"Estimate and then record integration, rollout, initial evaluation and training effort."
CASE-SYN-RIS-VENDOR-SUMMARY,setup_cash,RANGE_SENSITIVITY,200.00000,Record incremental setup cash not already represented by integration labor.
CASE-SYN-RIS-VENDOR-SUMMARY,platform_cash,RANGE_SENSITIVITY,180.00000,Record incremental fixed recurring cash not already included in generation costs.
CASE-SYN-RIS-VENDOR-SUMMARY,generation_cash_per_attempt,RANGE_SENSITIVITY,20.16000,Use dated metered cost or a documented cost assumption covering each attempt's actual usage.
