weeks,scenario,final_ready_workday,shift_workdays,TJLabs_hours,TJLabs_extra_labor_usd,overload_intervals,actual_availability_confirmed
6,baseline,30,0,243,0,5,False
6,late_interviews,40,10,251,640,2,False
6,partial_evidence,40,10,253,800,3,False
6,delayed_comments,40,10,249,480,5,False
6,recover_interviews,35,5,253,800,5,False
6,recover_evidence,32,2,253.8,864,7,False
6,recover_comments,38,8,248.2,416,6,False
6,unknown_evidence,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,False
8,baseline,40,0,247,0,0,False
8,late_interviews,50,10,255,640,0,False
8,partial_evidence,50,10,257,800,0,False
8,delayed_comments,50,10,253,480,0,False
8,recover_interviews,45,5,257,800,1,False
8,recover_evidence,40,0,257,800,0,False
8,recover_comments,48,8,252.2,416,1,False
8,unknown_evidence,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,False
