record_id,sample_id,coa_id,jurisdiction,status,reason_code,source_sha256,normalized_sha256,result_sha256,autonomous_release
SC-001,SC-SAMPLE-001,SC-COA-001,CA,RELEASEABLE,,253014c0eae782c7488ae24edbd198544b4d67b5ff8efe697531134e8ab79e2c,253014c0eae782c7488ae24edbd198544b4d67b5ff8efe697531134e8ab79e2c,771a6141a27c9f58404d275611b32d4eb03ccd4b0145f29467069cce464aa155,False
SC-002,SC-SAMPLE-002,SC-COA-002,CO,RELEASEABLE,,7732bfbcd1af945e07ce78cf1359cbc750bf1064a0d9f82c87339ae4bb9ac19e,7732bfbcd1af945e07ce78cf1359cbc750bf1064a0d9f82c87339ae4bb9ac19e,e2a60c4651fc24b23cab4bd5091479cb3a1d5c91d6f1968a1b3c75bc66f58ffd,False
SC-003,SC-SAMPLE-003,SC-COA-003,MI,RELEASEABLE,,442cd9a2947a2b2e81fe231b65b25c592a8f26a19a0e6191e088b20327e12761,442cd9a2947a2b2e81fe231b65b25c592a8f26a19a0e6191e088b20327e12761,e98706bc334858af95a53dfc00136432416cb35ab4b211dfe5c424ae641986ce,False
SC-004,SC-SAMPLE-004,SC-COA-004,MD,RELEASEABLE,,15a07c4af8b1e6a643f2edb396c548967cbf0e4b3185236644059a435a7a09a6,15a07c4af8b1e6a643f2edb396c548967cbf0e4b3185236644059a435a7a09a6,f115338bc65580e337d53b0d8d324da253cdf45dfbdc1ebb5c0b73eab8d0ca23,False
SC-005,SC-SAMPLE-005,SC-COA-005,OR,RELEASEABLE,,0101ee905513927e84128c61f68e8e994d0a641de1d3fb9fc4d3666dda8e5309,0101ee905513927e84128c61f68e8e994d0a641de1d3fb9fc4d3666dda8e5309,51d7df0784268d07c3dd7636a04296598277724c3a06ed61f50b688324a75802,False
SC-006,SC-SAMPLE-006,SC-COA-006,CA,RELEASEABLE,,1731b0b6b6d5de89aaa1f50ccc8ad032d55794fc35b8a06681db8b7e7ec4482f,1731b0b6b6d5de89aaa1f50ccc8ad032d55794fc35b8a06681db8b7e7ec4482f,9c3c4ebe421753a2b5eb2bd67df62e866b932aa2414a5831853d6d98d8b92ede,False
SC-007,SC-SAMPLE-007,SC-COA-007,CO,RELEASEABLE,,07b9c3c2ecc54ddd8ee1d02fcdd34c1000757ddcc291caa86c7a8faa1d069e40,07b9c3c2ecc54ddd8ee1d02fcdd34c1000757ddcc291caa86c7a8faa1d069e40,68b8f01ee2003e8b85b1d78ad93dab9bbb961374214fb38bd8407c8b8772b571,False
SC-008,SC-SAMPLE-008,SC-COA-008,MI,RELEASEABLE,,495c4724d241115fd737930d500bbc9f3309ec73c507982bf7fff85e00843e99,495c4724d241115fd737930d500bbc9f3309ec73c507982bf7fff85e00843e99,4aa3e40cd16c90a1c181b257ccdf5838545ab3052b07404bc9fba0a0d0e6f38e,False
SC-009,SC-SAMPLE-009,SC-COA-009,MD,RELEASEABLE,,18879e23cb90cb440b0ecdf4ff3b2a6772c2b7ddec216cf5eed7ce1a0fd84c5d,18879e23cb90cb440b0ecdf4ff3b2a6772c2b7ddec216cf5eed7ce1a0fd84c5d,e0f38af5dc6bcb01b37c182afec2eab57476c80d339b984004176950d2785d36,False
SC-010,SC-SAMPLE-010,SC-COA-010,OR,RELEASEABLE,,ebdbaab58d95655cb1c0042f5b7b277ea182321592cd76f1c784f6df78055d47,ebdbaab58d95655cb1c0042f5b7b277ea182321592cd76f1c784f6df78055d47,6ecdbeddbabf41e7e824fffc883f3b78b006548a6d660501fbf5505e51dedf9e,False
