case_id,metric,value,basis
CASE-SYN-ESS-CHANGE-MEMO,verdict,BENEFICIAL,MODELED_SYNTHETIC
CASE-SYN-ESS-CHANGE-MEMO,headline_generation_speedup_x,15.75,MODELED_SYNTHETIC
CASE-SYN-ESS-CHANGE-MEMO,net_minutes_per_document.low,70.0,MODELED_SYNTHETIC
CASE-SYN-ESS-CHANGE-MEMO,net_minutes_per_document.mid,82.25,MODELED_SYNTHETIC
CASE-SYN-ESS-CHANGE-MEMO,net_minutes_per_document.high,89.0,MODELED_SYNTHETIC
CASE-SYN-ESS-CHANGE-MEMO,modeled_capacity_value_over_horizon.low,17640.0,MODELED_SYNTHETIC
CASE-SYN-ESS-CHANGE-MEMO,modeled_capacity_value_over_horizon.nominal,35532.0,MODELED_SYNTHETIC
CASE-SYN-ESS-CHANGE-MEMO,modeled_capacity_value_over_horizon.high,58740.0,MODELED_SYNTHETIC
CASE-SYN-ESS-CHANGE-MEMO,modeled_capacity_hours_over_horizon,394.8,MODELED_SYNTHETIC
CASE-SYN-ESS-CHANGE-MEMO,cash_cost_over_horizon,UNKNOWN,UNKNOWN
CASE-SYN-ESS-CHANGE-MEMO,cash_savings_over_horizon,UNKNOWN,UNKNOWN
CASE-SYN-ESS-CHANGE-MEMO,realized_opportunity_value_over_horizon,UNKNOWN,UNKNOWN
CASE-SYN-ESS-CHANGE-MEMO,quality_risk,False,MODELED_SYNTHETIC
