# VOCABULARY RECONCILIATION over synthetic RFQ-18649 fixtures. Terms are reported as observed; mappings are declared, never guessed. Nothing here is a University of Iowa finding, and no lane is scored, ranked or certified.
slot,term,lane,file,column,rows,compound
area,AI,uiowa_rfq_18649_ai_use_inventory,uiowa_rfq_18649_ai_use_inventory/sample_output/ai_use_inventory.csv,area,10,False
area,AI,uiowa_rfq_18649_economics_resource_adapters,uiowa_rfq_18649_economics_resource_adapters/sample_output/resourcing_table.csv,area,2,False
area,AI,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/artifacts/assessment_matrix.csv,area,3,False
area,AI,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/artifacts/evidence_register.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/consistent/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/consistent/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/count_mismatch/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/count_mismatch/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/dangling_id/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/dangling_id/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/duplicate_id/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/duplicate_id/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/estimate_fabricated/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/estimate_fabricated/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/estimate_mismatch/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/estimate_mismatch/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/phase_fabricated/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/phase_fabricated/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/phase_mismatch/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/phase_mismatch/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/state_mismatch/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/state_mismatch/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/unassessed_result_claimed/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/unassessed_result_claimed/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/unknown_count_set/matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_output_agreement,uiowa_rfq_18649_output_agreement/fixtures/mismatched/unknown_count_set/recommendations.csv,area,2,False
area,AI,uiowa_rfq_18649_prioritization,uiowa_rfq_18649_prioritization/examples/baseline-ranked.csv,area,2,False
area,AI,uiowa_rfq_18649_report_structure,uiowa_rfq_18649_report_structure/fixtures/synthetic_evidence_register.csv,area,1,False
area,AI,uiowa_rfq_18649_report_structure,uiowa_rfq_18649_report_structure/fixtures/synthetic_finding_matrix.csv,area,2,False
area,AI,uiowa_rfq_18649_report_structure,uiowa_rfq_18649_report_structure/fixtures/synthetic_recommendation_register.csv,area,2,False
area,AI,uiowa_rfq_18649_workshare,uiowa_rfq_18649_workshare/methodology/23-synthetic-evidence-register.csv,area,2,False
area,AI readiness,uiowa_rfq_18649_intake_rehearsal,uiowa_rfq_18649_intake_rehearsal/artifacts/assessment_matrix.csv,area_label,3,False
area,Access / IAM,uiowa_rfq_18649_workbench,uiowa_rfq_18649_workbench/12-policy-context.csv,assessment_area,2,False
area,Access / IAM / software delivery,uiowa_rfq_18649_workbench,uiowa_rfq_18649_workbench/12-policy-context.csv,assessment_area,1,False
area,Access / data governance,uiowa_rfq_18649_workbench,uiowa_rfq_18649_workbench/12-policy-context.csv,assessment_area,1,False
area,Accessibility / procurement / governance,uiowa_rfq_18649_workbench,uiowa_rfq_18649_workbench/12-policy-context.csv,assessment_area,1,False
