requirement_id,domain,required,short_requirement,primary_posture
1,AUDIT_SECURITY,Y,Meet Tennessee STS security policies,OEM_PRIME_EVIDENCE
2,AUDIT_SECURITY,Y,Backup/recovery per State rules,OEM_PRIME_EVIDENCE
3,AUDIT_SECURITY,Y,Audit all changes with timestamp/user,SPECIALIST_WORKSHARE_DEMO
4,AUDIT_SECURITY,Y,Online audit-trail viewer,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
5,AUDIT_SECURITY,Y,Time synchronization across time zones,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
6,AUDIT_SECURITY,Y,FIPS 140-2/140-3 encryption,OEM_PRIME_EVIDENCE
7,AUDIT_SECURITY,Y,Cyber liability insurance,OEM_PRIME_EVIDENCE
8,AUDIT_SECURITY,Y,Treat payment-card data as confidential,OEM_PRIME_EVIDENCE
9,AUDIT_SECURITY,Y,No full PAN storage,OEM_PRIME_EVIDENCE
10,AUDIT_SECURITY,Y,PCI DSS v4.0.1 support/responsibility/AOC,OEM_PRIME_EVIDENCE
11,AUDIT_SECURITY,Y,Current SOC 2 Type II,OEM_PRIME_EVIDENCE
12,AUDIT_SECURITY,Y,CONUS-only State data,OEM_PRIME_EVIDENCE
13,AUDIT_SECURITY,Y,Granular access controls,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
14,AUDIT_SECURITY,Y,15-character minimum password,OEM_PRIME_EVIDENCE
15,AUDIT_SECURITY,Y,14-day password-expiry notice,OEM_PRIME_EVIDENCE
16,AUDIT_SECURITY,Y,Configurable password expiration,OEM_PRIME_EVIDENCE
17,AUDIT_SECURITY,Y,External-user security administration,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
18,AUDIT_SECURITY,Y,Enterprise SSO / configurable MFA,OEM_PRIME_EVIDENCE
19,AUDIT_SECURITY,Y,Five-failure account lockout,OEM_PRIME_EVIDENCE
20,AUDIT_SECURITY,N,Configurable inactivity lock,OPTIONAL_PRIME_FEATURE
21,AUDIT_SECURITY,Y,IP access restriction,OEM_PRIME_EVIDENCE
22,AUDIT_SECURITY,Y,Security reports,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
23,AUDIT_SECURITY,Y,Role segmentation by office,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
24,AUDIT_SECURITY,Y,AI/ML disclosure,OEM_PRIME_EVIDENCE
25,AUDIT_SECURITY,Y,US-only AI data,OEM_PRIME_EVIDENCE
26,AUDIT_SECURITY,Y,No State-data AI training/storage/sharing externally,OEM_PRIME_EVIDENCE
27,AUDIT_SECURITY,Y,AI disablement,OEM_PRIME_EVIDENCE
28,AUDIT_SECURITY,Y,AI ownership/licensing/dependencies,OEM_PRIME_EVIDENCE
29,AUDIT_SECURITY,Y,Classify employees vs contractors,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
30,AUDIT_SECURITY,Y,Custom security roles,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
31,AUDIT_SECURITY,Y,DR/ransomware recovery with RTO/RPO,OEM_PRIME_EVIDENCE
32,COMPATIBILITY,Y,Current major browsers,OEM_PRIME_EVIDENCE
33,COMPATIBILITY,Y,Equivalent desktop/mobile/web,OEM_PRIME_EVIDENCE
34,COMPATIBILITY,Y,Admin-customizable layouts/fields/workflows,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
35,COMPATIBILITY,N,State branding,OPTIONAL_PRIME_FEATURE
36,COMPATIBILITY,Y,ADA / WCAG 2.1 AA,OEM_PRIME_EVIDENCE
37,INTERFACES,Y,ERP/agency application data exchange,SPECIALIST_WORKSHARE_DEMO
38,INTERFACES,Y,Data dictionary + ERD,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
39,INTERFACES,Y,Database extraction/transfer connectivity,OEM_PRIME_EVIDENCE
40,INTERFACES,Y,Worldpay/FIS payment-processor interface,OEM_PRIME_EVIDENCE
41,INTERFACES,Y,Cloud hosting options,OEM_PRIME_EVIDENCE
42,INTERFACES,Y,Centralized Check 21 image integration,JOINT_PRIME_PLUS_SPECIALIST_ACCEPTANCE
43,REPORTING,Y,Shared dashboards/reports,OEM_PRIME_EVIDENCE
44,REPORTING,Y,Reports for all data,OEM_PRIME_EVIDENCE
45,REPORTING,Y,Low/no-code report builder,OEM_PRIME_EVIDENCE
46,REPORTING,Y,Customizable dashboards,OEM_PRIME_EVIDENCE
47,REPORTING,N,Predictive/keyword search,OPTIONAL_PRIME_FEATURE
