element_id,rfq_element,section_id,section,required_dataset,required_fields,element_must_not
RFQ-E01,Executive summary,SEC-01,1. Executive Summary,finding_matrix,finding_id; group; area; status; confidence,Must not introduce a statement that no finding supports.
RFQ-E01,Executive summary,SEC-01,1. Executive Summary,recommendation_register,recommendation_id; statement; horizon; finding_refs,Must not introduce a statement that no finding supports.
RFQ-E01,Executive summary,SEC-01,1. Executive Summary,theme_register,theme_id; statement; finding_refs,Must not introduce a statement that no finding supports.
RFQ-E02,Engagement scope and assessment areas,SEC-02,2. Engagement Scope and Assessment Areas,service_responsibility,scope; public_responsibility; visible_interfaces; source_ids,Must not imply coverage of services or areas that were not assessed.
RFQ-E02,Engagement scope and assessment areas,SEC-02,2. Engagement Scope and Assessment Areas,finding_matrix,group; area; status,Must not imply coverage of services or areas that were not assessed.
RFQ-E03,Methodology,SEC-03,3. Methodology,framework_crosswalk,framework; version; locator; proposed_assessment_use; adaptation_limit,Must not present the method as an audit procedure or a certification process.
RFQ-E03,Methodology,SEC-03,3. Methodology,evidence_register,source_type; captured_at; represented_period,Must not present the method as an audit procedure or a certification process.
RFQ-E04,"Evidence standard, confidence and limitations",SEC-04,"4. Evidence Standard, Confidence and Limitations",evidence_register,directness; recency; representativeness; corroboration; evidence_state; confidence; scope_limit,Must not average confidence dimensions into a maturity score.
RFQ-E05,Peer and published-practice context,SEC-05,5. Peer and Published-Practice Context,peer_context_table,peer; service_or_context; metric_or_measure; value; period_or_window; denominator_or_scope; measure_class; comparison_status; comparability_notes; source_url; accessed_date,Must not rank the University against peers or state a percentile.
RFQ-E06,Current-state findings by group and area,SEC-06,6. Current-State Matrix,finding_matrix,finding_id; group; area; status; confidence; statement; scope_limit,Must not convert an unassessed cell into a low rating.
RFQ-E06,Current-state findings by group and area,SEC-07,7.1. Group Findings - Enterprise Systems and Services (ESS),finding_matrix,finding_id; group; area; status; confidence; statement; scope_limit; follow_up_question,Must not convert an unassessed cell into a low rating.
RFQ-E06,Current-state findings by group and area,SEC-07,7.1. Group Findings - Enterprise Systems and Services (ESS),evidence_register,evidence_id; observation_id; finding_id; claim; scope_limit; source_ref,Must not convert an unassessed cell into a low rating.
RFQ-E06,Current-state findings by group and area,SEC-08,7.2. Group Findings - Research Information Systems (RIS),finding_matrix,finding_id; group; area; status; confidence; statement; scope_limit; follow_up_question,Must not convert an unassessed cell into a low rating.
RFQ-E06,Current-state findings by group and area,SEC-08,7.2. Group Findings - Research Information Systems (RIS),evidence_register,evidence_id; observation_id; finding_id; claim; scope_limit; source_ref,Must not convert an unassessed cell into a low rating.
RFQ-E06,Current-state findings by group and area,SEC-09,7.3. Group Findings - Identity and Access Management (IAM),finding_matrix,finding_id; group; area; status; confidence; statement; scope_limit; follow_up_question,Must not convert an unassessed cell into a low rating.
RFQ-E06,Current-state findings by group and area,SEC-09,7.3. Group Findings - Identity and Access Management (IAM),evidence_register,evidence_id; observation_id; finding_id; claim; scope_limit; source_ref,Must not convert an unassessed cell into a low rating.
RFQ-E07,Cross-cutting themes,SEC-10,8. Cross-Cutting Themes,theme_register,theme_id; statement; finding_refs; groups_spanned; areas_spanned; counter_evidence; scope_limit,Must not dissolve individual findings into a generic summary.
RFQ-E07,Cross-cutting themes,SEC-10,8. Cross-Cutting Themes,finding_matrix,finding_id; group; area; status,Must not dissolve individual findings into a generic summary.
RFQ-E08,Group and department recommendations,SEC-11,9. Recommendations by Group and Department,recommendation_register,recommendation_id; group; area; finding_refs; statement; rationale; resource_note; dependency,"Must not recommend a specific product, vendor, or purchase."
RFQ-E08,Group and department recommendations,SEC-11,9. Recommendations by Group and Department,finding_matrix,finding_id; status; confidence,"Must not recommend a specific product, vendor, or purchase."
RFQ-E09,Prioritization and phasing,SEC-12,10. Prioritization and Phasing,recommendation_register,recommendation_id; horizon; dependency; resource_note; finding_refs,Must not present an estimate that was never supplied as a computed number.
RFQ-E10,Supporting evidence,SEC-13,A. Appendix A - Supporting Evidence,evidence_register,evidence_id; observation_id; finding_id; group; area; source_type; source_ref; captured_at; represented_period; claim; scope_limit; directness; recency; representativeness; corroboration; evidence_state; confidence; follow_up,Must not expose sensitive locators that the engagement agreed to keep controlled.
RFQ-E10,Supporting evidence,SEC-13,A. Appendix A - Supporting Evidence,sdlc_evidence_worksheet,change_id; group; stage_name; status; evidence_ref; evidence_semantics; gap_or_conflict,Must not expose sensitive locators that the engagement agreed to keep controlled.
RFQ-E11,Source and version register,SEC-14,B. Appendix B - Source and Version Register,source_version_register,framework; publication; identifier; publication_date; version_treatment; official_source,Must not cite a draft framework revision as final practice.
RFQ-E11,Source and version register,SEC-14,B. Appendix B - Source and Version Register,policy_context_register,source_id; issuer; title; policy_or_section; version_or_review_date; source_url; applicability_caveat; accessed_date,Must not cite a draft framework revision as final practice.
RFQ-E12,Open questions and unresolved inputs,SEC-15,C. Appendix C - Open Questions and Unresolved Inputs,finding_matrix,finding_id; group; area; status; follow_up_question,Must not silently drop an unresolved input to make the report look complete.
RFQ-E12,Open questions and unresolved inputs,SEC-15,C. Appendix C - Open Questions and Unresolved Inputs,evidence_register,evidence_id; evidence_state; confidence; follow_up,Must not silently drop an unresolved input to make the report look complete.
