team_id,dimension_id,reason,reason_text,validating_evidence,outstanding_indicator_id,prompt,artifact_request
T-ESS,workflow_fit,no_indicator_evidence,No indicator for this dimension has supplied evidence.,"The artifacts listed below, or a written statement that the practice does not exist here.",FIT-1,"Which recurring workflows currently include an assisted step, and at which point in the procedure?",The procedure document showing the step.
T-ESS,workflow_fit,no_indicator_evidence,No indicator for this dimension has supplied evidence.,"The artifacts listed below, or a written statement that the practice does not exist here.",FIT-2,Where was an assisted step tried and then narrowed or removed?,"The change note, ticket, or decision record."
T-ESS,workflow_fit,no_indicator_evidence,No indicator for this dimension has supplied evidence.,"The artifacts listed below, or a written statement that the practice does not exist here.",FIT-3,"Which steps are explicitly excluded from assistance, and on what basis?",The written exclusion and its stated reason.
T-IAM,ai_literacy,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.","Responses from at least 3 contributors on this team, or an explicit record that the team is smaller than the floor so its reading stays UNKNOWN by design.",LIT-3,How does the team describe what these tools get wrong on the work you actually do?,Any written note of known failure modes for the tasks currently in use.
T-IAM,practical_training,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.","Responses from at least 3 contributors on this team, or an explicit record that the team is smaller than the floor so its reading stays UNKNOWN by design.",TRN-1,"What hands-on practice has the team had on its own recurring tasks, as opposed to a general awareness session?",Training record or session notes naming the tasks practised.
T-IAM,practical_training,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.","Responses from at least 3 contributors on this team, or an explicit record that the team is smaller than the floor so its reading stays UNKNOWN by design.",TRN-2,How does someone joining the team learn the assisted parts of the workflow?,Onboarding material that covers the assisted step.
T-IAM,workflow_fit,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.","Responses from at least 3 contributors on this team, or an explicit record that the team is smaller than the floor so its reading stays UNKNOWN by design.",FIT-1,"Which recurring workflows currently include an assisted step, and at which point in the procedure?",The procedure document showing the step.
T-IAM,workflow_fit,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.","Responses from at least 3 contributors on this team, or an explicit record that the team is smaller than the floor so its reading stays UNKNOWN by design.",FIT-2,Where was an assisted step tried and then narrowed or removed?,"The change note, ticket, or decision record."
T-IAM,workflow_fit,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.","Responses from at least 3 contributors on this team, or an explicit record that the team is smaller than the floor so its reading stays UNKNOWN by design.",FIT-3,"Which steps are explicitly excluded from assistance, and on what basis?",The written exclusion and its stated reason.
T-IAM,available_support,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.","Responses from at least 3 contributors on this team, or an explicit record that the team is smaller than the floor so its reading stays UNKNOWN by design.",,,
T-IAM,knowledge_sharing,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.","Responses from at least 3 contributors on this team, or an explicit record that the team is smaller than the floor so its reading stays UNKNOWN by design.",SHR-1,Where does a useful approach that one person worked out get recorded so others can use it?,"The register, page, or channel, with its actual entries."
T-IAM,knowledge_sharing,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.","Responses from at least 3 contributors on this team, or an explicit record that the team is smaller than the floor so its reading stays UNKNOWN by design.",SHR-2,How is that shared material reviewed or corrected when it stops being right?,Review or last-checked dates on entries.
T-IAM,evaluation_capacity,insufficient_contributors,"Signal comes from 2 contributor(s); the floor for an organizational reading is 3. This is thin evidence, not a low capability.","Responses from at least 3 contributors on this team, or an explicit record that the team is smaller than the floor so its reading stays UNKNOWN by design.",EVL-3,"Who can stop an approach the team has already adopted, and on what evidence?",The written decision owner or reversal criterion.
T-RIS,available_support,insufficient_indicator_coverage,1 of 2 indicators observed; the floor for stating a capability state is 2.,"The artifacts listed below, or a written statement that the practice does not exist here.",SUP-2,What happens to that question when the usual contact is unavailable?,"The escalation path, if it is written down."
