"id","category","requirement","required_limit_usd","required_limit_basis","applies_to","evidence_needed","proposed_evidence_owner_role","next_action","source_id","source_file","source_locator","source_url","source_sha256","evidence_document_status","actual_limit_usd","actual_terms_or_result","evidence_location","actual_entity","actual_period_or_effective_dates","assigned_owner","qualification"
"F01","Financials","Supplier audited financial statements for the previous two (2) years, attached to the response.","","No dollar threshold stated","Bidding Supplier","Audited financial statements with actual entity and reporting periods.","Supplier finance lead / authorized accounting contact","Collect the requested documents privately; confirm audit status and applicable two-year reporting period.","RFQ","University-of-Iowa-RFQ-18649-current.pdf","p.2 Requested Attachments / Audited Financial Statements; p.11 Attribute 19 / Financials","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","908d9104a56cd19fa4ff8496fe731c57262830302a11069234a11cda66745a44","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Audited Financial Statements is marked attachment required on p.2. No fiscal years inferred."
"F02","Financials","Supplier annual report for the previous two (2) years, attached to the response.","","No dollar threshold stated","Bidding Supplier","Annual reports covering the requested two-year period.","Supplier finance lead / authorized accounting contact","Collect the requested annual reports; record actual periods and entity.","RFQ","University-of-Iowa-RFQ-18649-current.pdf","p.11 Attribute 19 / Financials","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","908d9104a56cd19fa4ff8496fe731c57262830302a11069234a11cda66745a44","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Retain the source two-year request; no alternative document or exception presumed acceptable."
"F03","Financial response","Attribute 19 includes required Read and Agree; Check if applicable.","","Acknowledgement","Bidding Supplier","Actual financial attachment bundle and authorized response review.","Supplier proposal lead / authorized signatory","Review the actual evidence before making the acknowledgement.","RFQ","University-of-Iowa-RFQ-18649-current.pdf","p.11 Attribute 19 / Financials","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","908d9104a56cd19fa4ff8496fe731c57262830302a11069234a11cda66745a44","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","This dossier makes no acknowledgement or compliance certification."
"F04","Confidentiality request","Any request must identify specific material in the transmittal letter; enumerate specific grounds in Iowa Code Chapter 22 or other applicable law; explain why disclosure is not in the best interest of the public; give authorized contact name, address and telephone number.","","Conditional request; no confidentiality guarantee","Bidding Supplier","Document-specific confidentiality request and supported grounds, if sought.","Supplier proposal lead / authorized signatory","Review actual sensitive documents and prepare any applicable request with the response.","RFQ","University-of-Iowa-RFQ-18649-current.pdf","p.15 Attribute 31 / Proprietary and Confidential Information","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","908d9104a56cd19fa4ff8496fe731c57262830302a11069234a11cda66745a44","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Pricing is not considered confidential under the source. No legal basis or confidentiality promise is established here."
"I01","Insurance maintenance","Contractor purchases and maintains insurance at sole cost with outside provider(s), subject to University approval, until all agreement obligations are satisfied.","","Maintenance and approval","Proposed UI-PSA Contractor","Coverage records, effective dates, maintenance responsibility and University approval evidence.","Contractor insurance lead / broker","Identify actual insured entity and provider(s); obtain coverage-period and approval evidence.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Insurance Provisions: Without limiting any liabilities or any other obligations of the Contractor","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Includes described activities by listed parties, including subcontractors; does not prove TJLabs holds or is covered by a policy."
"I02","Workers Compensation","Applicable Workers Compensation covering liability under federal and state statutes having jurisdiction over Contractor employees engaged in the service.","","Statutory; no fixed dollar limit stated","Proposed UI-PSA Contractor","Applicable workers compensation documentation and employee/jurisdiction basis.","Contractor insurance lead / broker","Confirm applicability from actual staffing and jurisdiction facts; obtain supporting coverage evidence.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Applicable Workers Compensation insurance","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","NOT_APPLICABLE_TO_THIS_ROW","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","No automatic exemption or non-applicability is assumed."
"I03","Employers Liability","Employers Liability of no less than $500,000 each employee.","500000","Each employee","Proposed UI-PSA Contractor","Declarations and applicable terms showing employee limit.","Contractor insurance lead / broker","Record the actual employee limit from organization-specific evidence.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Applicable Workers Compensation insurance","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Separate source-stated employee and accident limits; no aggregate added."
"I04","Employers Liability","Employers Liability of no less than $500,000 each accident.","500000","Each accident","Proposed UI-PSA Contractor","Declarations and applicable terms showing accident limit.","Contractor insurance lead / broker","Record the actual accident limit from organization-specific evidence.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Applicable Workers Compensation insurance","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","No disease aggregate or additional aggregate is invented."
"I05","Commercial General Liability","CGL minimum $1,000,000 per occurrence; bodily injury and property damage including completed operations, personal injury, coverage for contractual employees, blanket contractual, products and completed operations; severability of interests.","1000000","Per occurrence","Proposed UI-PSA Contractor","Declarations, applicable policy terms and endorsements.","Contractor insurance lead / broker","Compare actual limit and every listed coverage feature with the source.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Commercial General Liability insurance","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","No source aggregate requirement is asserted in this row."
"I06","Commercial Automobile Liability","Minimum $1,000,000 combined single limit for bodily injury and property damage for owned, non-owned, hired or borrowed vehicles assigned to or used in performance.","1000000","Combined single limit: bodily injury and property damage","Proposed UI-PSA Contractor","Declarations, vehicle coverage schedule and applicable terms.","Contractor insurance lead / broker","Verify limit and all source-stated vehicle categories used in the engagement.","PSA","University-of-Iowa-professional-services-agreement.docx","LIABILITY / Insurance Provisions; paragraph beginning: Commercial Automobile Liability insurance","https://uiebid.ionwave.net/PublicDetail.aspx?bidID=7825&SourceType=1","b79b4c15d99e216c072fad499bcb1ca4988230058bb0c0bf80f608498f76cad4","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","NOT_LOCATED_IN_REVIEWED_CORPUS","UNVERIFIED","UNVERIFIED","UNASSIGNED","Do not relabel this as a per-occurrence limit or assume no-auto exception."
