rank,team_id,team_name,leaderboard_score,target_submission_id,target_public_score,target_date,latest_submission_id,latest_public_score,target_is_latest,target_is_highest,match_basis,target_basis
1,16718819,Majkel1337,3221.7,56156662,3221.7,2026-09-11T02:18:56.837+00:00,56156662,3221.7,True,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
2,16732403,ymg_aq,3077.1,56161578,3077.1,2026-09-11T07:59:49.837+00:00,56161578,3077.1,True,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
3,16621799,Artem The Farmer 🍅,3062.3,56145462,3062.3,2026-09-10T13:48:38.843+00:00,56158444,1100.0,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
4,16730612,Unknown Mother-Goose,3053.6,56161402,3053.6,2026-09-11T07:45:16.967+00:00,56169353,2993.7,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
5,16640510,SpaTaro,3025.0,56114097,3025.0,2026-09-09T05:04:06.337+00:00,56162707,2380.6,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
6,16760569,Otter Vibe,3008.0,56097405,3008.0,2026-09-08T11:36:43.510+00:00,56097405,3008.0,True,True,unique_date_and_display_score_match,unique_leaderboard_score_match
7,16730524,THIRD FARM CLUB,2987.7,56167756,2987.7,2026-09-11T15:04:15.457+00:00,56180166,2916.8,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
8,16805699,feel the agi,2982.4,56132899,2982.4,2026-09-10T00:01:38.767+00:00,56132899,2982.4,True,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
9,16622349,Mengfei Li,2966.7,56173067,2966.7,2026-09-11T21:52:47.823+00:00,56173067,2966.7,True,True,unique_date_and_display_score_match,unique_leaderboard_score_match
10,16767215,keiz,2955.4,56157505,2955.4,2026-09-11T03:17:23.227+00:00,56158989,2945.3,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
11,16732521,redblackbst,2946.7,56173970,2946.7,2026-09-11T23:27:11.037+00:00,56179342,2886.6,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
12,16847222,charmq,2936.2,56167143,2936.2,2026-09-11T14:25:21.687+00:00,56174483,2905.9,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
13,16630729,american gothic,2935.4,56179012,2935.4,2026-09-12T05:11:23.657+00:00,56179012,2935.4,True,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
14,16717536,c0nrad,2931.3,56168659,2931.3,2026-09-11T16:03:06.413+00:00,56170995,2665.3,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
15,16685556,binghua,2927.8,56092906,2927.8,2026-09-08T06:51:36.167+00:00,56099704,1970.5,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
16,16704466,QQ Farming,2926.2,56149565,2926.2,2026-09-10T18:07:39.960+00:00,56149565,2926.2,True,True,unique_date_and_display_score_match,unique_leaderboard_score_match
17,16723620,3정훈,2920.9,56148612,2920.9,2026-09-10T17:02:05.303+00:00,56163965,2863.3,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
18,16840447,Suliman Tadros,2915.1,56137909,2919.0,2026-09-10T05:30:35.657+00:00,56148779,2517.3,,,score_unmatched_date_identifies_latest_only,highest_returned_public_score_leaderboard_identity_unconfirmed
19,16706222,Xiangyu Liu,2909.9,56124153,2909.9,2026-09-09T13:36:50.527+00:00,56124153,2909.9,True,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
20,16865070,carlos-tagosaku,2906.9,56171990,2906.9,2026-09-11T19:58:35.053+00:00,56179199,2868.6,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
21,16687901,Khalid,2906.8,56178065,2906.8,2026-09-12T03:55:56.073+00:00,56181957,2440.9,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
22,16667242,Gleb Tumanov,2906.3,56149996,2906.3,2026-09-10T18:44:35.130+00:00,56149996,2906.3,True,True,unique_date_and_display_score_match,unique_leaderboard_score_match
23,16660726,自己找差距,2904.6,56168939,2904.6,2026-09-11T16:26:40.513+00:00,56180914,2459.7,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
24,16758882,mtmr_s1,2902.9,56168815,2902.9,2026-09-11T16:17:27.807+00:00,56168815,2902.9,True,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
25,16797543,Tarang222,2902.3,56117071,2902.3,2026-09-09T07:37:56.250+00:00,56117071,2902.3,True,True,unique_date_and_display_score_match,unique_leaderboard_score_match
26,16845367,kyy666,2899.2,56177391,2899.2,2026-09-12T03:16:58.473+00:00,56177391,2899.2,True,True,unique_date_and_display_score_match,unique_leaderboard_score_match
27,16685634,Syed Asad Ali,2896.4,56158912,2896.4,2026-09-11T05:05:18.443+00:00,56165023,2868.7,False,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
28,16796238,Zhongyi Dai,2891.0,56178745,2891.0,2026-09-12T04:50:48.970+00:00,56178745,2891.0,True,True,unique_date_and_display_score_match,unique_leaderboard_score_match
29,16651332,Le Viet,2890.2,56167405,2890.2,2026-09-11T14:43:53.097+00:00,56167405,2890.2,True,True,unique_display_score_match_date_differs,unique_leaderboard_score_match
30,16640467,Catalyst,2887.9,56179790,2881.1,2026-09-12T06:05:36.247+00:00,56180317,2591.2,,,score_unmatched_date_identifies_latest_only,highest_returned_public_score_leaderboard_identity_unconfirmed
