record_id,sample_id,coa_id,jurisdiction,license_id,matrix,collection_at,custody_events,rule_pack_version,rule_pack_expires_at,requested_panel,method_version,loq,reporting_limit,accreditation_scope,final_coa_signer,result_sha256,synthetic
SC-001,SC-SAMPLE-001,SC-COA-001,CA,CA-LICENSE-01,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,771a6141a27c9f58404d275611b32d4eb03ccd4b0145f29467069cce464aa155,true
SC-002,SC-SAMPLE-002,SC-COA-002,CO,CO-LICENSE-02,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,e2a60c4651fc24b23cab4bd5091479cb3a1d5c91d6f1968a1b3c75bc66f58ffd,true
SC-003,SC-SAMPLE-003,SC-COA-003,MI,MI-LICENSE-03,EDIBLE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MI-2026.1,2027-09-01T00:00:00Z,MI-CANNABINOID-SAFETY,SC-MI-001/2026.1,0.20,0.40,ISO17025-MI-CANNABINOID-SAFETY,reviewer-mi,e98706bc334858af95a53dfc00136432416cb35ab4b211dfe5c424ae641986ce,true
SC-004,SC-SAMPLE-004,SC-COA-004,MD,MD-LICENSE-04,VAPE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MD-2026.1,2027-09-01T00:00:00Z,MD-CANNABINOID-SAFETY,SC-MD-001/2026.1,0.08,0.16,ISO17025-MD-CANNABINOID-SAFETY,reviewer-md,f115338bc65580e337d53b0d8d324da253cdf45dfbdc1ebb5c0b73eab8d0ca23,true
SC-005,SC-SAMPLE-005,SC-COA-005,OR,OR-LICENSE-05,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,OR-2026.1,2027-09-01T00:00:00Z,OR-CANNABINOID-SAFETY,SC-OR-001/2026.1,0.12,0.24,ISO17025-OR-CANNABINOID-SAFETY,reviewer-or,51d7df0784268d07c3dd7636a04296598277724c3a06ed61f50b688324a75802,true
SC-006,SC-SAMPLE-006,SC-COA-006,CA,CA-LICENSE-06,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CA-2026.1,2027-09-01T00:00:00Z,CA-CANNABINOID-SAFETY,SC-CA-001/2026.1,0.10,0.20,ISO17025-CA-CANNABINOID-SAFETY,reviewer-ca,9c3c4ebe421753a2b5eb2bd67df62e866b932aa2414a5831853d6d98d8b92ede,true
SC-007,SC-SAMPLE-007,SC-COA-007,CO,CO-LICENSE-07,CONCENTRATE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,CO-2026.1,2027-09-01T00:00:00Z,CO-CANNABINOID-SAFETY,SC-CO-001/2026.1,0.05,0.10,ISO17025-CO-CANNABINOID-SAFETY,reviewer-co,68b8f01ee2003e8b85b1d78ad93dab9bbb961374214fb38bd8407c8b8772b571,true
SC-008,SC-SAMPLE-008,SC-COA-008,MI,MI-LICENSE-08,EDIBLE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MI-2026.1,2027-09-01T00:00:00Z,MI-CANNABINOID-SAFETY,SC-MI-001/2026.1,0.20,0.40,ISO17025-MI-CANNABINOID-SAFETY,reviewer-mi,4aa3e40cd16c90a1c181b257ccdf5838545ab3052b07404bc9fba0a0d0e6f38e,true
SC-009,SC-SAMPLE-009,SC-COA-009,MD,MD-LICENSE-09,VAPE,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,MD-2026.1,2027-09-01T00:00:00Z,MD-CANNABINOID-SAFETY,SC-MD-001/2026.1,0.08,0.16,ISO17025-MD-CANNABINOID-SAFETY,reviewer-md,e0f38af5dc6bcb01b37c182afec2eab57476c80d339b984004176950d2785d36,true
SC-010,SC-SAMPLE-010,SC-COA-010,OR,OR-LICENSE-10,FLOWER,2026-08-20T12:00:00Z,COLLECTED@2026-08-20T12:00:00Z|TRANSFERRED@2026-08-20T14:00:00Z|RECEIVED@2026-08-20T16:00:00Z,OR-2026.1,2027-09-01T00:00:00Z,OR-CANNABINOID-SAFETY,SC-OR-001/2026.1,0.12,0.24,ISO17025-OR-CANNABINOID-SAFETY,reviewer-or,6ecdbeddbabf41e7e824fffc883f3b78b006548a6d660501fbf5505e51dedf9e,true
