"record_id","framework","version_status","source_section_or_element","source_kind","rfq_assessment_area","proposed_assessment_use","suggested_evidence","adaptation_limit","maturity_handling","source_url","accessed_date"
"SSDF-01","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PO.1 Define Security Requirements for Software Development","practice","software development; security","Check whether security requirements are explicit, maintained, communicated, and carried through the SDLC.","Requirements records; architecture/security criteria; exception records; third-party requirements.","SSDF recommends secure-development practices; it does not prove local implementation or effectiveness.","Do not convert PO.1 presence/absence directly into a maturity score.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-02","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PO.2 Implement Roles and Responsibilities","practice","software development; security","Assess whether secure-development responsibilities, ownership, and supporting roles are defined and operationalized.","Role descriptions; RACI/ownership records; training records; review/escalation paths.","Role documentation alone is not evidence that responsibilities are executed consistently.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-03","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PO.3 Implement Supporting Toolchains","practice","software development; deployment/operations; security","Assess how toolchains support repeatable secure development, build, test, release, and evidence capture.","CI/CD configuration; tool inventory; access controls; scan/test logs; provenance records.","Tool presence is not equivalent to process quality or secure outcomes.","Evaluate evidence of use and control effectiveness separately from any local maturity rubric.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-04","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PO.4 Define and Use Criteria for Software Security Checks","practice","software development; security; deployment/operations","Assess whether security gates/check criteria are defined, risk-based, and used consistently before release.","Definition-of-done; merge/release gates; exception approvals; test criteria; failure handling.","SSDF does not prescribe one universal gate set or numeric threshold.","Any rating must be locally defined and evidence-based, not labeled an SSDF score.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-05","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PO.5 Implement and Maintain Secure Environments for Software Development","practice","software development; deployment/operations; security","Assess isolation, access control, change control, and maintenance of development/build environments.","Environment diagrams; privileged-access records; configuration baselines; patch/change records.","Environment design must be interpreted in local threat and operating context.","No maturity level is supplied by SSDF.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-06","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PS.1 Protect All Forms of Code from Unauthorized Access and Tampering","practice","security; software development","Assess protection of source, build artifacts, configuration, and related software assets.","Repository permissions; branch protections; artifact controls; audit logs; secret handling.","Protection controls should be evaluated for actual scope and enforcement, not policy text alone.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-07","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PS.2 Provide a Mechanism for Verifying Software Release Integrity","practice","deployment/operations; security","Assess whether releases can be verified as authentic and unchanged from approved build outputs.","Signing/provenance evidence; checksums; release metadata; deployment verification records.","The specific mechanism is implementation-dependent; do not infer a required vendor or architecture.","Use evidence of repeatability and coverage; do not call it an SSDF maturity tier.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-08","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PS.3 Archive and Protect Each Software Release","practice","deployment/operations; security","Assess reproducibility, custody, and retention of released software and release metadata.","Artifact repository; retention policy; release manifests; restore/rebuild evidence.","Retention duration and mechanisms are context-dependent.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-09","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PW.1 Design Software to Meet Security Requirements and Mitigate Security Risks","practice","software development; security","Assess whether threat/risk considerations and security requirements shape design decisions.","Threat/risk models; design records; security requirements; architecture decisions; exception rationale.","A documented design artifact does not prove resulting software is secure.","Treat observed practice and outcome evidence separately from any locally proposed scale.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
"SSDF-10","NIST SP 800-218 SSDF","1.1 Final","Table 1 / PW.2 Review the Software Design to Verify Compliance with Security Requirements and Risk Information","practice","software development; security","Assess design review independence, coverage, traceability, and response to findings.","Review records; sign-offs; issue tracking; traceability to requirements and risks.","Review quality and depth must be evidenced; review existence alone is insufficient.","No SSDF maturity scale is defined.","https://csrc.nist.gov/pubs/sp/800/218/final","2026-09-19"
