"phase","work_order","asset_id","status","path","purpose","operator_action","authority_ceiling","sample_command_count"
"kickoff","UIOWA-005","scope_acceptance","working_reference","revenue/uiowa_rfq_18649_workshare/ACCEPTANCE_EXHIBIT.md","Proposed scope, responsibilities, deliverables, acceptance boundaries, and commercial workshare framing.","Review with the prime before kickoff; do not treat PROPOSED text as accepted University terms.","proposal preparation only; does not create acceptance, signature, bid submission, or payment authority","0"
"kickoff","UIOWA-011","institution_context","working_reference","revenue/uiowa_rfq_18649_workbench/11-ais-context.md","Primary-source AIS/ESS/RIS/IAM context and unresolved discovery questions.","Use to prepare kickoff questions; replace public-context assumptions with engagement evidence.","public context is not evidence of internal operating practice","0"
"kickoff","UIOWA-012","policy_context","working_reference","revenue/uiowa_rfq_18649_workbench/12-policy-reference-memo.md","University policy applicability reference translated into discovery questions.","Use policy clauses as evidence-request prompts, not compliance conclusions.","not a compliance audit","0"
"evidence_collection","UIOWA-032","document_extraction","working_optional_dependency","revenue/uiowa_rfq_18649_document_extraction/README.md","Locator-preserving PDF/DOCX/TXT extraction with content hashes.","Install its declared requirements before PDF extraction; retain source/version metadata.","extraction preserves content and locators; it does not validate document truth","0"
"evidence_collection","UIOWA-023","evidence_confidence","working_reference","revenue/uiowa_rfq_18649_workshare/methodology/23-evidence-confidence.md","Evidence-confidence/provenance method distinguishing missing evidence from evidence of absence.","Assign stable evidence IDs and retain recency, directness, representativeness, and corroboration notes.","confidence describes support for an observation, not maturity","0"
"analysis","existing_workshare","workshare_compiler","working","revenue/uiowa_rfq_18649_workshare/compiler.py","Compile, verify, and render the synthetic 12-cell assessment packet with explicit authority ceilings.","Use public CLI only for UNTRUSTED_INSPECTION; trusted current-state integration requires independent host-controlled authority root.","public CLI never produces trusted current maturity/confidence","3"
"analysis","existing_workbench","analyst_workbench","working_interactive","revenue/uiowa_rfq_18649_workbench/README.md","Loopback analyst UI for inspecting compiler output, filtering 12 cells, recording non-authoritative notes, and exporting a draft handoff.","Run python3 server.py --port 8765 from the workbench directory; open http://127.0.0.1:8765/.","notes/dispositions remain separate from immutable compiler output","0"
"analysis","UIOWA-020","framework_crosswalk","working_reference","revenue/uiowa_rfq_18649_workbench/framework_crosswalk/20-framework-crosswalk.csv","Primary NIST SSDF/CSF/AI RMF reference crosswalk with adaptation limits.","Use framework IDs to structure questions and interpretation; cite University evidence for findings.","framework mapping is not certification, compliance, or an empirical maturity scale","0"
"analysis","UIOWA-022","rating_composition","working","revenue/uiowa_rfq_18649_rating_model/rating_model.py","Compose maturity observations without hiding coverage, confidence, applicability, or critical gaps.","Feed externally calibrated ordinal observations and evidence-confidence labels; do not invent averages.","does not define maturity anchors or calculate evidence confidence","1"
"analysis","UIOWA-060","security_event_review","working","revenue/uiowa_rfq_18649_security_event_review/assess_security_events.py","Offline event-to-review/action evidence assessment using synthetic data.","Use supplied or engagement-approved evidence exports; preserve UNKNOWN where review evidence is missing.","does not inspect live systems or create a compliance verdict","1"
"analysis","UIOWA-065","observability","working","revenue/uiowa_rfq_18649_observability/observability.py","Offline service-observability evidence assessment that separates component health from user-visible objectives.","Use service-scoped evidence and keep unknown/unsupported objective claims visible.","no live monitoring-system connection","1"
"draft_review","UIOWA-050","handoff_readiness","working","revenue/uiowa_rfq_18649_handoff/handoff.py","Validate and render development-to-operations handoff evidence without declaring release approval.","Run planned and urgent synthetic examples before adapting the worksheet to engagement evidence.","validation separates structure/evidence gaps from release approval","2"
"draft_review","UIOWA-084","recommendation_prioritization","working","revenue/uiowa_rfq_18649_prioritization/prioritize.py","Transparent recommendation prioritization and sensitivity analysis with missing-estimate holds.","Replace synthetic recommendation inputs and confirm weight profiles with Clark's before use in a deliverable.","formula is decision support; it does not replace professional judgment or rank individuals","1"
"draft_review","UIOWA-087","outcome_measurement","working","revenue/uiowa_rfq_18649_outcome_measurement/analyze.py","Recommendation-linked baseline/follow-up outcome measurement separate from adoption activity.","Populate recommendation/register/measurement files with defined periods, populations, and evidence sources.","no individual performance scoring","2"
"final_delivery","UIOWA-093","traceability_rehearsal","working_synthetic_rehearsal","revenue/uiowa_rfq_18649_traceability_rehearsal/README.md","Finding-to-evidence-to-recommendation-to-report traceability rehearsal.","Use stable evidence/finding/recommendation/statement IDs and validate before final delivery.","checked-in bundle is synthetic; executive wording cannot broaden evidence","1"
"final_delivery","UIOWA-005","final_acceptance_reference","working_reference","revenue/uiowa_rfq_18649_workshare/ACCEPTANCE_EXHIBIT.md","Reference completion/acceptance criteria and responsibility split when packaging final artifacts.","Reconcile final deliverable list with the actually accepted prime/subcontract scope before delivery.","current repository version remains proposed until accepted","0"
"optional_readout","UIOWA-088","optional_readout_architecture","pending_at_snapshot","","Leadership/group readout structure and synthetic worked story.","At snapshot f3d68f97, no merged UIOWA-088 asset was present in the inspected tree; refresh current main before readout preparation.","optional readout is separately proposed and depends on the final accepted report","0"
