id,title,publisher,url,version,published_on,accessed_on
AUSTIN-BUDGET,FY2025–2026 approved budget,City of Austin,https://austin.widen.net/content/gvs5vuvc3l/pdf/FY2025-2026_Approved_Budget.pdf,FY2025–2026 approved budget,,2026-09-19
FF-60020,Fund 60020 Document Services,Fairfax County,https://www.fairfaxcounty.gov/budget/sites/budget/files/Assets/documents/fy2027/adopted/volume2/60020.pdf,FY2027 adopted budget,,2026-09-19
FF-60030,Fund 60030 Technology Infrastructure,Fairfax County,https://www.fairfaxcounty.gov/budget/sites/budget/files/Assets/documents/fy2027/adopted/volume2/60030.pdf,FY2027 adopted budget,,2026-09-19
FF-70,Agency 70 Department of Information Technology,Fairfax County,https://www.fairfaxcounty.gov/budget/sites/budget/files/Assets/documents/fy2027/adopted/volume1/70.pdf,FY2027 adopted budget,,2026-09-19
FF-PLAN,"Information Technology Plan, Section 3",Fairfax County,https://www.fairfaxcounty.gov/informationtechnology/sites/informationtechnology/files/assets/itplan/2026-adopted/FY-2026-IT-Plan-Section-3.pdf,FY2026 adopted IT plan,,2026-09-19
ISU-2025,ITS department annual report 2025,Iowa State University,https://www.it.iastate.edu/its-department-annual-report-2025,2025 report,,2026-09-19
ISU-ABOUT,About Information Technology Services,Iowa State University,https://www.it.iastate.edu/about,,,2026-09-19
IU-ABOUT,About UITS,Indiana University,https://uits.iu.edu/about/index.html,,,2026-09-19
IU-ORG,UITS organizational structure,Indiana University,https://uits.iu.edu/about/org-structure/index.html,,,2026-09-19
MSU-CHART,MSU IT organizational chart,Michigan State University,https://go.msu.edu/itorg,September 2026,,2026-09-19
MSU-ORG,MSU IT organization,Michigan State University,https://tech.msu.edu/about-msuit/it-organization/,,,2026-09-19
NU-ENTERPRISE,ITS Enterprise Services,University of Nebraska,https://nebraska.edu/offices/information-technology-services/meet-our-team/its-divisions/enterprise-services,,,2026-09-19
NU-INFRA,ITS Infrastructure Services,University of Nebraska,https://nebraska.edu/offices/information-technology-services/meet-our-team/its-divisions/infrastructure-services,,,2026-09-19
NU-RESEARCH,Researcher resources,University of Nebraska,https://nebraska.edu/offices/information-technology-services/available-services/researcher-resources,,,2026-09-19
NU-SECURITY,ITS Security Services,University of Nebraska,https://nebraska.edu/offices/information-technology-services/meet-our-team/its-divisions/security-services,,,2026-09-19
OSU-ABOUT,About OTDI,The Ohio State University,https://it.osu.edu/about-us,,,2026-09-19
UW-ABOUT,About IT at UW–Madison,University of Wisconsin–Madison,https://it.wisc.edu/about/,,,2026-09-19
UW-DOIT,Division of Information Technology,University of Wisconsin–Madison,https://it.wisc.edu/about/division-of-information-technology/,,,2026-09-19
UW-REPORT,DoIT annual report 2023–2024,University of Wisconsin–Madison,https://it.wisc.edu/about/division-of-information-technology/2023-2024-annual-report/,2023–2024 report,,2026-09-19
UW-SECURITY,Enterprise Information Security Services,University of Wisconsin–Madison,https://it.wisc.edu/about/division-of-information-technology/enterprise-information-security-services/,,,2026-09-19
