panel,seed,opponent,seat,control_own,control_rival,candidate_own,candidate_rival,own_delta,margin_delta,control_trace,candidate_trace
development-v1,9760001,arlene,0,103206,101697,102523,101849,-683,-835,64db8e1bffc5b0e891e6a49072b97ddfd113112c693c0547ed1056e88d83d1bd,430d2e5a4530de58fe4b7914a29faffadc344a6350e8c6d249ed776f9ff6bd36
development-v1,9760001,arlene,1,103206,101697,102734,101521,-472,-296,4c384f163e1402c8539ac69de4e57efa53999d5ef1224d79681b2dea4b2f223d,d0ae0c607e060aa8118bc313941f5c60255d2c67d090509f6245068c68397d4f
development-v1,9760001,apex,0,99299,92031,99197,92117,-102,-188,a0f02a9783881391997183b0b6cccb93ae4ff4f35086a7dc42f13a254b1edda3,019135d0c4fca4d55009806110cb92a7884a5d8a365840ec947420f09247a9fc
development-v1,9760001,apex,1,99299,92031,99058,92618,-241,-828,700a3a81c8bd9fd90c8da4d996d11f26152e876ad56aa1d8c9b5db27afb86ca1,494a6c04cd4cf1907926a7680a0e25d6c7c3b05d97c0b10a5fee16785703b0c8
development-v1,9760019,arlene,0,141771,140891,140074,140438,-1697,-1244,7b475bd7559e7b3bb147686eadc5ef9ad38f14e3ab092a104fc4e13af57ecb0d,b24ebe44a674360a4d4a11a303b275b73195277f585df50ee0fdaa96d6c6dd87
development-v1,9760019,arlene,1,141771,140891,139905,140438,-1866,-1413,423aebf7bc9eec3aeecfc458c21bc4a41726c0ed31590f9cadba21cd9b632a5b,0fdcb2bd81581d927bd45e422029b1c13f0a06a0ed910128d57c35facbee2d52
development-v1,9760019,apex,0,142754,138273,141955,137095,-799,379,a96003deef93fef4bbe0d10ecab19907e05447033722422b44cb22af76fce47a,44180d6c8de2d7bdd46425f6dd3df447d98671354e4312fbfee3d00cd446c07a
development-v1,9760019,apex,1,142754,138273,142383,136534,-371,1368,a7ebe8fa83844fa42ac7d04bf6b6cf031cf1cf45c2b4797a86279aa8ead24a6d,ffdec983da49a960029d7dea2989c5c6406d6666702491d9aea00dbd3e95e0d7
development-v2,9760001,arlene,0,103206,101697,103206,101697,0,0,64db8e1bffc5b0e891e6a49072b97ddfd113112c693c0547ed1056e88d83d1bd,64db8e1bffc5b0e891e6a49072b97ddfd113112c693c0547ed1056e88d83d1bd
development-v2,9760001,arlene,1,103206,101697,103206,101697,0,0,4c384f163e1402c8539ac69de4e57efa53999d5ef1224d79681b2dea4b2f223d,4c384f163e1402c8539ac69de4e57efa53999d5ef1224d79681b2dea4b2f223d
development-v2,9760001,apex,0,99299,92031,99291,92032,-8,-9,a0f02a9783881391997183b0b6cccb93ae4ff4f35086a7dc42f13a254b1edda3,eb9f4c91f4a332735cc2987562f02309e0ea73e8c2e4ed3077cf7438a2829a19
development-v2,9760001,apex,1,99299,92031,99291,92032,-8,-9,700a3a81c8bd9fd90c8da4d996d11f26152e876ad56aa1d8c9b5db27afb86ca1,dcacbcb8bb269f59995a6ee752122f3aa44db082bc52dbf7f0cceeed98a90665
development-v2,9760019,arlene,0,141771,140891,141790,140891,19,19,7b475bd7559e7b3bb147686eadc5ef9ad38f14e3ab092a104fc4e13af57ecb0d,be73a773209683ac017d3fae1a70f4f18dd767ffca4008516ce57aeb4b71c841
development-v2,9760019,arlene,1,141771,140891,141790,140891,19,19,423aebf7bc9eec3aeecfc458c21bc4a41726c0ed31590f9cadba21cd9b632a5b,9f949cedd9d21b8fc5b309a7697c650b40a03c84f1d1e20317765fb173a8827f
development-v2,9760019,apex,0,142754,138273,142773,138273,19,19,a96003deef93fef4bbe0d10ecab19907e05447033722422b44cb22af76fce47a,d77bd60585b322feb105f9c3babea82cb3d09227f844298315f08c9f8230aa9a
development-v2,9760019,apex,1,142754,138273,142773,138273,19,19,a7ebe8fa83844fa42ac7d04bf6b6cf031cf1cf45c2b4797a86279aa8ead24a6d,33d8dcbaa14ff65a57a61e310ad2438c945d23bce4830722478aa526ad3e4a90
held-v2,9760101,arlene,0,97034,96836,97034,96836,0,0,ddb094c9092afefc5d95d3ef98d77783a1a1c11792df5e329eddb24e15d97ca6,ddb094c9092afefc5d95d3ef98d77783a1a1c11792df5e329eddb24e15d97ca6
held-v2,9760101,arlene,1,97034,96836,97034,96836,0,0,8fb75ca6c3a9b24d7d23a5d3cdf17283b98b928092fb433cdf30820f5b8a7175,8fb75ca6c3a9b24d7d23a5d3cdf17283b98b928092fb433cdf30820f5b8a7175
held-v2,9760101,apex,0,98918,89876,98918,89876,0,0,e3fc16842e5e3c6d3f2970169dcf3dc21bb8e16e6b99100b7ad4473b2d78a8b9,e3fc16842e5e3c6d3f2970169dcf3dc21bb8e16e6b99100b7ad4473b2d78a8b9
held-v2,9760101,apex,1,98918,89876,98918,89876,0,0,ce11fc79bba138f9bb3c2d435ca07af6c4bc30bce90b9b2fba035eff848838c5,ce11fc79bba138f9bb3c2d435ca07af6c4bc30bce90b9b2fba035eff848838c5
held-v2,9760119,arlene,0,44431,44278,44431,44278,0,0,8206730371192b71c7947ae8427f0adcb1f2b26cde8e2dbe7273c19841aa4164,3d63a493642aaf71963af3829aa3a89a2340a6b482d2debcb5d34e6b2b21f4e4
held-v2,9760119,arlene,1,44431,44278,44392,44243,-39,-4,9139db854e9073bbfa21cce078cf016d4f1ca3391ff6aee5ab5f22407ae6d9f4,d7bc769e4b161cca3cedee64aef21264c44f311be4a7adad2d74a120314161e0
held-v2,9760119,apex,0,46181,35262,46181,35262,0,0,e2a355e654c6c7a558ad451976e87213909c17f32f9c063313f0a09db2ac13d4,e2a355e654c6c7a558ad451976e87213909c17f32f9c063313f0a09db2ac13d4
held-v2,9760119,apex,1,46181,35262,46181,35262,0,0,96a654c209a586801808e4cab470740fdfec486f2b6d4836ac0212a36eaeef47,96a654c209a586801808e4cab470740fdfec486f2b6d4836ac0212a36eaeef47
